nakshatra,element,guna,gana,dosha,yoni_animal,yoni_gender,symbol,path,color_hex,glyph,emoji,attestation_status
Ashwini,fire,rajas,deva,vata,horse,male,horse_head,0.31,#8d784f,🐎✶,🐎,attested_classical
Bharani,earth,rajas,manushya,pitta,elephant,female,yoni,0.34,#ffa9dc,⚁✶,⚁,attested_classical
Krittika,fire,rajas,rakshasa,pitta,sheep,female,razor,0.7,#ffb300,🔥✶,🔥,attested_classical
Rohini,earth,rajas,manushya,kapha,serpent,female,chariot,0.31,#e7e7ff,🐄✶,🐄,attested_classical
Mrigashira,earth,tamas,deva,vata,serpent,male,deer_head,0.64,#922610,🦌✶,🦌,attested_classical
Ardra,water,tamas,manushya,vata,dog,male,teardrop,0.21,#4e0d7a,💎✶,💎,attested_classical
Punarvasu,air,sattva,deva,vata,cat,female,quiver,0.6,#ffe574,🏹✶,🏹,attested_classical
Pushya,water,sattva,deva,kapha,sheep,male,lotus,0.33,#4e6175,🌸✶,🌸,attested_classical
Ashlesha,water,tamas,rakshasa,kapha,cat,male,coiled_serpent,0.42,#0d7a39,🐍✶,🐍,attested_classical
Magha,fire,tamas,rakshasa,pitta,rat,male,throne,0.31,#685d48,👑✶,👑,attested_classical
Purva_Phalguni,earth,rajas,manushya,pitta,rat,female,hammock,0.34,#ffa9dc,🛏✶,🛏,attested_classical
Uttara_Phalguni,earth,sattva,manushya,kapha,cow,male,bed,0.58,#ffbe26,🛏✶,🛏,attested_classical
Hasta,air,sattva,deva,vata,buffalo,female,hand,0.39,#ffffff,✋✶,✋,attested_classical
Chitra,fire,tamas,rakshasa,pitta,tiger,female,pearl,0.76,#922610,💎✶,💎,attested_classical
Swati,air,rajas,deva,vata,buffalo,male,young_shoot,0.33,#6500aa,🌿✶,🌿,attested_classical
Vishakha,fire,rajas,rakshasa,pitta,tiger,male,triumph_arch,0.64,#ffdd43,🎯✶,🎯,attested_classical
Anuradha,water,sattva,deva,kapha,deer,female,lotus,0.33,#4e6175,🌸✶,🌸,attested_classical
Jyeshtha,air,tamas,rakshasa,pitta,deer,male,earring,0.54,#0d7a39,💫✶,💫,attested_classical
Mula,air,tamas,rakshasa,vata,dog,female,root,0.27,#685d48,🌱✶,🌱,attested_classical
Purva_Ashadha,water,rajas,manushya,pitta,monkey,female,fan,0.3,#ffa9dc,🐘✶,🐘,attested_classical
Uttara_Ashadha,earth,sattva,manushya,kapha,monkey,male,elephant_tusk,0.58,#ffbe26,🐘✶,🐘,attested_classical
Shravana,air,sattva,deva,vata,monkey,female,ear,0.39,#ffffff,👂✶,👂,attested_classical
Dhanishta,fire,rajas,rakshasa,pitta,lion,male,drum,0.76,#cc2100,🥁✶,🥁,attested_classical
Shatabhisha,air,tamas,rakshasa,vata,horse,female,empty_circle,0.33,#4e0d7a,💊✶,💊,attested_classical
Purva_Bhadrapada,fire,tamas,manushya,pitta,lion,female,front_legs_of_bed,0.64,#e5c11c,⚡✶,⚡,attested_classical
Uttara_Bhadrapada,water,sattva,manushya,kapha,cow,female,back_legs_of_bed,0.33,#4e6175,🐍✶,🐍,attested_classical
Revati,water,sattva,deva,kapha,elephant,male,fish,0.42,#00c34e,🐟✶,🐟,attested_classical
