num,name,key,attestation_status
1,Ashwini,Ashwini,attested_classical
2,Bharani,Bharani,attested_classical
3,Krittika,Krittika,attested_classical
4,Rohini,Rohini,attested_classical
5,Mrigashira,Mrigashira,attested_classical
6,Ardra,Ardra,attested_classical
7,Punarvasu,Punarvasu,attested_classical
8,Pushya,Pushya,attested_classical
9,Ashlesha,Ashlesha,attested_classical
10,Magha,Magha,attested_classical
11,Purva Phalguni,PurvaPhalguni,attested_classical
12,Uttara Phalguni,UttaraPhalguni,attested_classical
13,Hasta,Hasta,attested_classical
14,Chitra,Chitra,attested_classical
15,Swati,Swati,attested_classical
16,Vishakha,Vishakha,attested_classical
17,Anuradha,Anuradha,attested_classical
18,Jyeshtha,Jyeshtha,attested_classical
19,Mula,Mula,attested_classical
20,Purva Ashadha,PurvaAshadha,attested_classical
21,Uttara Ashadha,UttaraAshadha,attested_classical
22,Shravana,Shravana,attested_classical
23,Dhanishta,Dhanishta,attested_classical
24,Shatabhisha,Shatabhisha,attested_classical
25,Purva Bhadrapada,PurvaBhadrapada,attested_classical
26,Uttara Bhadrapada,UttaraBhadrapada,attested_classical
27,Revati,Revati,attested_classical
