nakshatra,pada,attestation_status
Ashwini,1,attested_classical
Ashwini,2,attested_classical
Ashwini,3,attested_classical
Ashwini,4,attested_classical
Bharani,1,attested_classical
Bharani,2,attested_classical
Bharani,3,attested_classical
Bharani,4,attested_classical
Krittika,1,attested_classical
Krittika,2,attested_classical
Krittika,3,attested_classical
Krittika,4,attested_classical
Rohini,1,attested_classical
Rohini,2,attested_classical
Rohini,3,attested_classical
Rohini,4,attested_classical
Mrigashira,1,attested_classical
Mrigashira,2,attested_classical
Mrigashira,3,attested_classical
Mrigashira,4,attested_classical
Ardra,1,attested_classical
Ardra,2,attested_classical
Ardra,3,attested_classical
Ardra,4,attested_classical
Punarvasu,1,attested_classical
Punarvasu,2,attested_classical
Punarvasu,3,attested_classical
Punarvasu,4,attested_classical
Pushya,1,attested_classical
Pushya,2,attested_classical
Pushya,3,attested_classical
Pushya,4,attested_classical
Ashlesha,1,attested_classical
Ashlesha,2,attested_classical
Ashlesha,3,attested_classical
Ashlesha,4,attested_classical
Magha,1,attested_classical
Magha,2,attested_classical
Magha,3,attested_classical
Magha,4,attested_classical
Purva Phalguni,1,attested_classical
Purva Phalguni,2,attested_classical
Purva Phalguni,3,attested_classical
Purva Phalguni,4,attested_classical
Uttara Phalguni,1,attested_classical
Uttara Phalguni,2,attested_classical
Uttara Phalguni,3,attested_classical
Uttara Phalguni,4,attested_classical
Hasta,1,attested_classical
Hasta,2,attested_classical
Hasta,3,attested_classical
Hasta,4,attested_classical
Chitra,1,attested_classical
Chitra,2,attested_classical
Chitra,3,attested_classical
Chitra,4,attested_classical
Swati,1,attested_classical
Swati,2,attested_classical
Swati,3,attested_classical
Swati,4,attested_classical
Vishakha,1,attested_classical
Vishakha,2,attested_classical
Vishakha,3,attested_classical
Vishakha,4,attested_classical
Anuradha,1,attested_classical
Anuradha,2,attested_classical
Anuradha,3,attested_classical
Anuradha,4,attested_classical
Jyeshtha,1,attested_classical
Jyeshtha,2,attested_classical
Jyeshtha,3,attested_classical
Jyeshtha,4,attested_classical
Mula,1,attested_classical
Mula,2,attested_classical
Mula,3,attested_classical
Mula,4,attested_classical
Purva Ashadha,1,attested_classical
Purva Ashadha,2,attested_classical
Purva Ashadha,3,attested_classical
Purva Ashadha,4,attested_classical
Uttara Ashadha,1,attested_classical
Uttara Ashadha,2,attested_classical
Uttara Ashadha,3,attested_classical
Uttara Ashadha,4,attested_classical
Shravana,1,attested_classical
Shravana,2,attested_classical
Shravana,3,attested_classical
Shravana,4,attested_classical
Dhanishta,1,attested_classical
Dhanishta,2,attested_classical
Dhanishta,3,attested_classical
Dhanishta,4,attested_classical
Shatabhisha,1,attested_classical
Shatabhisha,2,attested_classical
Shatabhisha,3,attested_classical
Shatabhisha,4,attested_classical
Purva Bhadrapada,1,attested_classical
Purva Bhadrapada,2,attested_classical
Purva Bhadrapada,3,attested_classical
Purva Bhadrapada,4,attested_classical
Uttara Bhadrapada,1,attested_classical
Uttara Bhadrapada,2,attested_classical
Uttara Bhadrapada,3,attested_classical
Uttara Bhadrapada,4,attested_classical
Revati,1,attested_classical
Revati,2,attested_classical
Revati,3,attested_classical
Revati,4,attested_classical
