nakshatra,pada,sound,attestation_status
Ashwini,1,chu,attested_classical
Ashwini,2,che,attested_classical
Ashwini,3,cho,attested_classical
Ashwini,4,la,attested_classical
Bharani,1,li,attested_classical
Bharani,2,lu,attested_classical
Bharani,3,le,attested_classical
Bharani,4,lo,attested_classical
Krittika,1,a,attested_classical
Krittika,2,i,attested_classical
Krittika,3,u,attested_classical
Krittika,4,e,attested_classical
Rohini,1,o,attested_classical
Rohini,2,va,attested_classical
Rohini,3,vi,attested_classical
Rohini,4,vu,attested_classical
Mrigashira,1,ve,attested_classical
Mrigashira,2,vo,attested_classical
Mrigashira,3,ka,attested_classical
Mrigashira,4,ki,attested_classical
