tithi,deity,attestation_status
Pratipada,Agni,attested_classical
Dvitiya,Vidhata,attested_classical
Tritiya,Gauri,attested_classical
Chaturthi,Ganesha,attested_classical
Panchami,Nagas,attested_classical
Shashthi,Kartikeya,attested_classical
Saptami,Surya,attested_classical
Ashtami,Durga,attested_classical
Navami,Durga,attested_classical
Dashami,Dharma,attested_classical
Ekadashi,Vishnu,attested_classical
Dvadashi,Vishnu,attested_classical
Trayodashi,Kamadeva,attested_classical
Chaturdashi,Shiva,attested_classical
Purnima,Chandra,attested_classical
Amavasya,Pitris,attested_classical
