tithi,deity,quality,attestation_status
Pratipada,Agni,beginnings,attested_classical
Dvitiya,Brahma,creation,attested_classical
Tritiya,Gauri,auspiciousness,attested_classical
Chaturthi,Ganesha,obstacle_removal,attested_classical
Panchami,Nagas,healing,attested_classical
Shashthi,Karttikeya,protection,attested_classical
Saptami,Surya,illumination,attested_classical
Ashtami,Durga,power,attested_classical
Navami,Durga,victory,attested_classical
Dashami,Vishnu,order,attested_classical
Ekadashi,Vishnu,spiritual_purity,attested_classical
Dvadashi,Madhava,restoration,attested_classical
Trayodashi,Kama,desire,attested_classical
Chaturdashi,Shiva,transformation,attested_classical
Purnima,Chandra,completion,attested_classical
Amavasya,Pitrs,ancestral_connection,attested_classical
