id,name,sanskrit,attestation_status
1,Pratipat,Pratipadā,attested_classical
2,Dvitiya,Dvitīyā,attested_classical
3,Tritiya,Tṛtīyā,attested_classical
4,Chaturthi,Caturthī,attested_classical
5,Panchami,Pañcamī,attested_classical
6,Shashthi,Ṣaṣṭhī,attested_classical
7,Saptami,Saptamī,attested_classical
8,Ashtami,Aṣṭamī,attested_classical
9,Navami,Navamī,attested_classical
10,Dashami,Daśamī,attested_classical
11,Ekadashi,Ekādaśī,attested_classical
12,Dvadashi,Dvādaśī,attested_classical
13,Trayodashi,Trayodaśī,attested_classical
14,Chaturdashi,Caturdaśī,attested_classical
15,Purnima/Amavasya,Pūrṇimā/Amāvasyā,attested_classical
