tithi,element,guna,dosha,attestation_status
Pratipada,fire,sattva,pitta,attested_classical
Dvitiya,water,rajas,kapha,attested_classical
Tritiya,earth,rajas,kapha,attested_classical
Chaturthi,air,rajas,vata,attested_classical
Pancami,fire,rajas,pitta,attested_classical
Sasti,earth,sattva,kapha,attested_classical
Saptami,air,sattva,vata,attested_classical
Astami,fire,tamas,pitta,attested_classical
Navami,water,rajas,kapha,attested_classical
Dasami,ether,sattva,kapha,attested_classical
Ekadasi,air,sattva,vata,attested_classical
Dvadasi,earth,rajas,kapha,attested_classical
Trayodasi,water,sattva,kapha,attested_classical
Caturdasi,fire,tamas,pitta,attested_classical
Purnima,ether,sattva,sattva,attested_classical
