herb_id,name_common,attestation_status,rasa,virya,vipaka,guna,dosha_balance,part_used,botanical_name,source_text
H001,Ashwagandha,CURATED_SPINE_FROM_REPORT,tikta kashaya,ushna,madhura,laghu snigdha,VK-,root,Withania somnifera,"Charaka Samhita, Bhavaprakasha"
H002,Shatavari,CURATED_SPINE_FROM_REPORT,madhura tikta,shita,madhura,guru snigdha,VP-,root,Asparagus racemosus,Charaka Samhita
H003,Brahmi,CURATED_SPINE_FROM_REPORT,tikta kashaya,shita,madhura,laghu,VPK=,whole plant,Bacopa monnieri,"Charaka Samhita, Sushruta Samhita"
H004,Mandukparni,CURATED_SPINE_FROM_REPORT,,,,,,,,
H005,Shankhpushpi,CURATED_SPINE_FROM_REPORT,tikta kashaya,shita,madhura,sara snigdha,VPK=,whole plant,Convolvulus pluricaulis,Bhavaprakasha
H006,Jatamansi,CURATED_SPINE_FROM_REPORT,,,,,,,,
H007,Tagar,CURATED_SPINE_FROM_REPORT,,,,,,,,
H008,Giloy,CURATED_SPINE_FROM_REPORT,,,,,,,,
H009,Tulsi,CURATED_SPINE_FROM_REPORT,katu tikta,ushna,katu,laghu ruksha,VK-,leaf,Ocimum tenuiflorum,"Bhavaprakasha, Charaka Samhita"
H010,Nimba Patra,CURATED_SPINE_FROM_REPORT,,,,,,,,
H011,Haridra,CURATED_SPINE_FROM_REPORT,,,,,,,,
H012,Daruharidra,CURATED_SPINE_FROM_REPORT,,,,,,,,
H013,Yashtimadhu,CURATED_SPINE_FROM_REPORT,,,,,,,,
H014,Vidarikand,CURATED_SPINE_FROM_REPORT,,,,,,,,
H015,Vidari,CURATED_SPINE_FROM_REPORT,,,,,,,,
H016,Bala,CURATED_SPINE_FROM_REPORT,,,,,,,,
H017,Atibala,CURATED_SPINE_FROM_REPORT,,,,,,,,
H018,Nagabala,CURATED_SPINE_FROM_REPORT,,,,,,,,
H019,Shvet Musli,CURATED_SPINE_FROM_REPORT,,,,,,,,
H020,Kapikachhu,CURATED_SPINE_FROM_REPORT,,,,,,,,
H021,Amla,CURATED_SPINE_FROM_REPORT,pancharasa (amla pradhana),shita,madhura,guru ruksha shita,VPK=,fruit,Phyllanthus emblica,"Charaka Samhita, Ashtanga Hridaya"
H022,Haritaki,CURATED_SPINE_FROM_REPORT,pancharasa,ushna,madhura,laghu ruksha,VPK=,fruit,Terminalia chebula,"Charaka Samhita, Bhavaprakasha"
H023,Bibhitaki,CURATED_SPINE_FROM_REPORT,kashaya,ushna,madhura,laghu ruksha,VPK=,fruit,Terminalia bellirica,Charaka Samhita
H024,Shunthi,CURATED_SPINE_FROM_REPORT,,,,,,,,
H025,Ardraka,CURATED_SPINE_FROM_REPORT,,,,,,,,
H026,Pippali,CURATED_SPINE_FROM_REPORT,,,,,,,,
H027,Maricha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H028,Chavya,CURATED_SPINE_FROM_REPORT,,,,,,,,
H029,Ajmoda,CURATED_SPINE_FROM_REPORT,,,,,,,,
H030,Yavani,CURATED_SPINE_FROM_REPORT,,,,,,,,
H031,Jeeraka,CURATED_SPINE_FROM_REPORT,,,,,,,,
H032,Krishna Jeeraka,CURATED_SPINE_FROM_REPORT,,,,,,,,
H033,Mishreya,CURATED_SPINE_FROM_REPORT,,,,,,,,
H034,Dhanyaka,CURATED_SPINE_FROM_REPORT,,,,,,,,
H035,Hingu,CURATED_SPINE_FROM_REPORT,,,,,,,,
H036,Vacha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H037,Chitrak,CURATED_SPINE_FROM_REPORT,,,,,,,,
H038,Nagarmotha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H039,Vidanga,CURATED_SPINE_FROM_REPORT,,,,,,,,
H040,Ativisha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H041,Katuki,CURATED_SPINE_FROM_REPORT,,,,,,,,
H042,Kalmegh,CURATED_SPINE_FROM_REPORT,,,,,,,,
H043,Bhunimba,CURATED_SPINE_FROM_REPORT,,,,,,,,
H044,Trivrit,CURATED_SPINE_FROM_REPORT,,,,,,,,
H045,Danti,CURATED_SPINE_FROM_REPORT,,,,,,,,
H046,Eranda,CURATED_SPINE_FROM_REPORT,,,,,,,,
H047,Punarnava,CURATED_SPINE_FROM_REPORT,,,,,,,,
H048,Gokshura,CURATED_SPINE_FROM_REPORT,,,,,,,,
H049,Varuna,CURATED_SPINE_FROM_REPORT,,,,,,,,
H050,Kokilaksha,CURATED_SPINE_FROM_REPORT,,,,,,,,
H051,Kumari,CURATED_SPINE_FROM_REPORT,,,,,,,,
