id,name_iast,tradition,beat_count,anga_structure,element,guna,deity,time_of_day,rasa,tempo_range,nadai_default,color_hex,attestation_status
tala_dhruva_tisra,Dhruva,carnatic,11,3+2+3+3,air,rajas,Vishnu,midday,vira,slow,3,#FFD700,attested_secondary
tala_dhruva_catusra,Dhruva,carnatic,14,4+2+4+4,air,rajas,Vishnu,midday,vira,slow,4,#FFD700,attested_secondary
tala_dhruva_khanda,Dhruva,carnatic,17,5+2+5+5,air,rajas,Vishnu,midday,vira,slow,5,#FFD700,attested_secondary
tala_dhruva_misra,Dhruva,carnatic,23,7+2+7+7,air,rajas,Vishnu,midday,vira,slow,7,#FFD700,attested_secondary
tala_dhruva_sankirna,Dhruva,carnatic,29,9+2+9+9,air,rajas,Vishnu,midday,vira,slow,9,#FFD700,attested_secondary
tala_matya_tisra,Matya,carnatic,8,3+2+3,water,sattva,Chandra,evening,shringara,all,3,#00BFFF,attested_secondary
tala_matya_catusra,Matya,carnatic,10,4+2+4,water,sattva,Chandra,evening,shringara,all,4,#00BFFF,attested_secondary
tala_matya_khanda,Matya,carnatic,12,5+2+5,water,sattva,Chandra,evening,shringara,all,5,#00BFFF,attested_secondary
tala_matya_misra,Matya,carnatic,16,7+2+7,water,sattva,Chandra,evening,shringara,all,7,#00BFFF,attested_secondary
tala_matya_sankirna,Matya,carnatic,20,9+2+9,water,sattva,Chandra,evening,shringara,all,9,#00BFFF,attested_secondary
tala_rupaka_tisra,Rupaka,carnatic,5,2+3,fire,rajas,Mangala,morning,raudra,medium,3,#FF4500,attested_secondary
tala_rupaka_catusra,Rupaka,carnatic,6,2+4,fire,rajas,Mangala,morning,raudra,medium,4,#FF4500,attested_secondary
tala_rupaka_khanda,Rupaka,carnatic,7,2+5,fire,rajas,Mangala,morning,raudra,medium,5,#FF4500,attested_secondary
tala_rupaka_misra,Rupaka,carnatic,9,2+7,fire,rajas,Mangala,morning,raudra,medium,7,#FF4500,attested_secondary
tala_rupaka_sankirna,Rupaka,carnatic,11,2+9,fire,rajas,Mangala,morning,raudra,medium,9,#FF4500,attested_secondary
tala_jhampa_tisra,Jhampā,carnatic,6,3+1+2,earth,tamas,Ganesha,night,karuna,slow,3,#8B4513,attested_secondary
tala_jhampa_catusra,Jhampā,carnatic,7,4+1+2,earth,tamas,Ganesha,night,karuna,slow,4,#8B4513,attested_secondary
tala_jhampa_khanda,Jhampā,carnatic,8,5+1+2,earth,tamas,Ganesha,night,karuna,slow,5,#8B4513,attested_secondary
tala_jhampa_misra,Jhampā,carnatic,10,7+1+2,earth,tamas,Ganesha,night,karuna,slow,7,#8B4513,attested_secondary
tala_jhampa_sankirna,Jhampā,carnatic,12,9+1+2,earth,tamas,Ganesha,night,karuna,slow,9,#8B4513,attested_secondary
tala_triputa_tisra,Triputā,carnatic,7,3+2+2,earth,sattva,Shiva,all,vira,all,3,#6A5ACD,attested_secondary
tala_triputa_catusra,Triputā,carnatic,8,4+2+2,earth,sattva,Shiva,all,vira,all,4,#6A5ACD,attested_secondary
tala_triputa_khanda,Triputā,carnatic,9,5+2+2,earth,sattva,Shiva,all,vira,all,5,#6A5ACD,attested_secondary
tala_triputa_misra,Triputā,carnatic,11,7+2+2,earth,sattva,Shiva,all,vira,all,7,#6A5ACD,attested_secondary
tala_triputa_sankirna,Triputā,carnatic,13,9+2+2,earth,sattva,Shiva,all,vira,all,9,#6A5ACD,attested_secondary
tala_ata_tisra,Āṭa,carnatic,10,3+3+2+2,ether,sattva,Shukra,midday,adbhuta,medium,3,#DA70D6,attested_secondary
tala_ata_catusra,Āṭa,carnatic,12,4+4+2+2,ether,sattva,Shukra,midday,adbhuta,medium,4,#DA70D6,attested_secondary
tala_ata_khanda,Āṭa,carnatic,14,5+5+2+2,ether,sattva,Shukra,midday,adbhuta,medium,5,#DA70D6,attested_secondary
