
entity_id,entity_type,composition_name,composer,raga,tala,language,pallavi_text,pallavi_swaras,source,notes
NDT001,pada,Gauranga Koruna Koro,Narottama Dasa Thakura,Sindhu Bhairavi,Prabhupada,Bengali,gaurāṅga karuṇā karo dīna hīna jane (approx),,https://kksongs.org/vsongs/gaurangakoruna.html#:~:text=Language%3A%20Bengali,Rasa: dasya (pleading for mercy); Ashtakala: dawn (Sindhu Bhairavi is a dawn raga)
NDT002,pada,Sri Guru Carana Padma,Narottama Dasa Thakura,Misra Kafi,Kaherva,Bengali,"śrī-guru-carana-padma, kevala-bhakti-sadma vando mui savadhana mate",,https://kksongs.org/songs/s/srigurucaranapadma.html#:~:text=karmis%20and%20jnanis%2C%20who%20have,Narottama%20speaks%20the%20truthhttps://iskconirm.com/docs/webpages/every_morning.html#:~:text=Srila%20Prabhupada%20during%20Guru,sadma%2C%20vando%20mui%20savadhana%20mate.%E2%80%9D,Rasa: dasya (glorifying spiritual master); Ashtakala: night (Misra Kafi is associated with midnight)
NDT003,pada,Sri Krsna Caitanya Prabhu Doya Koro More,Narottama Dasa Thakura,Misra Kafi,Kaherva,Bengali,"śrī-kṛṣṇa-caitanya prabhu doyā koro more, tomā binā ke doyālu jagat-saṁsāre",,https://kksongs.org/vsongs/srikrsnacaitanyaprabhudoya.html#:~:text=Raga%3A%20Misra%20Kafihttps://kksongs.org/songs/s/srikrsnacaitanyaprabhu.html#:~:text=%281%29%20%C5%9Br%C4%AB,sam%CC%81s%C4%81re,Rasa: dasya (supplication for mercy); Ashtakala: night (Misra Kafi -> midnight or night)
NDT004,pada,Radha Krsna Prana Mora,Narottama Dasa Thakura,Khamaj or Des,Kaherva,Bengali,"rādhā-kṛṣṇa prāṇa mora jugala-kiśora, jīvane maraṇe gati āro nāhi mora",,https://kksongs.org/songs/r/radhakrsnapranamora.html#:~:text=%281%29%20r%C4%81dh%C4%81,maran%CC%A3e%20gati%20%C4%81ro%20n%C4%81hi%20morahttps://kksongs.org/songs/r/radhakrsnapranamora.html#:~:text=REMARKS%2FEXTRA%20INFORMATION%3A,Rasa: madhurya (conjugal love); Ashtakala: night/evening (Khamaj/Des associated with evening and romantic moods)
NDT005,pada,Gaurangera Duti Pada,Narottama Dasa Thakura,Misra Gara,Choti Dasakusi or Lopha,Bengali,"gaurāṅgera duṭi pada, jār dhana sampada, se jāne bhakti-rasa-sār",,https://kksongs.org/songs/g/gaurangeradutipada.html#:~:text=,l%C4%ABl%C4%81%2C%20j%C4%81r%20karn%CC%A3e%20prave%C5%9Bil%C4%81https://kksongs.org/songs/g/gaurangeradutipada.html#:~:text=Remarks%2F%20Extra%20Information%3A,Rasa: dasya (praising Lord Caitanya); Ashtakala: unspecified; raga Misra Gara can be sung any time (folk-like)
NDT006,pada,Hari Haraye Namah,Narottama Dasa Thakura,Khammaja,Kaherva,Bengali,"hari haraye namah kṛṣṇa yādavāya namah, yādavāya mādhavāya keśavāya namah",,https://kksongs.org/vsongs/hariharayenamah.html#:~:text=Raga%3A%20Khammajahttps://kksongs.org/songs/h/hariharayenamah.html#:~:text=hari%20haraye%20namah%CC%A3%20kr%CC%A3s%CC%A3n%CC%A3a%20y%C4%81dav%C4%81ya,namah%CC%A3%20y%C4%81dav%C4%81ya%20m%C4%81dhav%C4%81ya%20ke%C5%9Bav%C4%81ya%20namah%CC%A3,Rasa: shanta/dasya (chanting holy names); Ashtakala: evening (Khamaj is romantic evening raga)
NDT007,pada,Je Anilo Prema Dhana Karuna Pracura,Narottama Dasa Thakura,Jhinjhoti,Prabhupada,Bengali,"je ānilo prema-dhana korunā pracur, heno prabhu kothā gelā ācārya-ṭhākur",,https://kksongs.org/vsongs/jeanilopremadhana.html#:~:text=Raga%3A%20Jhinjhoti,Rasa: karuna/vipralambha (lamenting separation from the Lord’s associates); Ashtakala: midday (Jhinjhoti is often sung in late morning to afternoon)
NDT008,pada,Vrndavana Ramya Sthana,Narottama Dasa Thakura,Bairagi,Kaherva,Bengali,"vṛndāvana ramya-sthāna dibya-cintāmaṇi-dhāma, ratana-mandira manohara",,https://kksongs.org/songs/v/vrndavanaramya.html#:~:text=vr%CC%A3nd%C4%81vana%20ramyahttps://kksongs.org/songs/v/vrndavanaramya.html#:~:text=REMARKS%2FEXTRA%20INFORMATION%3A,Rasa: madhurya (picturing the Divine Couple in Vrndavana); Ashtakala: early morning (Bairagi/Bhairavi ragas are morning ragas)
AKP01,ashtakala_period,Dawn (Sandhi – 6 am),,Ahir Bhairav,,,,,https://madhu.nanduri.com/ragatime.html#:~:text=1.%20Dawn%20Awakening%20,Ragas%20of%20the%20dawn%20variety,Meditative dawn raga; early morning devotional singing
AKP02,ashtakala_period,Morning Splendor (9 am),,Gujari Todi,,,,,https://madhu.nanduri.com/ragatime.html#:~:text=2.%20Morning%20Splendor%20,set%20to%20Teentaal,Vibrant morning raga for intense devotion
AKP03,ashtakala_period,Delightful Day (midday),,Maand,,,,,https://madhu.nanduri.com/ragatime.html#:~:text=3.%20Delightful%20Day%20,The%20artist%20gives%20it,Light classical melody; midday raga
AKP04,ashtakala_period,Afternoon (3 pm),,Bhimpalasi,,,,,https://madhu.nanduri.com/ragatime.html#:~:text=4.%20Afternoon%20Fantasy%20,medium%20tempo%29%20Teentaal,Romantic afternoon raga representing tender love and longing
