
entity_id,entity_type,composition_name,composer,raga,tala,language,pallavi_text,pallavi_swaras,source,notes
navagraha_surya,kriti,Sūryamūrte Namostute,Muthuswami Dikshitar,Saurāṣṭram,Chaturashra Dhruva,Sanskrit,"sūryamūrte namo'stute sukhada dīnavandita",,Medieval.org notes on Navagraha Kritishttps://www.karnatik.com/c1191.shtml#:~:text=suryamurthE%20namOsthuthE%20raagam%3A%20sowraashTram,Kriti for the sun in Dikshitar’s Navagraha cycle.
navagraha_chandra,kriti,Candram Bhaja Mānasa,Muthuswami Dikshitar,Asāverī,Chaturashra Matya,Sanskrit,"candram bhaja mānasa sādhu hṛdaya sadr̥śam",,Medieval.orghttps://www.karnatik.com/c5665.shtml#:~:text=candram%20bhaja%20mAnasa%20raagam%3A%20asaverI,Kriti for the moon in the Navagraha cycle.
navagraha_mars,kriti,Angārakam Āśrayāmyaham,Muthuswami Dikshitar,Surati,Rupaka,Sanskrit,"aṅgārakam āśrayāmyahaṃ vyāsa guru guha",,Medieval.orghttps://www.karnatik.com/c5633.shtml#:~:text=angArakam%20AshrayAmyaham%20raagam%3A%20suraTi,Kriti for Mars (Mangal) in the Navagraha series.
navagraha_mercury,kriti,Budham Āśrayāmi,Muthuswami Dikshitar,Nāta kuranji,Mishra Jhampa,Sanskrit,"budham āśrayāmi satatam sura vinutam",,Medieval.orghttps://www.karnatik.com/c5664.shtml#:~:text=budham%20AshrayAmi%20satatam%20raagam%3A%20nATakuranji,Kriti for Mercury.
navagraha_jupiter,kriti,Bṛhaspate Tārāpathe,Muthuswami Dikshitar,Āthānā,Tisra Tripuṭa,Sanskrit,"bṛhaspate tārāpathe brahmajāte namo'stute",,Medieval.orghttps://www.karnatik.com/c5663.shtml#:~:text=brhaspatE%20tArApatE%20brahmajAtE%20raagam%3A%20aThAna,Kriti for Jupiter.
navagraha_venus,kriti,Śrī Śukra Bhagavantaṃ Cintayāmi,Muthuswami Dikshitar,Pharaju (Paraju),Khanda Āṭa,Sanskrit,"śrī śukra bhagavantaṃ cintayāmi santatam",,Medieval.orghttps://www.karnatik.com/c1315.shtml#:~:text=srI%20sukra%20bhagavaantham%20raagam%3A%20pharaju,Kriti for Venus.
navagraha_saturn,kriti,Divākaratanujam Śanaiścaram,Muthuswami Dikshitar,Yadukulakambhoji,Chaturashra Eka,Sanskrit,"divākaratanujam śanaiścaraṃ dhīrataram chintayēham",,Medieval.orghttps://www.karnatik.com/c5680.shtml#:~:text=divAkara%20tanujam%20raagam%3A%20yadukulakAmbhoji,Kriti for Saturn.
navagraha_rahu,kriti,Smarāmyaham Sadā Rāhum,Muthuswami Dikshitar,Rāmāpriyā,Rupaka,Sanskrit,"smarāmyaham sadā rāhum sūrya candra vīkṣyam",,Medieval.orghttps://www.karnatik.com/c5996.shtml#:~:text=smarAmyaham%20sadA%20rAhum%20raagam%3A%20rAmapriyA,Kriti for Rāhu (attributed to followers; later addition)https://www.medieval.org/music/world/carnatic/lyrics/navagraha.html#:~:text=,cAmaraM%2FrUpakam.
navagraha_ketu,kriti,Mahāsuram Ketuṃ Aham,Muthuswami Dikshitar,Śanmukhapriyā,Rupaka,Sanskrit,"mahāsuram ketuṃ ahaṃ bhajāmi chāyā graha varam",,Medieval.orghttps://www.karnatik.com/c5779.shtml#:~:text=mahAsuram%20ketum%20aham%20raagam%3A%20shanmukhapriyA,Kriti for Ketu (attributed to followers; later addition)https://www.medieval.org/music/world/carnatic/lyrics/navagraha.html#:~:text=,cAmaraM%2FrUpakam.
tyagaraja_grahā,kriti,Grahā Balam Emi Śrī Rāmānugraha Balamē,Tyāgarāja,Revagupti,Deshādi/Adi,Telugu,"grahā balam emi śrī rāmānugraha balamē balamu",,Karnatik song page and Graha Balam articlehttps://www.karnatik.com/c2342.shtml#:~:text=graha%20balam%20raagam%3A%20rEvagupti,Tyāgarāja uses ‘graha’ as a pun to assert that the grace of Rāma is the true power; not a planetary hymn.
parthasarathy_nakshatra_malika,varnam,Nakṣatra Mālikā Varnam,N.C. Parthasarathy,Ragamālika (27 ragas),Adhi,Telugu,Begins with prayers to Pādma­vatī; each āvartana uses two ragas corresponding to the 27 nakshatras,Unknown,CarnaticCorner articlehttps://www.carnaticcorner.com/articles/Some%20Unusual%20Compositions%20in%20Carnatic%20Music.htm#:~:text=ragamalika%E2%80%9D%20containing%208%20ragams,Predictably%20several,A unique varnam employing 27 ragas to represent the lunar mansions; not composed by Dikshitar.
no_dikshitar_nakshatra_kriti,statement,No known set of 27 Nakṣatra Kritis by Muthuswami Dikshitar,–,–,–,–,–,–,Author’s synthesis,Extensive research did not find any evidence that Dikshitar composed a cycle of 27 nakṣatra kritis; the navagraha set covers nine planets onlyhttps://www.medieval.org/music/world/carnatic/lyrics/navagraha.html#:~:text=,cAmaraM%2FrUpakam.
