deity,domain,element,notes,attestation_status
Indra,storms,air,king_of_devas,attested_classical
Agni,sacred_fire,fire,ritual_fire_deity,attested_classical
Varuna,cosmic_waters,water,guardian_of_rta,attested_classical
Vayu,wind,air,life_breath,attested_classical
Surya,solar_light,fire,cosmic_illumination,attested_classical
Chandra,lunar_cycles,water,emotions_and_growth,attested_classical
Kubera,wealth,earth,guardian_of_treasures,attested_classical
Yama,death,earth,judge_of_the_dead,attested_classical
Durga,protection,fire,divine_mother,attested_classical
Lakshmi,prosperity,water,goddess_of_fortune,attested_classical
Saraswati,knowledge,air,goddess_of_learning,attested_classical
Ganesha,obstacle_removal,earth,auspicious_beginnings,attested_classical
Karttikeya,warfare,fire,divine_commander,attested_classical
