deity,vahana,symbolism,attestation_status
Shiva,Nandi_bull,dharma_strength,attested_classical
Vishnu,Garuda,solar_power,attested_classical
Durga,Lion,divine_power,attested_classical
Kali,None,transcendent_force,attested_classical
Lakshmi,Owl,prosperity_wisdom,attested_classical
Saraswati,Hamsa,knowledge_purity,attested_classical
Ganesha,Mouse,penetrating_intelligence,attested_classical
Karttikeya,Peacock,warrior_beauty,attested_classical
Surya,Seven_Horses,cosmic_motion,attested_classical
Indra,Airavata_elephant,royal_authority,attested_classical
Agni,Ram,sacrificial_energy,attested_classical
Varuna,Sea_creature,cosmic_order,attested_classical
Vayu,Deer,swift_movement,attested_classical
Kubera,Man,material_wealth,attested_classical
Yama,Buffalo,judgment_death,attested_classical
