loka_name,loka_type,position,ruler,element,description,source_verse,attestation_status
Bhu,upper,1,Prithvi / Virat,Earth,The terrestrial plane of embodied beings and physical experience,Vishnu Purana 2.7.1; Bhagavata Purana 5.26.5,SHASTRA:PRIMARY
Bhuvar,upper,2,Vayu,Air,The atmospheric plane between earth and sun inhabited by munis and siddhas,Vishnu Purana 2.7.2; Bhagavata Purana 5.24.8,SHASTRA:PRIMARY
Svar,upper,3,Indra,Fire,The celestial heaven of the devas extending from sun to Dhruva,Vishnu Purana 2.7.3; Bhagavata Purana 5.24.9,SHASTRA:PRIMARY
Mahar,upper,4,Bhrigu,Fire/Air,The plane of great saints who survive the three-world dissolution,Vishnu Purana 2.7.4; Bhagavata Purana 5.24.10,SHASTRA:PRIMARY
Jana,upper,5,Brahma (sons),Akasha,The plane of Sanaka and other mind-born sons of Brahma,Vishnu Purana 2.7.5; Bhagavata Purana 5.24.11,SHASTRA:PRIMARY
Tapa,upper,6,Vairaja devas,Akasha,The plane of supreme austerity between Jana and Satya,Vishnu Purana 2.7.6; Bhagavata Purana 5.24.12,SHASTRA:PRIMARY
Satya,upper,7,Brahma,Beyond elements,The highest plane of truth where death has no dominion,Vishnu Purana 2.7.7; Bhagavata Purana 5.24.13,SHASTRA:PRIMARY
Atala,lower,8,Bala (son of Maya),Earth,Ruled by Bala the asura; three supernatural powers emerge from his yawn,Vishnu Purana 2.5.1; Bhagavata Purana 5.24.16,SHASTRA:PRIMARY
Vitala,lower,9,Hara-Bhava (Shiva),Earth/Fire,Shiva dwells here with Bhavani; gold-flowing river Hataki originates here,Vishnu Purana 2.5.2; Bhagavata Purana 5.24.17,SHASTRA:PRIMARY
Sutala,lower,10,Bali Maharaja,Earth,Realm of the great devotee-king Bali to whom Vamana gave lordship,Vishnu Purana 2.5.3; Bhagavata Purana 5.24.18,SHASTRA:PRIMARY
Talatala,lower,11,Maya Danava,Earth/Water,Abode of the great asura architect Maya protected by Shiva,Vishnu Purana 2.5.4; Bhagavata Purana 5.24.19,SHASTRA:PRIMARY
Mahatala,lower,12,Kadru's serpents,Earth,Home of the many-hooded Nagas descended from Kadru,Vishnu Purana 2.5.5; Bhagavata Purana 5.24.20,SHASTRA:PRIMARY
Rasatala,lower,13,Daityas and Danavas,Water,Abode of Daityas and Danavas; Vishnu's Sudarshana guards against them,Vishnu Purana 2.5.6; Bhagavata Purana 5.24.21,SHASTRA:PRIMARY
Patala,lower,14,Vasuki,Water/Earth,The lowest realm of Nagas with jeweled palaces and luminous serpent hoods,Vishnu Purana 2.5.7; Bhagavata Purana 5.24.31,SHASTRA:PRIMARY
