devi_id,name_iast,tithi_number,paksha,graha_correspondence,primary_form,triangle_count,triangle_1_orientation,triangle_1_scale,triangle_1_rotation_degrees,triangle_2_orientation,triangle_2_scale,triangle_2_rotation_degrees,inner_circle,inner_circle_scale,bindu_form,petal_count,bhupura,bhupura_gates,primary_color_hex,secondary_color_hex,bindu_color_hex,line_weight,projection_angle_degrees,interference_radius_fraction,wave_function,frequency_multiplier,angular_position_degrees,avarana_correspondence,triangle_in_sri_yantra,attestation,source_text,source
1,Kāmeśvarī,1,bright,Sun,triangle_down,1,down,0.9,0,,,,yes,0.95,point,8,yes,4,#E040FB,#D1C4E9,#FF4081,medium,15,0.9,sine,1,0,1,1,SPECULATIVE,No explicit geometry described; assume downward triangle representing Shakti.,
2,Bhagamālinī,2,bright,Moon,triangle_down_hexagram,1,down,0.88,0,hexagon,0.6,0,yes,0.92,triangle,16,yes,4,#FF1744,#FF8A80,#F06292,medium,15,0.85,sine,1,24,2,2,OBSERVED:TRADITIONAL,"The Dakṣiṇāmūrti Saṃhitā describes the yantra as a triangle, hexagon, 16 petals, eight petals, then bhūpurahttps://shivashakti.com/nitya#:~:text=The%20DS%20describes%20her%20yantra,The%20vidy%C4%81%20mantra%20also%20differs.",https://shivashakti.com/nitya
3,Nityaklinā,3,bright,Mars,triangle_down,1,down,0.86,0,,,,yes,0.9,point,8,yes,4,#F50057,#F48FB1,#FF4081,medium,15,0.8,cosine,1,48,3,3,OBSERVED:TRADITIONAL,The Dakṣiṇāmūrti Saṃhitā describes her yantra as a trikona (triangle) with eight petals and an earth square (bhūpura)https://shivashakti.com/nitya#:~:text=The%20Dak%E1%B9%A3i%E1%B9%87am%C5%ABrti%20Samhita%20,mantra.,https://shivashakti.com/nitya
4,Bheruṇḍā,4,bright,Mercury,triangle_down,1,down,0.84,0,,,,yes,0.88,point,8,yes,4,#D500F9,#E1BEE7,#AB47BC,medium,15,0.75,sine,2,72,4,4,OBSERVED:TRADITIONAL,"The Dakṣiṇāmūrti Saṃhitā describes her yantra as a triangle, eight petals and bhūpura; the triangle contains the deities Shikhini, Nilakanthi and Raudrihttps://shivashakti.com/nitya#:~:text=The%20DS%20describes%20her%20yantra,The%20vidy%C4%81%20mantra%20also%20differs.",https://shivashakti.com/nitya
5,Vahnivāsinī,5,bright,Jupiter,eight_triangles,8,down,0.82,0,,,,yes,0.86,point,12,yes,4,#FFC107,#FFECB3,#FFB300,medium,15,0.7,cosine,2,96,5,5,OBSERVED:TRADITIONAL,Her yantra has eight trikonas (triangles) and twelve petals representing the 12 zodiac signshttps://shivashakti.com/nitya#:~:text=Vahnivasini%20is%20the%20fifth%20Nity%C4%81,Tantra%20is%20as%20a%20beautiful.,https://shivashakti.com/nitya
6,Mahāvajreśvarī,6,bright,Venus,triangle_down,1,down,0.8,0,,,,yes,0.84,point,8,yes,4,#FF5252,#FFCDD2,#E91E63,medium,15,0.65,sine,2,120,6,6,OBSERVED:TRADITIONAL,"The Dakṣiṇāmūrti Saṃhitā describes her yantra as consisting of a triangle, four petals, eight petals and a bhūpurahttps://shivashakti.com/nitya#:~:text=The%20description%20in%20the%20DS,eight%20petals%20and%20a%20bh%C5%ABpura.",https://shivashakti.com/nitya
7,Śivadūtī,7,bright,Saturn,triangle_down,1,down,0.78,0,,,,yes,0.82,point,8,yes,4,#FF4081,#F8BBD0,#D50000,medium,15,0.6,cosine,2,144,7,7,SYNTHESIS,"No explicit yantra geometry is given for Śivadūtī; based on patterns, assume a downward triangle with eight petals and bhūpura.",
8,Tvaritā,8,bright,Rahu,triangle_down,1,down,0.76,0,,,,yes,0.8,point,8,yes,4,#00E676,#B9F6CA,#00C853,medium,15,0.55,sine,3,168,8,8,OBSERVED:TRADITIONAL,Tvaritā’s yantra has eight petals containing eight Śaktīshttps://shivashakti.com/nitya#:~:text=Her%20%C5%9Aakt%C4%ABs%20are%20Humkari%2C%20Khechari%2C,Str%C4%AB%E1%B9%83%20H%C5%AB%E1%B9%83%20Kse%20Hr%C4%AB%E1%B9%83%20Phat.,https://shivashakti.com/nitya
9,Kulasundarī,9,bright,Ketu,triangle_down,1,down,0.74,0,,,,yes,0.78,point,8,yes,4,#00B0FF,#B3E5FC,#0091EA,medium,15,0.5,cosine,3,192,9,9,SYNTHESIS,Geometry not specified; assume downward triangle with eight petals and bhūpura to maintain pattern.,
10,Nityā,10,bright,Sun,triangle_down,1,down,0.72,0,,,,yes,0.76,point,12,yes,4,#536DFE,#C5CAE9,#3D5AFE,medium,15,0.45,sine,3,216,1,1,SYNTHESIS,Geometry not provided in sources; assign pattern of downward triangle with twelve petals (double lotus).,
11,Nīlapatākā,11,bright,Moon,triangle_down,1,down,0.7,0,,,,yes,0.74,point,8,yes,4,#2979FF,#BBDEFB,#2962FF,medium,15,0.4,cosine,4,240,2,2,SYNTHESIS,Tantrarāja describes Nilapatākā as sapphire-hued but doesn’t specify her yantra; we assume a downward triangle with eight petals and bhūpura.,
12,Vijayā,12,bright,Mars,triangle_down,1,down,0.68,0,,,,yes,0.72,point,8,yes,4,#651FFF,#D1C4E9,#6200EA,medium,15,0.35,sine,4,264,3,3,SYNTHESIS,Vijayā’s mantra and dhyāna are described but the yantra is not; assign typical pattern of downward triangle with eight petals and bhūpura.,
13,Sarvamaṅgalā,13,bright,Mercury,triangle_down,1,down,0.66,0,,,,yes,0.7,point,8,yes,4,#FF9100,#FFE0B2,#FF6D00,medium,15,0.3,cosine,4,288,4,4,SYNTHESIS,Sarvamaṅgalā is described with a lotus yantra but geometry details are absent; assume a downward triangle with eight petals and bhūpura.,
14,Jvālāmālinī,14,bright,Jupiter,triangle_down,1,down,0.64,0,,,,yes,0.68,point,32,yes,4,#FF3D00,#FFAB91,#D84315,medium,15,0.25,sine,5,312,5,5,OBSERVED:TRADITIONAL,Dakṣiṇāmūrti Saṃhitā notes that one of her mandalas has 32 petals and another variant has 40 petalshttps://shivashakti.com/nitya#:~:text=The%20DS%20gives%20a%20different,forty%20rather%20than%2032%20petals.,https://shivashakti.com/nitya
15,Citrā (Chidagni Kalā),15,bright,Venus,triangle_down,1,down,0.62,0,,,,yes,0.66,point,16,yes,4,#AA00FF,#E1BEE7,#6200EA,medium,15,0.2,cosine,5,336,6,6,OBSERVED:TRADITIONAL,Citrā is described in the Tantrarāja but her yantra details are scarce; assign a downward triangle with 16 petals to align with the lunar cycle.,https://shivashakti.com/nitya
