art,category,domain,from_layer,to_layer,gaudiya_priority,attestation_status
Singing,music,performance,S2,S6,3,attested_classical
Instrument_playing,music,performance,S2,S6,4,attested_classical
Dancing,music,performance,S2,S6,2,attested_classical
Drama,performance,storytelling,S2,S6,,attested_classical
Painting,visual,art,S4,S6,,attested_classical
Body_decoration,visual,ritual,S5,S6,,attested_classical
Flower_arrangement,visual,ritual,S5,S6,,attested_classical
Jewelry_making,craft,ornament,S4,S6,,attested_classical
Bed_arrangement,craft,household,S5,S6,,attested_classical
Water_music,play,leisure,S2,S6,,attested_classical
Water_splashing,play,leisure,S5,S6,,attested_classical
Picture_puzzles,game,intellect,S4,S6,,attested_classical
Garland_making,craft,ritual,S5,S6,,attested_classical
Hair_arrangement,craft,ornament,S5,S6,,attested_classical
Costume_design,craft,visual,S4,S6,,attested_classical
Perfume_mixing,craft,ritual,S5,S6,,attested_classical
Magic_tricks,entertainment,play,S4,S6,,attested_classical
Storytelling,performance,literature,S2,S6,,attested_classical
Poetry,literature,art,S2,S6,,attested_classical
Improvisation,literature,art,S2,S6,,attested_classical
Memory_training,intellect,discipline,S3,S6,,attested_classical
Debate,intellect,philosophy,S0,S6,,attested_classical
Architecture,craft,structure,S4,S6,,attested_classical
Temple_design,craft,sacred_space,S4,S6,,attested_classical
Metal_work,craft,tools,S4,S6,,attested_classical
Carpentry,craft,structure,S4,S6,,attested_classical
Pottery,craft,household,S4,S6,,attested_classical
Weaving,craft,textile,S4,S6,,attested_classical
Embroidery,craft,textile,S4,S6,,attested_classical
Cooking,household,sustenance,S5,S6,,attested_classical
Brewing,household,sustenance,S5,S6,,attested_classical
Agriculture,earth,food,S5,S6,,attested_classical
Gardening,earth,ritual,S5,S6,,attested_classical
Animal_training,earth,care,S5,S6,,attested_classical
Horse_training,earth,travel,S5,S6,,attested_classical
Elephant_training,earth,royal,S5,S6,,attested_classical
Archery,war,skill,S5,S6,,attested_classical
Swordsmanship,war,skill,S5,S6,,attested_classical
Strategy,war,intellect,S3,S6,,attested_classical
Yoga,body,spiritual,S0,S6,,attested_classical
Meditation,body,spiritual,S0,S6,,attested_classical
Breath_control,body,spiritual,S5,S6,,attested_classical
Mantra_recitation,sound,spiritual,S0,S6,1,attested_classical
Ritual_fire,ritual,sacred,S0,S6,,attested_classical
Astrology,cosmology,science,S3,S6,,attested_classical
Mathematics,intellect,science,S4,S6,,attested_classical
Geometry,intellect,science,S4,S6,,attested_classical
Medicine,healing,science,S5,S6,,attested_classical
Herbalism,healing,science,S5,S6,,attested_classical
Massage,healing,body,S5,S6,,attested_classical
Marma_knowledge,healing,body,S5,S6,,attested_classical
Music_theory,music,science,S2,S6,,attested_classical
Rhythm_study,music,science,S3,S6,,attested_classical
Dance_theory,music,science,S2,S6,,attested_classical
Drama_theory,performance,science,S2,S6,,attested_classical
Logic,intellect,philosophy,S0,S6,,attested_classical
Ethics,intellect,philosophy,S0,S6,,attested_classical
Statecraft,intellect,governance,S3,S6,,attested_classical
Navigation,earth,travel,S3,S6,,attested_classical
Cartography,earth,travel,S4,S6,,attested_classical
Animal_husbandry,earth,care,S5,S6,,attested_classical
Gemology,craft,ornament,S5,S6,,attested_classical
