entity_id,entity_type,name,name_iast,source_file,row_index,attestation_status
art:agriculture,art,Agriculture,,datasets/cosmology/vedic_arts_64.csv,31,seed_unverified
art:animal_husbandry,art,Animal_husbandry,,datasets/cosmology/vedic_arts_64.csv,60,seed_unverified
art:animal_training,art,Animal_training,,datasets/cosmology/vedic_arts_64.csv,33,seed_unverified
art:archery,art,Archery,,datasets/cosmology/vedic_arts_64.csv,36,seed_unverified
art:architecture,art,Architecture,,datasets/cosmology/vedic_arts_64.csv,22,seed_unverified
art:astrology,art,Astrology,,datasets/cosmology/vedic_arts_64.csv,44,seed_unverified
art:bed_arrangement,art,Bed_arrangement,,datasets/cosmology/vedic_arts_64.csv,8,seed_unverified
art:body_decoration,art,Body_decoration,,datasets/cosmology/vedic_arts_64.csv,5,seed_unverified
art:breath_control,art,Breath_control,,datasets/cosmology/vedic_arts_64.csv,41,seed_unverified
art:brewing,art,Brewing,,datasets/cosmology/vedic_arts_64.csv,30,seed_unverified
art:carpentry,art,Carpentry,,datasets/cosmology/vedic_arts_64.csv,25,seed_unverified
art:cartography,art,Cartography,,datasets/cosmology/vedic_arts_64.csv,59,seed_unverified
art:cooking,art,Cooking,,datasets/cosmology/vedic_arts_64.csv,29,seed_unverified
art:costume_design,art,Costume_design,,datasets/cosmology/vedic_arts_64.csv,14,seed_unverified
art:dance_theory,art,Dance_theory,,datasets/cosmology/vedic_arts_64.csv,53,seed_unverified
art:dancing,art,Dancing,,datasets/cosmology/vedic_arts_64.csv,2,seed_unverified
art:debate,art,Debate,,datasets/cosmology/vedic_arts_64.csv,21,seed_unverified
art:drama,art,Drama,,datasets/cosmology/vedic_arts_64.csv,3,seed_unverified
art:drama_theory,art,Drama_theory,,datasets/cosmology/vedic_arts_64.csv,54,seed_unverified
art:elephant_training,art,Elephant_training,,datasets/cosmology/vedic_arts_64.csv,35,seed_unverified
art:embroidery,art,Embroidery,,datasets/cosmology/vedic_arts_64.csv,28,seed_unverified
art:ethics,art,Ethics,,datasets/cosmology/vedic_arts_64.csv,56,seed_unverified
art:flower_arrangement,art,Flower_arrangement,,datasets/cosmology/vedic_arts_64.csv,6,seed_unverified
art:gardening,art,Gardening,,datasets/cosmology/vedic_arts_64.csv,32,seed_unverified
art:garland_making,art,Garland_making,,datasets/cosmology/vedic_arts_64.csv,12,seed_unverified
art:gemology,art,Gemology,,datasets/cosmology/vedic_arts_64.csv,61,seed_unverified
art:geometry,art,Geometry,,datasets/cosmology/vedic_arts_64.csv,46,seed_unverified
art:hair_arrangement,art,Hair_arrangement,,datasets/cosmology/vedic_arts_64.csv,13,seed_unverified
art:herbalism,art,Herbalism,,datasets/cosmology/vedic_arts_64.csv,48,seed_unverified
art:horse_training,art,Horse_training,,datasets/cosmology/vedic_arts_64.csv,34,seed_unverified
art:improvisation,art,Improvisation,,datasets/cosmology/vedic_arts_64.csv,19,seed_unverified
art:instrument_playing,art,Instrument_playing,,datasets/cosmology/vedic_arts_64.csv,1,seed_unverified
art:jewelry_making,art,Jewelry_making,,datasets/cosmology/vedic_arts_64.csv,7,seed_unverified
art:logic,art,Logic,,datasets/cosmology/vedic_arts_64.csv,55,seed_unverified
art:magic_tricks,art,Magic_tricks,,datasets/cosmology/vedic_arts_64.csv,16,seed_unverified
art:mantra_recitation,art,Mantra_recitation,,datasets/cosmology/vedic_arts_64.csv,42,seed_unverified
art:marma_knowledge,art,Marma_knowledge,,datasets/cosmology/vedic_arts_64.csv,50,seed_unverified
art:massage,art,Massage,,datasets/cosmology/vedic_arts_64.csv,49,seed_unverified
art:mathematics,art,Mathematics,,datasets/cosmology/vedic_arts_64.csv,45,seed_unverified
art:medicine,art,Medicine,,datasets/cosmology/vedic_arts_64.csv,47,seed_unverified
art:meditation,art,Meditation,,datasets/cosmology/vedic_arts_64.csv,40,seed_unverified
art:memory_training,art,Memory_training,,datasets/cosmology/vedic_arts_64.csv,20,seed_unverified
art:metal_work,art,Metal_work,,datasets/cosmology/vedic_arts_64.csv,24,seed_unverified
art:music_theory,art,Music_theory,,datasets/cosmology/vedic_arts_64.csv,51,seed_unverified
art:navigation,art,Navigation,,datasets/cosmology/vedic_arts_64.csv,58,seed_unverified
art:painting,art,Painting,,datasets/cosmology/vedic_arts_64.csv,4,seed_unverified
art:perfume_mixing,art,Perfume_mixing,,datasets/cosmology/vedic_arts_64.csv,15,seed_unverified
art:picture_puzzles,art,Picture_puzzles,,datasets/cosmology/vedic_arts_64.csv,11,seed_unverified
art:poetry,art,Poetry,,datasets/cosmology/vedic_arts_64.csv,18,seed_unverified
art:pottery,art,Pottery,,datasets/cosmology/vedic_arts_64.csv,26,seed_unverified
art:rhythm_study,art,Rhythm_study,,datasets/cosmology/vedic_arts_64.csv,52,seed_unverified
art:ritual_fire,art,Ritual_fire,,datasets/cosmology/vedic_arts_64.csv,43,seed_unverified
art:singing,art,Singing,,datasets/cosmology/vedic_arts_64.csv,0,seed_unverified
art:statecraft,art,Statecraft,,datasets/cosmology/vedic_arts_64.csv,57,seed_unverified
art:storytelling,art,Storytelling,,datasets/cosmology/vedic_arts_64.csv,17,seed_unverified
art:strategy,art,Strategy,,datasets/cosmology/vedic_arts_64.csv,38,seed_unverified
art:swordsmanship,art,Swordsmanship,,datasets/cosmology/vedic_arts_64.csv,37,seed_unverified
art:temple_design,art,Temple_design,,datasets/cosmology/vedic_arts_64.csv,23,seed_unverified
art:water_music,art,Water_music,,datasets/cosmology/vedic_arts_64.csv,9,seed_unverified
art:water_splashing,art,Water_splashing,,datasets/cosmology/vedic_arts_64.csv,10,seed_unverified
art:weaving,art,Weaving,,datasets/cosmology/vedic_arts_64.csv,27,seed_unverified
art:yoga,art,Yoga,,datasets/cosmology/vedic_arts_64.csv,39,seed_unverified
asana:balance,asana,Balance,,datasets/yoga/asana_core.csv,19,seed_unverified
asana:cat_cow,asana,Cat-Cow,,datasets/yoga/asana_core.csv,11,seed_unverified
asana:chest_opener,asana,Chest Opener,,datasets/yoga/asana_core.csv,12,seed_unverified
asana:child_pose,asana,Child Pose,,datasets/yoga/asana_core.csv,4,seed_unverified
asana:dancer,asana,Dancer,,datasets/yoga/asana_core.csv,6,seed_unverified
asana:flow,asana,Flow,,datasets/yoga/asana_core.csv,20,seed_unverified
asana:fold,asana,Fold,,datasets/yoga/asana_core.csv,13,seed_unverified
asana:grounding,asana,Grounding,,datasets/yoga/asana_core.csv,16,seed_unverified
asana:heart,asana,Heart,,datasets/yoga/asana_core.csv,15,seed_unverified
asana:hip_openers,asana,Hip Openers,,datasets/yoga/asana_core.csv,14,seed_unverified
asana:holds,asana,Holds,,datasets/yoga/asana_core.csv,18,seed_unverified
asana:lotus,asana,Lotus,,datasets/yoga/asana_core.csv,8,seed_unverified
asana:mountain,asana,Mountain,,datasets/yoga/asana_core.csv,5,seed_unverified
asana:padmasana,asana,Padmasana,,datasets/yoga/asana_core.csv,0,seed_unverified
asana:plank,asana,Plank,,datasets/yoga/asana_core.csv,10,seed_unverified
asana:root,asana,Root,,datasets/yoga/asana_core.csv,17,seed_unverified
asana:shoulder_stand,asana,Shoulder Stand,,datasets/yoga/asana_core.csv,7,seed_unverified
asana:simhasana,asana,Simhasana,,datasets/yoga/asana_core.csv,1,seed_unverified
asana:standing,asana,Standing,,datasets/yoga/asana_core.csv,21,seed_unverified
asana:twist,asana,Twist,,datasets/yoga/asana_core.csv,9,seed_unverified
asana:warrior_i,asana,Warrior I,,datasets/yoga/asana_core.csv,2,seed_unverified
asana:warrior_ii,asana,Warrior II,,datasets/yoga/asana_core.csv,3,seed_unverified
bandha:jalandhara_bandha,bandha,Jalandhara Bandha,,datasets/yoga/bandha_core.csv,1,seed_unverified
bandha:maha_bandha,bandha,Maha Bandha,,datasets/yoga/bandha_core.csv,3,seed_unverified
bandha:mula_bandha,bandha,Mula Bandha,,datasets/yoga/bandha_core.csv,0,seed_unverified
bandha:uddiyana_bandha,bandha,Uddiyana Bandha,,datasets/yoga/bandha_core.csv,2,seed_unverified
bhava:bhava_adbhuta,bhava,Bhava Adbhuta,अद्भुत,datasets/ontology/bhava_types.csv,7,seed_unverified
bhava:bhava_bhayanaka,bhava,Bhava Bhayanaka,भयानक,datasets/ontology/bhava_types.csv,8,seed_unverified
bhava:bhava_bibhatsa,bhava,Bhava Bibhatsa,बीभत्स,datasets/ontology/bhava_types.csv,9,seed_unverified
bhava:bhava_dasya,bhava,Bhava Dasya,दास्य,datasets/ontology/bhava_types.csv,1,seed_unverified
bhava:bhava_hasya,bhava,Bhava Hasya,हास्य,datasets/ontology/bhava_types.csv,11,seed_unverified
bhava:bhava_karuna,bhava,Bhava Karuna,करुण,datasets/ontology/bhava_types.csv,10,seed_unverified
bhava:bhava_madhurya,bhava,Bhava Madhurya,माधुर्य,datasets/ontology/bhava_types.csv,4,seed_unverified
bhava:bhava_raudra,bhava,Bhava Raudra,रौद्र,datasets/ontology/bhava_types.csv,5,seed_unverified
bhava:bhava_sakhya,bhava,Bhava Sakhya,सख्य,datasets/ontology/bhava_types.csv,2,seed_unverified
bhava:bhava_santa,bhava,Bhava Santa,शान्त,datasets/ontology/bhava_types.csv,0,seed_unverified
bhava:bhava_vatsalya,bhava,Bhava Vatsalya,वात्सल्य,datasets/ontology/bhava_types.csv,3,seed_unverified
bhava:bhava_virya,bhava,Bhava Virya,वीर्य,datasets/ontology/bhava_types.csv,6,seed_unverified
chakra:ajna,chakra,Ājñā,Ājñā,datasets/tantra/chakra_master.csv,5,seed_unverified
chakra:anahata,chakra,Anāhata,Anāhata,datasets/tantra/chakra_master.csv,3,seed_unverified
chakra:manipura,chakra,Maṇipūra,Maṇipūra,datasets/tantra/chakra_master.csv,2,seed_unverified
chakra:muladhara,chakra,Mūlādhāra,Mūlādhāra,datasets/tantra/chakra_master.csv,0,seed_unverified
chakra:sahasrara,chakra,Sahasrāra,Sahasrāra,datasets/tantra/chakra_master.csv,6,seed_unverified
chakra:svadhishthana,chakra,Svādhiṣṭhāna,Svādhiṣṭhāna,datasets/tantra/chakra_master.csv,1,seed_unverified
chakra:vishuddha,chakra,Viśuddha,Viśuddha,datasets/tantra/chakra_master.csv,4,seed_unverified
deity:agni,deity,Agni,,datasets/cosmology/deity_domains.csv,1,seed_unverified
