id,type,name,aliases,notes,source_file,attestation_status
nakshatra:ashwini,nakshatra,Ashwini,,,nakshatra.yaml,seed_unverified
nakshatra:bharani,nakshatra,Bharani,,,nakshatra.yaml,seed_unverified
nakshatra:krittika,nakshatra,Krittika,,,nakshatra.yaml,seed_unverified
nakshatra:rohini,nakshatra,Rohini,,,nakshatra.yaml,seed_unverified
nakshatra:mrigashira,nakshatra,Mrigashira,,,nakshatra.yaml,seed_unverified
nakshatra:ardra,nakshatra,Ardra,,,nakshatra.yaml,seed_unverified
nakshatra:punarvasu,nakshatra,Punarvasu,,,nakshatra.yaml,seed_unverified
nakshatra:pushya,nakshatra,Pushya,,,nakshatra.yaml,seed_unverified
nakshatra:ashlesha,nakshatra,Ashlesha,,,nakshatra.yaml,seed_unverified
nakshatra:magha,nakshatra,Magha,,,nakshatra.yaml,seed_unverified
nakshatra:purvaphalguni,nakshatra,PurvaPhalguni,,,nakshatra.yaml,seed_unverified
nakshatra:uttaraphalguni,nakshatra,UttaraPhalguni,,,nakshatra.yaml,seed_unverified
nakshatra:hasta,nakshatra,Hasta,,,nakshatra.yaml,seed_unverified
nakshatra:chitra,nakshatra,Chitra,,,nakshatra.yaml,seed_unverified
nakshatra:swati,nakshatra,Swati,,,nakshatra.yaml,seed_unverified
nakshatra:vishakha,nakshatra,Vishakha,,,nakshatra.yaml,seed_unverified
nakshatra:anuradha,nakshatra,Anuradha,,,nakshatra.yaml,seed_unverified
nakshatra:jyeshtha,nakshatra,Jyeshtha,,,nakshatra.yaml,seed_unverified
nakshatra:mula,nakshatra,Mula,,,nakshatra.yaml,seed_unverified
nakshatra:purvaashadha,nakshatra,PurvaAshadha,,,nakshatra.yaml,seed_unverified
nakshatra:uttaraashadha,nakshatra,UttaraAshadha,,,nakshatra.yaml,seed_unverified
nakshatra:shravana,nakshatra,Shravana,,,nakshatra.yaml,seed_unverified
nakshatra:dhanishta,nakshatra,Dhanishta,,,nakshatra.yaml,seed_unverified
nakshatra:shatabhisha,nakshatra,Shatabhisha,,,nakshatra.yaml,seed_unverified
nakshatra:purvabhadrapada,nakshatra,PurvaBhadrapada,,,nakshatra.yaml,seed_unverified
nakshatra:uttarabhadrapada,nakshatra,UttaraBhadrapada,,,nakshatra.yaml,seed_unverified
nakshatra:revati,nakshatra,Revati,,,nakshatra.yaml,seed_unverified
