id,type,name,aliases,notes,source_file,attestation_status
rashi:aries,rashi,Aries,,,rashi.yaml,seed_unverified
rashi:taurus,rashi,Taurus,,,rashi.yaml,seed_unverified
rashi:gemini,rashi,Gemini,,,rashi.yaml,seed_unverified
rashi:cancer,rashi,Cancer,,,rashi.yaml,seed_unverified
rashi:leo,rashi,Leo,,,rashi.yaml,seed_unverified
rashi:virgo,rashi,Virgo,,,rashi.yaml,seed_unverified
rashi:libra,rashi,Libra,,,rashi.yaml,seed_unverified
rashi:scorpio,rashi,Scorpio,,,rashi.yaml,seed_unverified
rashi:sagittarius,rashi,Sagittarius,,,rashi.yaml,seed_unverified
rashi:capricorn,rashi,Capricorn,,,rashi.yaml,seed_unverified
rashi:aquarius,rashi,Aquarius,,,rashi.yaml,seed_unverified
rashi:pisces,rashi,Pisces,,,rashi.yaml,seed_unverified
