from_hexagram,from_line,to_hexagram,transition_quality,field_movement,rasa_shift,lifecycle_shift,notes
hexagram_01,1,hexagram_10,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 1 changes in the creative
hexagram_01,2,hexagram_13,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 2 changes in the creative
hexagram_01,3,hexagram_44,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 3 changes in the creative
hexagram_01,4,hexagram_43,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 4 changes in the creative
hexagram_01,5,hexagram_14,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 5 changes in the creative
hexagram_01,6,hexagram_09,yielding,contracting,adbhuta_shifting,seed_transitioning,Line 6 changes in the creative
hexagram_02,1,hexagram_15,firming,expanding,shanta_shifting,harvest_transitioning,Line 1 changes in the receptive
hexagram_02,2,hexagram_08,firming,expanding,shanta_shifting,harvest_transitioning,Line 2 changes in the receptive
hexagram_02,3,hexagram_24,firming,expanding,shanta_shifting,harvest_transitioning,Line 3 changes in the receptive
hexagram_02,4,hexagram_23,firming,expanding,shanta_shifting,harvest_transitioning,Line 4 changes in the receptive
hexagram_02,5,hexagram_07,firming,expanding,shanta_shifting,harvest_transitioning,Line 5 changes in the receptive
hexagram_02,6,hexagram_16,firming,expanding,shanta_shifting,harvest_transitioning,Line 6 changes in the receptive
hexagram_03,1,hexagram_63,firming,expanding,karuna_shifting,sprout_transitioning,Line 1 changes in difficulty at the beginning
hexagram_03,2,hexagram_60,firming,expanding,karuna_shifting,sprout_transitioning,Line 2 changes in difficulty at the beginning
hexagram_03,3,hexagram_07,yielding,contracting,karuna_shifting,sprout_transitioning,Line 3 changes in difficulty at the beginning
hexagram_03,4,hexagram_42,firming,expanding,karuna_shifting,sprout_transitioning,Line 4 changes in difficulty at the beginning
hexagram_03,5,hexagram_24,yielding,contracting,karuna_shifting,sprout_transitioning,Line 5 changes in difficulty at the beginning
hexagram_03,6,hexagram_17,firming,expanding,karuna_shifting,sprout_transitioning,Line 6 changes in difficulty at the beginning
hexagram_04,1,hexagram_18,firming,expanding,hasya_shifting,sprout_transitioning,Line 1 changes in youthful folly
hexagram_04,2,hexagram_23,yielding,contracting,hasya_shifting,sprout_transitioning,Line 2 changes in youthful folly
hexagram_04,3,hexagram_41,firming,expanding,hasya_shifting,sprout_transitioning,Line 3 changes in youthful folly
hexagram_04,4,hexagram_08,yielding,contracting,hasya_shifting,sprout_transitioning,Line 4 changes in youthful folly
hexagram_04,5,hexagram_59,firming,expanding,hasya_shifting,sprout_transitioning,Line 5 changes in youthful folly
hexagram_04,6,hexagram_64,firming,expanding,hasya_shifting,sprout_transitioning,Line 6 changes in youthful folly
hexagram_05,1,hexagram_60,yielding,contracting,shanta_shifting,growth_transitioning,Line 1 changes in waiting
hexagram_05,2,hexagram_63,yielding,contracting,shanta_shifting,growth_transitioning,Line 2 changes in waiting
hexagram_05,3,hexagram_48,yielding,contracting,shanta_shifting,growth_transitioning,Line 3 changes in waiting
hexagram_05,4,hexagram_09,firming,expanding,shanta_shifting,growth_transitioning,Line 4 changes in waiting
hexagram_05,5,hexagram_11,yielding,contracting,shanta_shifting,growth_transitioning,Line 5 changes in waiting
hexagram_05,6,hexagram_43,firming,expanding,shanta_shifting,growth_transitioning,Line 6 changes in waiting
hexagram_06,1,hexagram_44,firming,expanding,raudra_shifting,growth_transitioning,Line 1 changes in conflict
hexagram_06,2,hexagram_12,yielding,contracting,raudra_shifting,growth_transitioning,Line 2 changes in conflict
hexagram_06,3,hexagram_10,firming,expanding,raudra_shifting,growth_transitioning,Line 3 changes in conflict
hexagram_06,4,hexagram_47,yielding,contracting,raudra_shifting,growth_transitioning,Line 4 changes in conflict
hexagram_06,5,hexagram_64,yielding,contracting,raudra_shifting,growth_transitioning,Line 5 changes in conflict
hexagram_06,6,hexagram_59,yielding,contracting,raudra_shifting,growth_transitioning,Line 6 changes in conflict
hexagram_07,1,hexagram_39,firming,expanding,vira_shifting,growth_transitioning,Line 1 changes in the army
hexagram_07,2,hexagram_29,firming,expanding,vira_shifting,growth_transitioning,Line 2 changes in the army
hexagram_07,3,hexagram_03,firming,expanding,vira_shifting,growth_transitioning,Line 3 changes in the army
hexagram_07,4,hexagram_20,firming,expanding,vira_shifting,growth_transitioning,Line 4 changes in the army
hexagram_07,5,hexagram_02,yielding,contracting,vira_shifting,growth_transitioning,Line 5 changes in the army
hexagram_07,6,hexagram_45,firming,expanding,vira_shifting,growth_transitioning,Line 6 changes in the army
hexagram_08,1,hexagram_46,firming,expanding,shringara_shifting,growth_transitioning,Line 1 changes in holding together
hexagram_08,2,hexagram_02,yielding,contracting,shringara_shifting,growth_transitioning,Line 2 changes in holding together
hexagram_08,3,hexagram_19,firming,expanding,shringara_shifting,growth_transitioning,Line 3 changes in holding together
hexagram_08,4,hexagram_04,firming,expanding,shringara_shifting,growth_transitioning,Line 4 changes in holding together
hexagram_08,5,hexagram_29,firming,expanding,shringara_shifting,growth_transitioning,Line 5 changes in holding together
hexagram_08,6,hexagram_40,firming,expanding,shringara_shifting,growth_transitioning,Line 6 changes in holding together
hexagram_09,1,hexagram_61,yielding,contracting,shringara_shifting,growth_transitioning,Line 1 changes in taming power of the small
hexagram_09,2,hexagram_37,yielding,contracting,shringara_shifting,growth_transitioning,Line 2 changes in taming power of the small
hexagram_09,3,hexagram_57,yielding,contracting,shringara_shifting,growth_transitioning,Line 3 changes in taming power of the small
hexagram_09,4,hexagram_05,yielding,contracting,shringara_shifting,growth_transitioning,Line 4 changes in taming power of the small
hexagram_09,5,hexagram_26,yielding,contracting,shringara_shifting,growth_transitioning,Line 5 changes in taming power of the small
hexagram_09,6,hexagram_01,firming,expanding,shringara_shifting,growth_transitioning,Line 6 changes in taming power of the small
hexagram_10,1,hexagram_01,firming,expanding,bhayanaka_shifting,growth_transitioning,Line 1 changes in treading
