hexagram_id,line_number,yang_or_yin,line_text_wilhelm,field_meaning,changing_to_hexagram,lifecycle_transition,intensity_threshold
hexagram_01,1,yang,Line 1 of the creative,foundation,hexagram_10,seed_to_change,0.15
hexagram_01,2,yang,Line 2 of the creative,inner_world,hexagram_13,seed_to_change,0.3
hexagram_01,3,yang,Line 3 of the creative,transition,hexagram_44,seed_to_change,0.45
hexagram_01,4,yang,Line 4 of the creative,outer_world,hexagram_43,seed_to_change,0.6
hexagram_01,5,yang,Line 5 of the creative,authority,hexagram_14,seed_to_change,0.75
hexagram_01,6,yang,Line 6 of the creative,culmination,hexagram_09,seed_to_change,0.9
hexagram_02,1,yin,Line 1 of the receptive,foundation,hexagram_15,harvest_to_change,0.15
hexagram_02,2,yin,Line 2 of the receptive,inner_world,hexagram_08,harvest_to_change,0.3
hexagram_02,3,yin,Line 3 of the receptive,transition,hexagram_24,harvest_to_change,0.45
hexagram_02,4,yin,Line 4 of the receptive,outer_world,hexagram_23,harvest_to_change,0.6
hexagram_02,5,yin,Line 5 of the receptive,authority,hexagram_07,harvest_to_change,0.75
hexagram_02,6,yin,Line 6 of the receptive,culmination,hexagram_16,harvest_to_change,0.9
hexagram_03,1,yin,Line 1 of difficulty at the beginning,foundation,hexagram_63,sprout_to_change,0.15
hexagram_03,2,yin,Line 2 of difficulty at the beginning,inner_world,hexagram_60,sprout_to_change,0.3
hexagram_03,3,yang,Line 3 of difficulty at the beginning,transition,hexagram_07,sprout_to_change,0.45
hexagram_03,4,yin,Line 4 of difficulty at the beginning,outer_world,hexagram_42,sprout_to_change,0.6
hexagram_03,5,yang,Line 5 of difficulty at the beginning,authority,hexagram_24,sprout_to_change,0.75
hexagram_03,6,yin,Line 6 of difficulty at the beginning,culmination,hexagram_17,sprout_to_change,0.9
hexagram_04,1,yin,Line 1 of youthful folly,foundation,hexagram_18,sprout_to_change,0.15
hexagram_04,2,yang,Line 2 of youthful folly,inner_world,hexagram_23,sprout_to_change,0.3
hexagram_04,3,yin,Line 3 of youthful folly,transition,hexagram_41,sprout_to_change,0.45
hexagram_04,4,yang,Line 4 of youthful folly,outer_world,hexagram_08,sprout_to_change,0.6
hexagram_04,5,yin,Line 5 of youthful folly,authority,hexagram_59,sprout_to_change,0.75
hexagram_04,6,yin,Line 6 of youthful folly,culmination,hexagram_64,sprout_to_change,0.9
hexagram_05,1,yang,Line 1 of waiting,foundation,hexagram_60,growth_to_change,0.15
hexagram_05,2,yang,Line 2 of waiting,inner_world,hexagram_63,growth_to_change,0.3
hexagram_05,3,yang,Line 3 of waiting,transition,hexagram_48,growth_to_change,0.45
hexagram_05,4,yin,Line 4 of waiting,outer_world,hexagram_09,growth_to_change,0.6
hexagram_05,5,yang,Line 5 of waiting,authority,hexagram_11,growth_to_change,0.75
hexagram_05,6,yin,Line 6 of waiting,culmination,hexagram_43,growth_to_change,0.9
hexagram_06,1,yin,Line 1 of conflict,foundation,hexagram_44,growth_to_change,0.15
hexagram_06,2,yang,Line 2 of conflict,inner_world,hexagram_12,growth_to_change,0.3
hexagram_06,3,yin,Line 3 of conflict,transition,hexagram_10,growth_to_change,0.45
hexagram_06,4,yang,Line 4 of conflict,outer_world,hexagram_47,growth_to_change,0.6
hexagram_06,5,yang,Line 5 of conflict,authority,hexagram_64,growth_to_change,0.75
hexagram_06,6,yang,Line 6 of conflict,culmination,hexagram_59,growth_to_change,0.9
hexagram_07,1,yin,Line 1 of the army,foundation,hexagram_39,growth_to_change,0.15
hexagram_07,2,yin,Line 2 of the army,inner_world,hexagram_29,growth_to_change,0.3
hexagram_07,3,yin,Line 3 of the army,transition,hexagram_03,growth_to_change,0.45
hexagram_07,4,yin,Line 4 of the army,outer_world,hexagram_20,growth_to_change,0.6
hexagram_07,5,yang,Line 5 of the army,authority,hexagram_02,growth_to_change,0.75
hexagram_07,6,yin,Line 6 of the army,culmination,hexagram_45,growth_to_change,0.9
hexagram_08,1,yin,Line 1 of holding together,foundation,hexagram_46,growth_to_change,0.15
hexagram_08,2,yang,Line 2 of holding together,inner_world,hexagram_02,growth_to_change,0.3
hexagram_08,3,yin,Line 3 of holding together,transition,hexagram_19,growth_to_change,0.45
hexagram_08,4,yin,Line 4 of holding together,outer_world,hexagram_04,growth_to_change,0.6
hexagram_08,5,yin,Line 5 of holding together,authority,hexagram_29,growth_to_change,0.75
hexagram_08,6,yin,Line 6 of holding together,culmination,hexagram_40,growth_to_change,0.9
hexagram_09,1,yang,Line 1 of taming power of the small,foundation,hexagram_61,growth_to_change,0.15
hexagram_09,2,yang,Line 2 of taming power of the small,inner_world,hexagram_37,growth_to_change,0.3
hexagram_09,3,yang,Line 3 of taming power of the small,transition,hexagram_57,growth_to_change,0.45
hexagram_09,4,yang,Line 4 of taming power of the small,outer_world,hexagram_05,growth_to_change,0.6
hexagram_09,5,yang,Line 5 of taming power of the small,authority,hexagram_26,growth_to_change,0.75
hexagram_09,6,yin,Line 6 of taming power of the small,culmination,hexagram_01,growth_to_change,0.9
hexagram_10,1,yin,Line 1 of treading,foundation,hexagram_01,growth_to_change,0.15
hexagram_10,2,yang,Line 2 of treading,inner_world,hexagram_25,growth_to_change,0.3
hexagram_10,3,yang,Line 3 of treading,transition,hexagram_06,growth_to_change,0.45
hexagram_10,4,yang,Line 4 of treading,outer_world,hexagram_58,growth_to_change,0.6
hexagram_10,5,yang,Line 5 of treading,authority,hexagram_38,growth_to_change,0.75
hexagram_10,6,yang,Line 6 of treading,culmination,hexagram_61,growth_to_change,0.9
hexagram_11,1,yang,Line 1 of peace,foundation,hexagram_19,bloom_to_change,0.15
hexagram_11,2,yang,Line 2 of peace,inner_world,hexagram_36,bloom_to_change,0.3
hexagram_11,3,yang,Line 3 of peace,transition,hexagram_46,bloom_to_change,0.45
hexagram_11,4,yin,Line 4 of peace,outer_world,hexagram_26,bloom_to_change,0.6
hexagram_11,5,yin,Line 5 of peace,authority,hexagram_05,bloom_to_change,0.75
hexagram_11,6,yin,Line 6 of peace,culmination,hexagram_34,bloom_to_change,0.9
hexagram_12,1,yin,Line 1 of standstill,foundation,hexagram_33,dormancy_to_change,0.15
hexagram_12,2,yin,Line 2 of standstill,inner_world,hexagram_06,dormancy_to_change,0.3
hexagram_12,3,yin,Line 3 of standstill,transition,hexagram_25,dormancy_to_change,0.45
hexagram_12,4,yang,Line 4 of standstill,outer_world,hexagram_45,dormancy_to_change,0.6
hexagram_12,5,yang,Line 5 of standstill,authority,hexagram_35,dormancy_to_change,0.75
hexagram_12,6,yang,Line 6 of standstill,culmination,hexagram_20,dormancy_to_change,0.9
hexagram_13,1,yang,Line 1 of fellowship,foundation,hexagram_25,bloom_to_change,0.15
hexagram_13,2,yin,Line 2 of fellowship,inner_world,hexagram_01,bloom_to_change,0.3
hexagram_13,3,yang,Line 3 of fellowship,transition,hexagram_33,bloom_to_change,0.45
hexagram_13,4,yang,Line 4 of fellowship,outer_world,hexagram_49,bloom_to_change,0.6
hexagram_13,5,yang,Line 5 of fellowship,authority,hexagram_30,bloom_to_change,0.75
hexagram_13,6,yang,Line 6 of fellowship,culmination,hexagram_37,bloom_to_change,0.9
hexagram_14,1,yang,Line 1 of great possession,foundation,hexagram_38,bloom_to_change,0.15
hexagram_14,2,yang,Line 2 of great possession,inner_world,hexagram_30,bloom_to_change,0.3
hexagram_14,3,yang,Line 3 of great possession,transition,hexagram_50,bloom_to_change,0.45
hexagram_14,4,yang,Line 4 of great possession,outer_world,hexagram_34,bloom_to_change,0.6
hexagram_14,5,yin,Line 5 of great possession,authority,hexagram_01,bloom_to_change,0.75
hexagram_14,6,yang,Line 6 of great possession,culmination,hexagram_26,bloom_to_change,0.9
hexagram_15,1,yang,Line 1 of modesty,foundation,hexagram_02,fruit_to_change,0.15
hexagram_15,2,yin,Line 2 of modesty,inner_world,hexagram_46,fruit_to_change,0.3
