hexagram_id,nakshatra_id,resonance_score,resonance_reason,shared_element,shared_quality,shared_graha,notes,attestation_status
hexagram_01,nakshatra_punarvasu,0.4,shared guna sattva + deva-sattva alignment,,sattva,,the creative resonates with Punarvasu,inferred_coherent
hexagram_01,nakshatra_pushya,0.4,shared guna sattva + deva-sattva alignment,,sattva,,the creative resonates with Pushya,inferred_coherent
hexagram_01,nakshatra_uttara_phalguni,0.3,shared guna sattva,,sattva,,the creative resonates with Uttara_Phalguni,inferred_coherent
hexagram_01,nakshatra_hasta,0.4,shared guna sattva + deva-sattva alignment,,sattva,,the creative resonates with Hasta,inferred_coherent
hexagram_01,nakshatra_anuradha,0.4,shared guna sattva + deva-sattva alignment,,sattva,,the creative resonates with Anuradha,inferred_coherent
hexagram_01,nakshatra_uttara_ashadha,0.3,shared guna sattva,,sattva,,the creative resonates with Uttara_Ashadha,inferred_coherent
hexagram_01,nakshatra_shravana,0.4,shared guna sattva + deva-sattva alignment,,sattva,,the creative resonates with Shravana,inferred_coherent
hexagram_01,nakshatra_uttara_bhadrapada,0.3,shared guna sattva,,sattva,,the creative resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_01,nakshatra_revati,0.4,shared guna sattva + deva-sattva alignment,,sattva,,the creative resonates with Revati,inferred_coherent
hexagram_02,nakshatra_bharani,0.35,shared element earth,earth,,,the receptive resonates with Bharani,inferred_coherent
hexagram_02,nakshatra_rohini,0.5,shared element earth + dosha-body alignment kapha/belly,earth,,,the receptive resonates with Rohini,inferred_coherent
hexagram_02,nakshatra_mrigashira,0.65,shared element earth + shared guna tamas,earth,tamas,,the receptive resonates with Mrigashira,inferred_coherent
hexagram_02,nakshatra_ardra,0.3,shared guna tamas,,tamas,,the receptive resonates with Ardra,inferred_coherent
hexagram_02,nakshatra_ashlesha,0.55,shared guna tamas + dosha-body alignment kapha/belly + rakshasa-tamas alignment,,tamas,,the receptive resonates with Ashlesha,inferred_coherent
hexagram_02,nakshatra_magha,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,the receptive resonates with Magha,inferred_coherent
hexagram_02,nakshatra_purva_phalguni,0.35,shared element earth,earth,,,the receptive resonates with Purva_Phalguni,inferred_coherent
hexagram_02,nakshatra_uttara_phalguni,0.5,shared element earth + dosha-body alignment kapha/belly,earth,,,the receptive resonates with Uttara_Phalguni,inferred_coherent
hexagram_02,nakshatra_chitra,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,the receptive resonates with Chitra,inferred_coherent
hexagram_02,nakshatra_jyeshtha,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,the receptive resonates with Jyeshtha,inferred_coherent
hexagram_02,nakshatra_mula,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,the receptive resonates with Mula,inferred_coherent
hexagram_02,nakshatra_uttara_ashadha,0.5,shared element earth + dosha-body alignment kapha/belly,earth,,,the receptive resonates with Uttara_Ashadha,inferred_coherent
hexagram_02,nakshatra_shatabhisha,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,the receptive resonates with Shatabhisha,inferred_coherent
hexagram_02,nakshatra_purva_bhadrapada,0.3,shared guna tamas,,tamas,,the receptive resonates with Purva_Bhadrapada,inferred_coherent
hexagram_03,nakshatra_ashwini,0.8,shared element fire + shared guna rajas + dosha-body alignment vata/foot,fire,rajas,,difficulty at the beginning resonates with Ashwini,inferred_coherent
hexagram_03,nakshatra_bharani,0.4,shared guna rajas + manushya-rajas alignment,,rajas,,difficulty at the beginning resonates with Bharani,inferred_coherent
hexagram_03,nakshatra_krittika,0.65,shared element fire + shared guna rajas,fire,rajas,,difficulty at the beginning resonates with Krittika,inferred_coherent
hexagram_03,nakshatra_rohini,0.4,shared guna rajas + manushya-rajas alignment,,rajas,,difficulty at the beginning resonates with Rohini,inferred_coherent
hexagram_03,nakshatra_ardra,0.6,shared element water + dosha-body alignment vata/foot + manushya-rajas alignment,water,,,difficulty at the beginning resonates with Ardra,inferred_coherent
hexagram_03,nakshatra_pushya,0.35,shared element water,water,,,difficulty at the beginning resonates with Pushya,inferred_coherent
hexagram_03,nakshatra_ashlesha,0.35,shared element water,water,,,difficulty at the beginning resonates with Ashlesha,inferred_coherent
hexagram_03,nakshatra_magha,0.35,shared element fire,fire,,,difficulty at the beginning resonates with Magha,inferred_coherent
hexagram_03,nakshatra_purva_phalguni,0.4,shared guna rajas + manushya-rajas alignment,,rajas,,difficulty at the beginning resonates with Purva_Phalguni,inferred_coherent
hexagram_03,nakshatra_chitra,0.35,shared element fire,fire,,,difficulty at the beginning resonates with Chitra,inferred_coherent
hexagram_03,nakshatra_swati,0.45,shared guna rajas + dosha-body alignment vata/foot,,rajas,,difficulty at the beginning resonates with Swati,inferred_coherent
hexagram_03,nakshatra_vishakha,0.65,shared element fire + shared guna rajas,fire,rajas,,difficulty at the beginning resonates with Vishakha,inferred_coherent
hexagram_03,nakshatra_anuradha,0.35,shared element water,water,,,difficulty at the beginning resonates with Anuradha,inferred_coherent
hexagram_03,nakshatra_purva_ashadha,0.75,shared element water + shared guna rajas + manushya-rajas alignment,water,rajas,,difficulty at the beginning resonates with Purva_Ashadha,inferred_coherent
hexagram_03,nakshatra_dhanishta,0.65,shared element fire + shared guna rajas,fire,rajas,,difficulty at the beginning resonates with Dhanishta,inferred_coherent
hexagram_03,nakshatra_purva_bhadrapada,0.45,shared element fire + manushya-rajas alignment,fire,,,difficulty at the beginning resonates with Purva_Bhadrapada,inferred_coherent
hexagram_03,nakshatra_uttara_bhadrapada,0.45,shared element water + manushya-rajas alignment,water,,,difficulty at the beginning resonates with Uttara_Bhadrapada,inferred_coherent
hexagram_03,nakshatra_revati,0.35,shared element water,water,,,difficulty at the beginning resonates with Revati,inferred_coherent
hexagram_04,nakshatra_bharani,0.35,shared element earth,earth,,,youthful folly resonates with Bharani,inferred_coherent
hexagram_04,nakshatra_rohini,0.35,shared element earth,earth,,,youthful folly resonates with Rohini,inferred_coherent
hexagram_04,nakshatra_mrigashira,0.8,shared element earth + shared guna tamas + dosha-body alignment vata/ear,earth,tamas,,youthful folly resonates with Mrigashira,inferred_coherent
hexagram_04,nakshatra_ardra,0.8,shared element water + shared guna tamas + dosha-body alignment vata/ear,water,tamas,,youthful folly resonates with Ardra,inferred_coherent
hexagram_04,nakshatra_pushya,0.35,shared element water,water,,,youthful folly resonates with Pushya,inferred_coherent
hexagram_04,nakshatra_ashlesha,0.75,shared element water + shared guna tamas + rakshasa-tamas alignment,water,tamas,,youthful folly resonates with Ashlesha,inferred_coherent
hexagram_04,nakshatra_magha,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,youthful folly resonates with Magha,inferred_coherent
hexagram_04,nakshatra_purva_phalguni,0.35,shared element earth,earth,,,youthful folly resonates with Purva_Phalguni,inferred_coherent
hexagram_04,nakshatra_uttara_phalguni,0.35,shared element earth,earth,,,youthful folly resonates with Uttara_Phalguni,inferred_coherent
hexagram_04,nakshatra_chitra,0.4,shared guna tamas + rakshasa-tamas alignment,,tamas,,youthful folly resonates with Chitra,inferred_coherent
