principle_name,description,elemental_correspondence,vedic_parallel,vastu_zone,dosha_quality,attestation
Observe and Interact,Careful observation before intervention; understand patterns before designing,ether,Sākṣī (witness consciousness),C/Brahma,Sattva,SYNTHESIS:MOLLISON_HOLMGREN
Catch and Store Energy,Harvest resources at peak abundance for use in times of need,fire/water,Agni (transformation) + Varuṇa (containment),SE/W,Rajas,SYNTHESIS:MOLLISON_HOLMGREN
Obtain a Yield,Ensure useful rewards from work; design for productive output,earth,"Kubera (north, abundance)",N,Rajas,SYNTHESIS:MOLLISON_HOLMGREN
Self-Regulation and Feedback,Discourage inappropriate activity; accept feedback and adjust,water,"Yama (south, dharmic boundary)",S,Sattva,SYNTHESIS:MOLLISON_HOLMGREN
Use Renewable Resources,Make best use of nature's abundance; reduce consumption of non-renewables,earth/water,Pṛthvī tattva (earth as provider),SW,Kapha,SYNTHESIS:MOLLISON_HOLMGREN
Produce No Waste,Value and make use of all resources; waste is a resource not yet used,earth,"Nirṛti (southwest, decomposition → renewal)",SW,Tamas→Sattva,SYNTHESIS:MOLLISON_HOLMGREN
Design from Patterns to Details,Step back to observe patterns in nature; let them inform design,ether/air,Ākāśa tattva (space reveals pattern),C,Sattva,SYNTHESIS:MOLLISON_HOLMGREN
Integrate Rather Than Segregate,Put elements in right relationship; everything supports everything else,air,"Vāyu (connection, movement between)",NW,Vata,SYNTHESIS:MOLLISON_HOLMGREN
Use Small and Slow Solutions,Small and slow systems are easier to maintain; make better use of local resources,earth/water,"Kapha (slow, steady, enduring)",S,Kapha,SYNTHESIS:MOLLISON_HOLMGREN
Use and Value Diversity,Diversity reduces vulnerability; don't put all eggs in one basket,fire/air,Viśva (cosmic diversity as strength),E,Rajas,SYNTHESIS:MOLLISON_HOLMGREN
Use Edges and Value the Marginal,The interface between things is where interesting events occur,air/fire,"Sandhyā (junction time, dawn/dusk)",NE/SE,Sattva/Rajas,SYNTHESIS:MOLLISON_HOLMGREN
Creatively Use and Respond to Change,Make positive use of change by carefully observing and intervening,fire,Agni (transformation through change),SE,Rajas,SYNTHESIS:MOLLISON_HOLMGREN
