guild_id,anchor_plant,companion_plant,relationship_type,guild_function,vastu_zone,element,graha_companion,ayurvedic_synergy,planting_nakshatra,planting_phase,planting_vara,source,attestation,notes
G001,Poison nut,Fenugreek,companion,nitrogen_fixer,SW,Earth,Budha,,Ashwini,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G002,Poison nut,Comfrey,companion,dynamic_accumulator,NE,Water/Earth,Brihaspati,,Ashwini,waxing,Thursday,,the need for synthetic fertilizers,Mercury Kumari
G003,Poison nut,Marigold,companion,pest_repellent,SE,Fire,Surya,,Ashwini,waxing,Sunday,,the need for synthetic fertilizers,Mercury Kumari
G004,Poison nut,Lavender,companion,pollinator_attractor,NW,Air,Budha,,Ashwini,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G005,Poison nut,Clover,companion,ground_cover,SW,Earth,Chandra,,Ashwini,waxing,Monday,,the need for synthetic fertilizers,Mercury Kumari
G006,Poison nut,Bean,companion,climber,E,Space,Mangala,,Ashwini,waxing,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G007,Poison nut,Ginger,companion,root_crop,SW,Earth,Ketu,Tulsi+ginger tea reduces vata and enhances immunity,Ashwini,waning,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G008,Poison nut,Black walnut,conflict,conflict,SW,Earth,Rahu,,Ashwini,waning,Saturday,,the need for synthetic fertilizers,Mercury Kumari
G009,Amla,Fenugreek,companion,nitrogen_fixer,SW,Earth,Budha,,Bharani,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G010,Amla,Comfrey,companion,dynamic_accumulator,NE,Water/Earth,Brihaspati,,Bharani,waxing,Thursday,,the need for synthetic fertilizers,Mercury Kumari
G011,Amla,Marigold,companion,pest_repellent,SE,Fire,Surya,,Bharani,waxing,Sunday,,the need for synthetic fertilizers,Mercury Kumari
G012,Amla,Lavender,companion,pollinator_attractor,NW,Air,Budha,,Bharani,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G013,Amla,Clover,companion,ground_cover,SW,Earth,Chandra,,Bharani,waxing,Monday,,the need for synthetic fertilizers,Mercury Kumari
G014,Amla,Bean,companion,climber,E,Space,Mangala,,Bharani,waxing,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G015,Amla,Ginger,companion,root_crop,SW,Earth,Ketu,Tulsi+ginger tea reduces vata and enhances immunity,Bharani,waning,Tuesday,,the need for synthetic fertilizers,Mercury Kumari
G016,Amla,Black walnut,conflict,conflict,SW,Earth,Rahu,,Bharani,waning,Saturday,,the need for synthetic fertilizers,Mercury Kumari
G017,Cluster fig,Fenugreek,companion,nitrogen_fixer,SW,Earth,Budha,,Krittika,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G018,Cluster fig,Comfrey,companion,dynamic_accumulator,NE,Water/Earth,Brihaspati,,Krittika,waxing,Thursday,,the need for synthetic fertilizers,Mercury Kumari
G019,Cluster fig,Marigold,companion,pest_repellent,SE,Fire,Surya,,Krittika,waxing,Sunday,,the need for synthetic fertilizers,Mercury Kumari
G020,Cluster fig,Lavender,companion,pollinator_attractor,NW,Air,Budha,,Krittika,waxing,Wednesday,,the need for synthetic fertilizers,Mercury Kumari
G021,Cluster fig,Clover,companion,ground_cover,SW,Earth,Chandra,,Krittika,waxing,Monday,,the need for synthetic fertilizers,Mercury Kumari
