latin_name,common_name,family,habit,mature_height_m,canopy_spread_m,hardiness_zone_min,hardiness_zone_max,layer,succession_role,root_architecture,water_relationship,nitrogen_fixer,guild_function_primary,allelopathic,fodder_cattle,fodder_sheep,fodder_goat,fodder_pig,fodder_chicken,fodder_duck,edibility_rating,medicinal_rating,other_uses_rating,soil,shade,moisture,range,found_in,known_hazards,summary,attestation,source
Abelmoschus esculentus,Okra,Malvaceae,Annual,1.0,,5,11,groundcover,mid_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,4,3,2,LMH,N,M,The original habitat is obscure.,"Africa, Albania, Angola, Antigua and Barbuda, Armenia, Asia, Australia, Bangladesh, Benin, Brazil, Bulgaria, Burkina Faso, Cambodia, Central Africa, Central African Republic, CAR, Central America, Chi",The hairs on the seed pods can be an irritant to some people and gloves should be worn when harvesting. These hairs can be easily removed by washing[200].,"A perennial, often cultivated as an annual in temperate climates.",OBSERVED:PFAF,pfaf.org database
Abies amabilis,"Red Fir,Pacific silver fir",Pinaceae,Tree,30.0,,4,8,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,1,2,3,LMH,FSN,M,North-western N. America - Alaska to Oregon.,,None known,,OBSERVED:PFAF,pfaf.org database
Abies balsamea,Balsam Fir,Pinaceae,Tree,15.0,,3,6,canopy,mid_successional,fibrous_shallow,wetland,no,pest_confuser,no,no,no,no,no,no,no,3,5,3,LMH,FSN,M,"North-eastern N. America - Newfoundland to Virginia, west to Alberta, Michigan and Ohio.",,"The oleoresin (Canada balsam) is reported to produce dermatitis when applied as perfume[222, 269]. The foliage has also induced contact dermatitis[269].",Form: Pyramidal.,OBSERVED:PFAF,pfaf.org database
Abies concolor,"Colorado Fir, White fir",Pinaceae,Tree,45.0,,3,7,canopy,mid_successional,fibrous_shallow,drought_tolerant,no,canopy,no,no,no,no,no,no,no,0,2,2,LMH,FSN,DM,"South-western N. America - Oregon to California, to Arizona and New Mexico.",,None known,Form: Columnar.,OBSERVED:PFAF,pfaf.org database
Abies fraseri,"She Balsam, Fraser fir, Southern Balsam Fir",Pinaceae,Tree,15.0,,4,7,canopy,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,1,3,3,LMH,FSN,M,South-eastern N. America - Virginia and West Virginia to North Carolina and Tennessee.,,The oleoresin (Canada balsam) can cause dermatitis in some people[222].,"Form: Pyramidal, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Abies grandis,"Grand Fir, Giant Fir, Lowland White Fir",Pinaceae,Tree,75.0,,5,6,canopy,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,2,2,3,LMH,FSN,M,"Western N. America - British Columbia to California, east to Montana and Idaho.",,None known,"Form: Columnar, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Abies lasiocarpa,"Subalpine Fir, Alpine Fir",Pinaceae,Tree,25.0,,5,6,canopy,mid_successional,fibrous_shallow,mesic,no,pest_confuser,no,no,no,no,no,no,no,2,2,2,LMH,FSN,M,Western N. America - Alaska to Arizona and New Mexico.,,None known,"Form: Pyramidal, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Abies magnifica,"Californian Red Fir, Shasta red fir",Pinaceae,Tree,60.0,,4,8,canopy,mid_successional,fibrous_shallow,drought_tolerant,no,canopy,no,no,no,no,no,no,no,0,0,2,LMH,FSN,M,South-western N. America - Oregon to California.,,None known,,OBSERVED:PFAF,pfaf.org database
Abies procera,Noble Fir,Pinaceae,Tree,60.0,,5,6,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,0,1,2,LMH,FSN,M,Western N. America - Washington to N. California. Self-sows in Britain - in Scotland[11].,,None known,"Form: Columnar, Pyramidal, Upright or erect.",OBSERVED:PFAF,pfaf.org database
Abies religiosa,Sacred Fir,Pinaceae,Tree,40.0,,7,10,canopy,mid_successional,fibrous_shallow,mesic,no,canopy,no,no,no,no,no,no,no,0,1,3,LMH,FSN,M,South-western N. America - Mexico,,None known,,OBSERVED:PFAF,pfaf.org database
Abronia fragrans,Snowball Sand Verbena,Nyctaginaceae,Perennial,0.6,,7,10,groundcover,early_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,2,1,0,LM,N,DM,"South-western N. America - South Dakota to Nebraska, Colorado, Texas and Mexico",,None known,,OBSERVED:PFAF,pfaf.org database
Abronia latifolia,"Sand Verbena, Coastal sand verbena",Nyctaginaceae,Perennial,0.1,,7,10,groundcover,early_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,2,0,0,L,N,DM,South-western N. America - California to Vancouver Island..,,None known,,OBSERVED:PFAF,pfaf.org database
Abronia turbinata,Transmontane Sand Verbena,Nyctaginaceae,Perennial,0.1,,,,groundcover,early_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,1,0,L,N,DM,"South-western N. America - California, Nevada and Oregon.",,None known,,OBSERVED:PFAF,pfaf.org database
Abronia villosa,Desert Sand Verbena,Nyctaginaceae,Annual,0.1,,7,10,groundcover,early_successional,fibrous_shallow,mesic,no,support,no,no,no,no,no,no,no,0,1,0,L,N,DM,South-western N. America - Nevada and Arizona to California.,,None known,,OBSERVED:PFAF,pfaf.org database
Acacia angustissima,Prairie acacia. Timbre. Fernleaf Acacia,Fabaceae,Tree,5.0,,7,10,understory,pioneer,deep_taproot,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,2,3,4,LMH,N,DM,"C. America - Panama, north to Mexico and southern N. America.","Africa, Belize, Central America, Colombia, Costa Rica, East Africa, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, North America, Panama, South America, USA, Zimbabwe,","Especially in times of drought, many Acacia species can concentrate high levels of the toxin Hydrogen cyanide in their foliage, making them dangerous for herbivores to eat.","A. angustissima is native to North America (Mexico and southern United States), Central America and South America (Venezuela, Colombia, Peru, Bolivia and Argentina) (Rico Arce and Bachman, 2006). It is one of the acacias most widely distributed in the Neotropics (Cook et al., 2005). Outside its nati",OBSERVED:PFAF,pfaf.org database
Acacia koa,Koa Acacia,Fabaceae,Tree,20.0,,10,12,canopy,mid_successional,rhizomatous,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,0,2,3,LMH,N,DM,Pacific Islands - Hawaii.,United States,None known,,OBSERVED:PFAF,pfaf.org database
Acacia koaia,Koai'a,Fabaceae,Tree,5.0,,10,12,understory,mid_successional,fibrous_shallow,drought_tolerant,no,windbreak,no,no,no,no,no,no,no,0,1,4,LMH,N,DM,Hawaiian Islands.,"Hawaii, United States.",None Known,"Closely related to koa (A. koa), and is sometimes considered to be the same species. Acacia koaia is usually distinguished by growing as a short (rarely more than 5 m or 16 ft), broad, gnarled tree; having the seeds longitudinally arranged in the pod; shorter, straighter phyllodes; and much denser w",OBSERVED:PFAF,pfaf.org database
Acacia mearnsii,"Black Wattle, Late black wattle",Fabaceae,Tree,10.0,,8,11,canopy,mid_successional,deep_taproot,drought_tolerant,yes,nitrogen_fixer,no,no,no,no,no,no,no,1,3,4,LM,N,M,"Australia - New South Wales, Victoria, South Australia, Tasmania.","Found in: Africa, Asia, Australia, Brazil, Caribbean, China, East Africa, Ethiopia, Hawaii, India, Italy, Jamaica, Kenya, Madagascar, Mozambique, New Zealand, North America, Pakistan, Portugal, Reunio",None known,Acacia mearnsii  is a fast-growing leguminous large tree native to Australia growing naturally in brown sandy clay soils and black peaty soils along swampy flats and riverbanks. Over 1000 Acacia species occur in Australia and there are over 1350 species identified so far. Typically Acacia mearnsii r,OBSERVED:PFAF,pfaf.org database
Acanthocereus tetragonus,Pitahaya. Barbed-wire cactus.,Cactaceae,Tree,5.0,,10,12,understory,mid_successional,fibrous_shallow,drought_tolerant,no,support,no,no,no,no,no,no,no,3,0,3,LM,N,D,"Northern S. America - Venezuela, north to Mexico, Florida, Texas and the West Indies.","Antilles, Asia, Belize, Caribbean, Central America, Colombia, Costa Rica, Cuba, Dominica, El Salvador, Guatemala, Honduras, Indonesia, Martinique, Mexico*, Nicaragua, North America, Panama, South Amer",None Known,,OBSERVED:PFAF,pfaf.org database
Acca sellowiana,"Feijoa, Pineapple Guava",Myrtaceae,Shrub,3.0,,8,11,shrub,early_successional,fibrous_shallow,drought_tolerant,no,windbreak,no,no,no,no,no,no,no,4,0,2,LMH,N,DM,"S. America - Brazil, Uruguay, Argentina.","Africa, Argentina, Asia, Australia, Azerbaijan, Bahamas, Brazil*, Britain, Central America, Chile, China, Cook Islands, Costa Rica, Cuba, East Africa, Europe, France, Georgia, Hawaii, Himalayas, India",None known,"Bloom Color: Red, White.
Main Bloom Time: Early spring, Late spring, Mid spring. Form: Rounded, Spreading or Horizontal, Upright or erect.",OBSERVED:PFAF,pfaf.org database
