plant,deity,element,use,attestation_status
Tulsi,Vishnu,earth,devotional,attested_secondary
Bilva,Shiva,earth,ritual,attested_secondary
Lotus,Lakshmi,water,purity,attested_secondary
Neem,Durga,air,healing,attested_secondary
Peepal,Vishnu,air,sacred_tree,attested_secondary
Ashoka,Kama,earth,beauty,attested_secondary
Sandalwood,Vishnu,water,fragrance,attested_secondary
Bael,Shiva,earth,ritual,attested_secondary
Banana,Brihaspati,earth,ritual,attested_secondary
Mango,Kamadeva,water,fertility,attested_secondary
