from_id,relation,to_id,confidence,attestation_status
composition:NDT001,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:NDT001,composition_ashtakala,ashtakala:nisanta,0.9,attested_classical
composition:NDT001,composition_deity,deity:gauranga,0.9,attested_classical
composition:NDT001,composition_raga,raga:sindhu_bhairavi,0.9,attested_classical
composition:NDT001,composition_tala,tala:prabhupada,0.9,attested_classical
composition:NDT001,evokes_vraja_forest,vraja_forest:gokula,0.7,derived_ashtakala_topology
composition:NDT001,evokes_vraja_forest,vraja_forest:madhuvana,0.7,derived_ashtakala_topology
composition:NDT001,evokes_vraja_forest,vraja_forest:vrindavana,0.7,derived_ashtakala_topology
composition:NDT002,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:NDT002,composition_ashtakala,ashtakala:ratri,0.7,derived_raga_time
composition:NDT002,composition_deity,deity:guru,0.9,attested_classical
composition:NDT002,composition_raga,raga:misra_kafi,0.9,attested_classical
composition:NDT002,composition_tala,tala:kaherva,0.9,attested_classical
composition:NDT002,evokes_vraja_forest,vraja_forest:gokula,0.7,derived_ashtakala_topology
composition:NDT002,evokes_vraja_forest,vraja_forest:vrindavana,0.7,derived_ashtakala_topology
composition:NDT003,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:NDT003,composition_ashtakala,ashtakala:ratri,0.7,derived_raga_time
composition:NDT003,composition_deity,deity:gauranga,0.9,attested_classical
composition:NDT003,composition_deity,deity:nityananda,0.9,attested_classical
composition:NDT003,composition_raga,raga:misra_kafi,0.9,attested_classical
composition:NDT003,composition_tala,tala:kaherva,0.9,attested_classical
composition:NDT003,evokes_vraja_forest,vraja_forest:gokula,0.7,derived_ashtakala_topology
composition:NDT003,evokes_vraja_forest,vraja_forest:vrindavana,0.7,derived_ashtakala_topology
composition:NDT004,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:NDT004,composition_ashtakala,ashtakala:pradosha,0.7,derived_raga_time
composition:NDT004,composition_deity,deity:krishna,0.9,attested_classical
composition:NDT004,composition_deity,deity:radha,0.9,attested_classical
composition:NDT004,composition_raga,raga:des,0.9,attested_classical
composition:NDT004,composition_raga,raga:khamaj,0.9,attested_classical
composition:NDT004,composition_tala,tala:kaherva,0.9,attested_classical
composition:NDT004,evokes_vraja_forest,vraja_forest:bilvavana,0.7,derived_ashtakala_topology
composition:NDT004,evokes_vraja_forest,vraja_forest:kumudavana,0.7,derived_ashtakala_topology
composition:NDT005,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:NDT005,composition_deity,deity:gauranga,0.9,attested_classical
composition:NDT005,composition_raga,raga:misra_gara,0.9,attested_classical
composition:NDT005,composition_tala,tala:choti_dasakusi,0.9,attested_classical
composition:NDT005,composition_tala,tala:lopha,0.9,attested_classical
composition:NDT006,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:NDT006,composition_deity,deity:krishna,0.9,attested_classical
composition:NDT006,composition_raga,raga:khammaja,0.9,attested_classical
composition:NDT006,composition_tala,tala:kaherva,0.9,attested_classical
composition:NDT007,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:NDT007,composition_ashtakala,ashtakala:madhyahna,0.9,attested_classical
composition:NDT007,composition_deity,deity:gauranga,0.9,attested_classical
composition:NDT007,composition_raga,raga:jhinjhoti,0.9,attested_classical
composition:NDT007,composition_tala,tala:prabhupada,0.9,attested_classical
composition:NDT007,evokes_vraja_forest,vraja_forest:bahulavana,0.7,derived_ashtakala_topology
composition:NDT007,evokes_vraja_forest,vraja_forest:mahavana,0.7,derived_ashtakala_topology
composition:NDT008,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:NDT008,composition_ashtakala,ashtakala:pratah,0.9,attested_classical
composition:NDT008,composition_deity,deity:krishna,0.9,attested_classical
composition:NDT008,composition_deity,deity:radha,0.9,attested_classical
composition:NDT008,composition_raga,raga:bairagi,0.9,attested_classical
composition:NDT008,composition_tala,tala:kaherva,0.9,attested_classical
composition:NDT008,evokes_vraja_forest,vraja_forest:bhadravana,0.7,derived_ashtakala_topology
composition:narottama_gauranga_karuna,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
composition:narottama_gauranga_karuna,composition_ashtakala,ashtakala:nisanta,0.7,derived_raga_time
composition:narottama_gauranga_karuna,composition_deity,deity:gauranga,0.9,attested_classical
composition:narottama_gauranga_karuna,composition_raga,raga:sindhu_bhairavi,0.9,attested_classical
composition:narottama_gauranga_karuna,composition_tala,tala:prabhupada_variant_of_kaherva,0.9,attested_classical
composition:narottama_gauranga_karuna,evokes_vraja_forest,vraja_forest:gokula,0.7,derived_ashtakala_topology
composition:narottama_gauranga_karuna,evokes_vraja_forest,vraja_forest:madhuvana,0.7,derived_ashtakala_topology
composition:narottama_gauranga_karuna,evokes_vraja_forest,vraja_forest:vrindavana,0.7,derived_ashtakala_topology
composition:narottama_gaurangera_duti_pada,composed_by,composer:narottama_dasa_thakura,0.9,attested_classical
