from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
deity:shiva,vahana,vahana:nandi_bull,cosmology/deity_master.csv,,,traditional,0.8,Nandi (bull)
deity:shiva,weapon,weapon:trishula,cosmology/deity_master.csv,,,traditional,0.8,Trishula
deity:shiva,element,element:ether,cosmology/deity_master.csv,,,traditional,0.8,ether
deity:shiva,domain,domain:transformation,cosmology/deity_master.csv,,,traditional,0.8,transformation
deity:vishnu,vahana,vahana:garuda,cosmology/deity_master.csv,,,traditional,0.8,Garuda
deity:vishnu,weapon,weapon:chakra,cosmology/deity_master.csv,,,traditional,0.8,Chakra
deity:vishnu,element,element:water,cosmology/deity_master.csv,,,traditional,0.8,water
deity:vishnu,domain,domain:preservation,cosmology/deity_master.csv,,,traditional,0.8,preservation
deity:brahma,vahana,vahana:hamsa_swan,cosmology/deity_master.csv,,,traditional,0.8,Hamsa (swan)
deity:brahma,weapon,weapon:vedas,cosmology/deity_master.csv,,,traditional,0.8,Vedas
deity:brahma,element,element:air,cosmology/deity_master.csv,,,traditional,0.8,air
deity:brahma,domain,domain:creation,cosmology/deity_master.csv,,,traditional,0.8,creation
deity:durga,vahana,vahana:lion,cosmology/deity_master.csv,,,traditional,0.8,Lion
deity:durga,weapon,weapon:trident,cosmology/deity_master.csv,,,traditional,0.8,Trident
deity:durga,element,element:fire,cosmology/deity_master.csv,,,traditional,0.8,fire
deity:durga,domain,domain:protection,cosmology/deity_master.csv,,,traditional,0.8,protection
deity:kali,vahana,vahana:none,cosmology/deity_master.csv,,,traditional,0.8,None
deity:kali,weapon,weapon:sword,cosmology/deity_master.csv,,,traditional,0.8,Sword
deity:kali,element,element:fire,cosmology/deity_master.csv,,,traditional,0.8,fire
deity:kali,domain,domain:time_destruction,cosmology/deity_master.csv,,,traditional,0.8,time destruction
deity:lakshmi,vahana,vahana:owl,cosmology/deity_master.csv,,,traditional,0.8,Owl
deity:lakshmi,weapon,weapon:lotus,cosmology/deity_master.csv,,,traditional,0.8,Lotus
deity:lakshmi,element,element:water,cosmology/deity_master.csv,,,traditional,0.8,water
deity:lakshmi,domain,domain:prosperity,cosmology/deity_master.csv,,,traditional,0.8,prosperity
deity:saraswati,vahana,vahana:hamsa_swan,cosmology/deity_master.csv,,,traditional,0.8,Hamsa (swan)
deity:saraswati,weapon,weapon:veena,cosmology/deity_master.csv,,,traditional,0.8,Veena
deity:saraswati,element,element:air,cosmology/deity_master.csv,,,traditional,0.8,air
deity:saraswati,domain,domain:knowledge,cosmology/deity_master.csv,,,traditional,0.8,knowledge
deity:ganesha,vahana,vahana:mouse,cosmology/deity_master.csv,,,traditional,0.8,Mouse
deity:ganesha,weapon,weapon:axe,cosmology/deity_master.csv,,,traditional,0.8,Axe
