from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
nakshatra:ashwini,dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Vata
nakshatra:ashwini,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:bharani,dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Pitta
nakshatra:bharani,secondary_dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Vata
nakshatra:krittika,dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Kapha
nakshatra:krittika,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:rohini,dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Kapha
nakshatra:rohini,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:mrigashirsha,dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Pitta
nakshatra:mrigashirsha,secondary_dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Vata
nakshatra:ardra,dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Vata
nakshatra:ardra,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:punarvasu,dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Vata
nakshatra:punarvasu,secondary_dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Kapha
nakshatra:pushya,dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Pitta
nakshatra:pushya,secondary_dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Kapha
nakshatra:ashlesha,dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Kapha
nakshatra:ashlesha,secondary_dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Vata
nakshatra:magha,dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Kapha
nakshatra:magha,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:purva_phalguni,dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Pitta
nakshatra:purva_phalguni,secondary_dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Kapha
nakshatra:uttara_phalguni,dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Vata
nakshatra:uttara_phalguni,secondary_dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Kapha
nakshatra:hasta,dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Vata
nakshatra:hasta,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:chitra,dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Pitta
nakshatra:chitra,secondary_dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Vata
nakshatra:swati,dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Kapha
nakshatra:swati,secondary_dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Vata
nakshatra:vishakha,dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Kapha
nakshatra:vishakha,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:anuradha,dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Pitta
nakshatra:anuradha,secondary_dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Kapha
nakshatra:jyeshtha,dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Vata
nakshatra:jyeshtha,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:moola,dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Vata
nakshatra:moola,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:purva_ashadha,dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Pitta
nakshatra:purva_ashadha,secondary_dosha,dosha:vata,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Vata
nakshatra:uttara_ashadha,dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Kapha
nakshatra:uttara_ashadha,secondary_dosha,dosha:pitta,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.6,secondary: Pitta
nakshatra:shravana,dosha,dosha:kapha,ayurveda/dosha_nakshatra_matrix.csv,,,traditional,0.8,primary: Kapha
