from_id,relation,to_id,source,confidence,stability,authority
ashtakala:nisanta,corresponds_to,muhurta:brahma_muhurta,Gaudiya_calendar,0.95,stable,shastra
ashtakala:nisanta,expressed_as,raga:bhairava,Gaudiya_sangita,0.9,stable,shastra
ashtakala:nisanta,associated_plant,plant:kadamba,Vraja_cosmology,0.85,working,sadhu
ashtakala:pratah,expressed_as,raga:todi,Gaudiya_sangita,0.9,stable,shastra
ashtakala:pratah,associated_plant,plant:jasmine,Vraja_cosmology,0.85,working,sadhu
ashtakala:purvahna,expressed_as,raga:bilaval,Gaudiya_sangita,0.9,stable,shastra
ashtakala:madhyahna,expressed_as,raga:bhimpalasi,Gaudiya_sangita,0.9,stable,shastra
ashtakala:aparahna,expressed_as,raga:puriya_dhanashri,Gaudiya_sangita,0.9,stable,shastra
ashtakala:sayahna,expressed_as,raga:yaman,Gaudiya_sangita,0.9,stable,shastra
ashtakala:pradosha,expressed_as,raga:bageshri,Gaudiya_sangita,0.9,stable,shastra
ashtakala:ratri,expressed_as,raga:darbari,Gaudiya_sangita,0.9,stable,shastra
vraja:vrindavana,center_of,cosmology:goloka,Brahma_Samhita,0.99,stable,shastra
vraja:vrindavana,corresponds_to,nakshatra:hasta,Gaudiya_jyotish,0.7,experimental,guru
vraja:madhuvana,ashtakala_forest,ashtakala:nisanta,Vraja_cosmology,0.85,stable,sadhu
vraja:talavana,ashtakala_forest,ashtakala:sayahna,Vraja_cosmology,0.85,stable,sadhu
vraja:kumudavana,ashtakala_forest,ashtakala:pradosha,Vraja_cosmology,0.85,stable,sadhu
festival:janmashtami,tithi,tithi:krishna_ashtami_bhadra,Vaishnava_calendar,0.99,stable,shastra
festival:janmashtami,raga,raga:darbari,Gaudiya_sangita,0.85,stable,sadhu
festival:gaura_purnima,tithi,tithi:phalguna_purnima,Vaishnava_calendar,0.99,stable,shastra
festival:radhashtami,tithi,tithi:bhadra_shukla_ashtami,Vaishnava_calendar,0.99,stable,shastra
bhajan:jaya_radha_madhava,ashtakala,ashtakala:pratah,Gitavali,0.9,stable,shastra
bhajan:guruvastakam,ashtakala,ashtakala:nisanta,temple_program,0.95,stable,shastra
bhajan:gaura_arati,ashtakala,ashtakala:sayahna,Gitavali,0.9,stable,shastra
bhajan:govindam_adi_purusam,ashtakala,ashtakala:pratah,Brahma_Samhita,0.95,stable,shastra
deity:krishna,eternal_realm,cosmology:goloka,Brahma_Samhita_5.1,0.99,stable,shastra
deity:radha,eternal_realm,cosmology:goloka,Brahma_Samhita,0.99,stable,shastra
deity:chaitanya,appearance,festival:gaura_purnima,Chaitanya_Charitamrita,0.99,stable,shastra
deity:nityananda,appearance,festival:nityananda_trayodashi,Vaishnava_calendar,0.99,stable,shastra
