from_id,relation,to_id,tradition,source,confidence,gaudiya_aligned,notes
trigram:qian,trigram_element,element:ether,yijing,trigrams.csv,0.95,false,heaven corresponds to ether
trigram:qian,trigram_graha,graha:surya,yijing_jyotish,trigrams.csv,0.80,false,heaven aligned with surya
trigram:qian,trigram_guna,guna:sattva,yijing_vedanta,trigrams.csv,0.75,false,heaven — sattva quality
trigram:qian,trigram_rasa,rasa:adbhuta,yijing_natyashastra,trigrams.csv,0.70,false,heaven expresses adbhuta
trigram:kun,trigram_element,element:earth,yijing,trigrams.csv,0.95,false,earth corresponds to earth
trigram:kun,trigram_graha,graha:chandra,yijing_jyotish,trigrams.csv,0.80,false,earth aligned with chandra
trigram:kun,trigram_guna,guna:tamas,yijing_vedanta,trigrams.csv,0.75,false,earth — tamas quality
trigram:kun,trigram_rasa,rasa:shanta,yijing_natyashastra,trigrams.csv,0.70,false,earth expresses shanta
trigram:zhen,trigram_element,element:fire,yijing,trigrams.csv,0.95,false,thunder corresponds to fire
trigram:zhen,trigram_graha,graha:mangala,yijing_jyotish,trigrams.csv,0.80,false,thunder aligned with mangala
trigram:zhen,trigram_guna,guna:rajas,yijing_vedanta,trigrams.csv,0.75,false,thunder — rajas quality
trigram:zhen,trigram_rasa,rasa:vira,yijing_natyashastra,trigrams.csv,0.70,false,thunder expresses vira
trigram:xun,trigram_element,element:air,yijing,trigrams.csv,0.95,false,wind corresponds to air
trigram:xun,trigram_graha,graha:budha,yijing_jyotish,trigrams.csv,0.80,false,wind aligned with budha
trigram:xun,trigram_guna,guna:sattva,yijing_vedanta,trigrams.csv,0.75,false,wind — sattva quality
trigram:xun,trigram_rasa,rasa:shringara,yijing_natyashastra,trigrams.csv,0.70,false,wind expresses shringara
trigram:kan,trigram_element,element:water,yijing,trigrams.csv,0.95,false,water corresponds to water
trigram:kan,trigram_graha,graha:shani,yijing_jyotish,trigrams.csv,0.80,false,water aligned with shani
trigram:kan,trigram_guna,guna:tamas,yijing_vedanta,trigrams.csv,0.75,false,water — tamas quality
trigram:kan,trigram_rasa,rasa:karuna,yijing_natyashastra,trigrams.csv,0.70,false,water expresses karuna
trigram:li,trigram_element,element:fire,yijing,trigrams.csv,0.95,false,fire corresponds to fire
trigram:li,trigram_graha,graha:surya,yijing_jyotish,trigrams.csv,0.80,false,fire aligned with surya
trigram:li,trigram_guna,guna:rajas,yijing_vedanta,trigrams.csv,0.75,false,fire — rajas quality
trigram:li,trigram_rasa,rasa:raudra,yijing_natyashastra,trigrams.csv,0.70,false,fire expresses raudra
trigram:gen,trigram_element,element:earth,yijing,trigrams.csv,0.95,false,mountain corresponds to earth
trigram:gen,trigram_graha,graha:guru,yijing_jyotish,trigrams.csv,0.80,false,mountain aligned with guru
trigram:gen,trigram_guna,guna:tamas,yijing_vedanta,trigrams.csv,0.75,false,mountain — tamas quality
trigram:gen,trigram_rasa,rasa:shanta,yijing_natyashastra,trigrams.csv,0.70,false,mountain expresses shanta
trigram:dui,trigram_element,element:water,yijing,trigrams.csv,0.95,false,lake corresponds to water
trigram:dui,trigram_graha,graha:shukra,yijing_jyotish,trigrams.csv,0.80,false,lake aligned with shukra
trigram:dui,trigram_guna,guna:sattva,yijing_vedanta,trigrams.csv,0.75,false,lake — sattva quality
trigram:dui,trigram_rasa,rasa:hasya,yijing_natyashastra,trigrams.csv,0.70,false,lake expresses hasya
hexagram:01,hexagram_lower_trigram,trigram:qian,yijing,hexagrams.csv,1.00,false,the creative lower trigram
