from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
nakshatra:ashwini,nakshatra_sacred_plant,plant:ashvagandha,nakshatra_plants.csv,,,traditional,verified,deity:Ashvini Kumaras · element:Fire · dosha:Vata
plant:ashvagandha,sacred_to,nakshatra:ashwini,nakshatra_plants.csv,,,traditional,verified,deity:Ashvini Kumaras · element:Fire · dosha:Vata
plant:ashvagandha,dosha_balance,dosha:vata,nakshatra_plants.csv,,,traditional,verified,plant balances Vata
plant:ashvagandha,element,element:fire,nakshatra_plants.csv,,,traditional,verified,Ashwagandha associated with Fire
plant:ashvagandha,body_region,body:head,nakshatra_plants.csv,,,traditional,verified,Ashwagandha supports head
nakshatra:bharani,nakshatra_sacred_plant,plant:amalaki,nakshatra_plants.csv,,,traditional,verified,deity:Yama · element:Earth · dosha:Pitta
plant:amalaki,sacred_to,nakshatra:bharani,nakshatra_plants.csv,,,traditional,verified,deity:Yama · element:Earth · dosha:Pitta
plant:amalaki,dosha_balance,dosha:pitta,nakshatra_plants.csv,,,traditional,verified,plant balances Pitta
plant:amalaki,element,element:earth,nakshatra_plants.csv,,,traditional,verified,Amla associated with Earth
plant:amalaki,body_region,body:reproductive,nakshatra_plants.csv,,,traditional,verified,Amla supports reproductive
nakshatra:krittika,nakshatra_sacred_plant,plant:udumbara,nakshatra_plants.csv,,,traditional,verified,deity:Agni · element:Fire · dosha:Pitta
plant:udumbara,sacred_to,nakshatra:krittika,nakshatra_plants.csv,,,traditional,verified,deity:Agni · element:Fire · dosha:Pitta
plant:udumbara,dosha_balance,dosha:pitta,nakshatra_plants.csv,,,traditional,verified,plant balances Pitta
plant:udumbara,element,element:fire,nakshatra_plants.csv,,,traditional,verified,Fig associated with Fire
plant:udumbara,body_region,body:eyes,nakshatra_plants.csv,,,traditional,verified,Fig supports eyes
nakshatra:rohini,nakshatra_sacred_plant,plant:mallika,nakshatra_plants.csv,,,traditional,verified,deity:Brahma · element:Earth · dosha:Kapha
plant:mallika,sacred_to,nakshatra:rohini,nakshatra_plants.csv,,,traditional,verified,deity:Brahma · element:Earth · dosha:Kapha
plant:mallika,dosha_balance,dosha:kapha,nakshatra_plants.csv,,,traditional,verified,plant balances Kapha
plant:mallika,element,element:earth,nakshatra_plants.csv,,,traditional,verified,Jasmine associated with Earth
plant:mallika,body_region,body:face,nakshatra_plants.csv,,,traditional,verified,Jasmine supports face
nakshatra:mrigashira,nakshatra_sacred_plant,plant:khadira,nakshatra_plants.csv,,,traditional,verified,deity:Soma · element:Earth · dosha:Vata
plant:khadira,sacred_to,nakshatra:mrigashira,nakshatra_plants.csv,,,traditional,verified,deity:Soma · element:Earth · dosha:Vata
plant:khadira,dosha_balance,dosha:vata,nakshatra_plants.csv,,,traditional,verified,plant balances Vata
plant:khadira,element,element:earth,nakshatra_plants.csv,,,traditional,verified,Khadira associated with Earth
plant:khadira,body_region,body:throat,nakshatra_plants.csv,,,traditional,verified,Khadira supports throat
nakshatra:ardra,nakshatra_sacred_plant,plant:agaru,nakshatra_plants.csv,,,traditional,verified,deity:Rudra · element:Water · dosha:Vata
plant:agaru,sacred_to,nakshatra:ardra,nakshatra_plants.csv,,,traditional,verified,deity:Rudra · element:Water · dosha:Vata
plant:agaru,dosha_balance,dosha:vata,nakshatra_plants.csv,,,traditional,verified,plant balances Vata
plant:agaru,element,element:water,nakshatra_plants.csv,,,traditional,verified,Agarwood associated with Water
plant:agaru,body_region,body:sinuses,nakshatra_plants.csv,,,traditional,verified,Agarwood supports sinuses
nakshatra:punarvasu,nakshatra_sacred_plant,plant:vamsha,nakshatra_plants.csv,,,traditional,verified,deity:Aditi · element:Air · dosha:Vata
plant:vamsha,sacred_to,nakshatra:punarvasu,nakshatra_plants.csv,,,traditional,verified,deity:Aditi · element:Air · dosha:Vata
plant:vamsha,dosha_balance,dosha:vata,nakshatra_plants.csv,,,traditional,verified,plant balances Vata
