from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
raga:Bhimpalasi,therapeutic_target,dosha:pitta,gandharva/raga_therapeutic.csv,,,traditional,0.95,treats pitta
raga:Bhimpalasi,optimal_time,time:afternoon,gandharva/raga_therapeutic.csv,,,traditional,0.95,best at afternoon
raga:Bhimpalasi,treats_condition,condition:bp_hrv,gandharva/raga_therapeutic.csv,,,traditional,0.95,BP_HRV
raga:Bhimpalasi,duration_minutes,duration:10,gandharva/raga_therapeutic.csv,,,traditional,0.95,10 min session
raga:Bhairavi,therapeutic_target,dosha:vata,gandharva/raga_therapeutic.csv,,,traditional,0.8,treats vata
raga:Bhairavi,optimal_time,time:morning,gandharva/raga_therapeutic.csv,,,traditional,0.8,best at morning
raga:Bhairavi,treats_condition,condition:anxiety,gandharva/raga_therapeutic.csv,,,traditional,0.8,anxiety
raga:Bhairavi,treats_condition,condition:sleep,gandharva/raga_therapeutic.csv,,,traditional,0.8,sleep
raga:Bhairavi,treats_condition,condition:grief,gandharva/raga_therapeutic.csv,,,traditional,0.8,grief
raga:Bhairavi,duration_minutes,duration:20,gandharva/raga_therapeutic.csv,,,traditional,0.8,20 min session
raga:Bhairava,therapeutic_target,dosha:pitta,gandharva/raga_therapeutic.csv,,,traditional,0.95,treats pitta
raga:Bhairava,optimal_time,time:dawn,gandharva/raga_therapeutic.csv,,,traditional,0.95,best at dawn
raga:Bhairava,treats_condition,condition:pitta_module,gandharva/raga_therapeutic.csv,,,traditional,0.95,pitta_module
raga:Bhairava,treats_condition,condition:anger,gandharva/raga_therapeutic.csv,,,traditional,0.95,anger
raga:Bhairava,duration_minutes,duration:15,gandharva/raga_therapeutic.csv,,,traditional,0.95,15 min session
raga:Darbari,therapeutic_target,dosha:vata,gandharva/raga_therapeutic.csv,,,traditional,0.8,treats vata
raga:Darbari,optimal_time,time:night,gandharva/raga_therapeutic.csv,,,traditional,0.8,best at night
