from_id,relation,to_id,tradition,source,confidence,gaudiya_aligned,notes
species:ashva,species_graha,graha:ketu,parashara,species_entities.csv / BPHS,0.95,false,Horse ruled by ketu
species:ashva,species_graha,graha:sun,parashara,species_entities.csv / BPHS,0.855,false,Horse secondary ruler sun
species:ashva,species_element,element:fire,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Horse primary element is fire
species:ashva,species_element,element:air,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Horse secondary element is air
species:gaja,species_graha,graha:jupiter,parashara,species_entities.csv / BPHS,0.95,false,Elephant ruled by jupiter
species:gaja,species_graha,graha:moon,parashara,species_entities.csv / BPHS,0.855,false,Elephant secondary ruler moon
species:gaja,species_element,element:earth,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Elephant primary element is earth
species:gaja,species_element,element:water,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Elephant secondary element is water
species:mesha,species_graha,graha:sun,parashara,species_entities.csv / BPHS,0.95,false,Sheep ruled by sun
species:mesha,species_graha,graha:mars,parashara,species_entities.csv / BPHS,0.855,false,Sheep secondary ruler mars
species:mesha,species_element,element:fire,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Sheep primary element is fire
species:mesha,species_element,element:earth,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Sheep secondary element is earth
species:sarpa,species_graha,graha:rahu,parashara,species_entities.csv / BPHS,0.95,false,Serpent ruled by rahu
species:sarpa,species_graha,graha:moon,parashara,species_entities.csv / BPHS,0.855,false,Serpent secondary ruler moon
species:sarpa,species_element,element:water,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Serpent primary element is water
species:sarpa,species_element,element:fire,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Serpent secondary element is fire
species:shvan,species_graha,graha:ketu,parashara,species_entities.csv / BPHS,0.95,false,Dog ruled by ketu
species:shvan,species_graha,graha:mars,parashara,species_entities.csv / BPHS,0.855,false,Dog secondary ruler mars
species:shvan,species_element,element:air,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Dog primary element is air
species:shvan,species_element,element:fire,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Dog secondary element is fire
species:marjara,species_graha,graha:venus,parashara,species_entities.csv / BPHS,0.95,false,Cat ruled by venus
species:marjara,species_graha,graha:moon,parashara,species_entities.csv / BPHS,0.855,false,Cat secondary ruler moon
species:marjara,species_element,element:water,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Cat primary element is water
species:marjara,species_element,element:air,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Cat secondary element is air
species:mushaka,species_graha,graha:mercury,parashara,species_entities.csv / BPHS,0.95,false,Mouse ruled by mercury
species:mushaka,species_graha,graha:ketu,parashara,species_entities.csv / BPHS,0.855,false,Mouse secondary ruler ketu
species:mushaka,species_element,element:earth,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Mouse primary element is earth
species:mushaka,species_element,element:fire,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Mouse secondary element is fire
species:go,species_graha,graha:jupiter,parashara,species_entities.csv / BPHS,0.95,false,Cow ruled by jupiter
species:go,species_graha,graha:venus,parashara,species_entities.csv / BPHS,0.855,false,Cow secondary ruler venus
species:go,species_element,element:earth,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Cow primary element is earth
species:go,species_element,element:water,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Cow secondary element is water
species:mahisha,species_graha,graha:saturn,parashara,species_entities.csv / BPHS,0.95,false,Buffalo ruled by saturn
species:mahisha,species_graha,graha:mars,parashara,species_entities.csv / BPHS,0.855,false,Buffalo secondary ruler mars
species:mahisha,species_element,element:water,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Buffalo primary element is water
species:mahisha,species_element,element:earth,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Buffalo secondary element is earth
species:vyaghra,species_graha,graha:mars,parashara,species_entities.csv / BPHS,0.95,false,Tiger ruled by mars
species:vyaghra,species_graha,graha:sun,parashara,species_entities.csv / BPHS,0.855,false,Tiger secondary ruler sun
species:vyaghra,species_element,element:fire,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Tiger primary element is fire
species:vyaghra,species_element,element:water,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Tiger secondary element is water
species:shasha,species_graha,graha:moon,parashara,species_entities.csv / BPHS,0.95,false,Rabbit ruled by moon
species:shasha,species_graha,graha:venus,parashara,species_entities.csv / BPHS,0.855,false,Rabbit secondary ruler venus
species:shasha,species_element,element:air,ayurveda,species_entities.csv / Charaka Samhita,0.95,false,Rabbit primary element is air
species:shasha,species_element,element:earth,ayurveda,species_entities.csv / Charaka Samhita,0.8075,false,Rabbit secondary element is earth
