from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
chunk:bhavaprakasha:0,mentions,deity:krishna,bhavaprakasha,0,"Bhavamisra: Bhavaprakasa (three chapters) 
 
 
 

Bhavamisra: Bhavaprakasa (three chapters; to be continued) 
Benares Ci",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:14,mentions,graha:guru,bhavaprakasha,14,"/ 57 
pippalī madhusaṃyuktā medaḥkaphavināśinī / 
śvāsakāsajvaraharā vṛṣyā medhyāgnivardhinī // 58 
jīrṇajvare'gnimāndye",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:27,mentions,graha:guru,bhavaprakasha,27,"śuklārdrakanibhaḥ kando latājātaḥ supāṇḍuraḥ / 
mahāmedābhidho jñeyo medālakṣaṇamucyate // 128 
śuklakando nakhacchedyo ",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:28,mentions,graha:guru,bhavaprakasha,28,"133 
sa proktaḥ kṣīrakākolī kākolīliṅgamucyate / 
yathā syāt kṣīrakākolī kākolyapi tathā bhavet // 134 
eṣā kiṃcid bhave",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:49,mentions,graha:guru,bhavaprakasha,49,"ṣṇaṃ cāpi sūkṣmaṃ cābhiṣyandi kaṭupāki ca // 245 
sāmudraṃ yattu lavaṇam akṣībaṃ vaśiraṃ ca tat / 
samudrajaṃ sāgarajaṃ ",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:50,mentions,graha:guru,bhavaprakasha,50,"uvarcalaṃ syād rucakaṃ manthapākaṃ ca tanmatam / 
rucakaṃ rocanaṃ bhedi dīpanaṃ pācanaṃ param // 250 
susnehaṃ vātanunnā",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:55,mentions,graha:guru,bhavaprakasha,55,"hikoṭarasaṃyuktaṃ candanaṃ śreṣṭham ucyate // 12 
candanaṃ śītalaṃ rūkṣaṃ tiktam āhlādanaṃ laghu / 
śramaśoṣaviṣaśleṣmat",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:71,mentions,plant:mahua,bhavaprakasha,71,"śaṭhī palāśī ṣaḍgranthā suvratā gandhamūlikā / 
gāndhārikā gandhavadhūr vadhūḥ palāśikā // 99 
bhavedgandhapalāśī tu kaṣ",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:71,mentions,graha:guru,bhavaprakasha,71,"śaṭhī palāśī ṣaḍgranthā suvratā gandhamūlikā / 
gāndhārikā gandhavadhūr vadhūḥ palāśikā // 99 
bhavedgandhapalāśī tu kaṣ",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:80,mentions,graha:guru,bhavaprakasha,80,"gāmbhārī bhadraparṇī ca śrīparṇī madhuparṇikā / 
kāśmīrī kāśmarī hīrā kāśmaryaḥ pītarohiṇī // 14 
kṛṣṇavṛntā madhurasā m",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:bhavaprakasha:82,mentions,graha:guru,bhavaprakasha,82,"4 
śyonākaḥ śoṣaṇaśca syānnaṭakaṭvaṅgaṭuṇṭukāḥ / 
maṇḍūkaparṇapattrorṇaśukanāsakuṭannaṭāḥ // 25 
dīrghavṛnto 'raluścāpi ",ayurveda,0.7,auto-linked from bhavaprakasha
chunk:charaka_samhita:20,mentions,plant:mahua,charaka_samhita,20,"bhagavānātreyaḥ // Car_1,1.2 
 [{Āyurvedadīpikā} 
 nanu kathamagniveśaḥ sakalapadārthāśeṣaviśeṣajñānavyākhyeyam āyurveda",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:23,mentions,plant:palasha,charaka_samhita,23,"hūtamātre liḍ bhavati tathāca darśayiṣyāmaḥ // 4 
 bhagaṃ pūjitaṃ jñānaṃ tadvān yathoktam utpattiṃ pralayaṃ caiva bhūtān",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:44,mentions,parampara:brahma,charaka_samhita,44,"atra sūcanāt sūtraṇāccārthasaṃtateḥ sūtram // 10 
 etena taṃ yathā brahmā trisūtraṃ bubudhe tathaiva hetuliṅgauṣadhajñān",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:46,mentions,parampara:brahma,charaka_samhita,46,"dhaḥ skandhaśca sthūlāvayavaḥ pravibhāgo vā // 5 
 tatraivāyurvedagrahaṇe mano yasya sa tanmanāḥ // 6 
 mananājjñānaprak",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:50,mentions,parampara:brahma,charaka_samhita,50,"stanmunervacaḥ // Car_1,1.31 
 [{Āyurvedadīpikā} 
 athetyādinā bharadvājaśiṣyasyātreyasya punarvasvaparanāmno 'gniveśādi",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:66,mentions,vastu:deity_diti,charaka_samhita,66,"diti darśayati // 2 
 sādhayitvā pratipādya // 3 
 vātakarmasu pratyakṣāṇi vacanādīni manaḥpreraṇādyanumeyaṃ garbhākṛtik",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:74,mentions,vastu:deity_soma,charaka_samhita,74,"ittaharasya sarpiṣo'gnivardhanatvenoktatvāt // 1 
 paktimapaktimiti avikṛtivikṛtibhedena pācakasyāgneḥ karma darśanādarś",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:93,mentions,element:water,charaka_samhita,93,"adhurādīnāṃ ṣaṇṇām // 27 
 prakṛtāv ityādi // 28 
 prakṛtau kāraṇe jala ityarthaḥ // 29 
 avyaktatvaṃ ca rasasāmānyamātr",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:122,mentions,graha:guru,charaka_samhita,122,"ogādvā bhavatīti darśayannāha dravyāṇītyādi // 3 
 dvirasādīni utpattisiddhadvirasatrirasādīni dvirasaṃ yathā kaṣāyamadh",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:129,mentions,rasa:madhura,charaka_samhita,129,"sthāyāṃ nānuyāti nāsau rasaḥ kiṃtv anurasaḥ // 5 
 yathā pippalyā ārdrāyā madhuro raso vyaktaḥ śuṣkāyāstu pippalyāḥ kaṭu",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:131,mentions,devi:nitya,charaka_samhita,131,"Car_1,26.30 
deśakālavayomānapākavīryarasādiṣu / 
parāparatve yuktiśca yojanā yā tu yujyate // Car_1,26.31 
saṃkhyā syād",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:154,mentions,rasa:madhura,charaka_samhita,154,"guruśca / 
 [{Āyurvedadīpikā} 
 tatretyādi // 1 
 madhura ādāv ucyate praśastāyuṣyādiguṇatayā prāyaḥ prāṇipriyatayā ca /",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:175,mentions,vastu:deity_vara,charaka_samhita,175,"pi // 2 
 kaṭukaścāntya iti avara ityarthaḥ // 3 
 evaṃ lavaṇaścāntya iti avara ityarthaḥ // 4 
 lavaṇo'vara iti gurutve",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:178,mentions,rasa:madhura,charaka_samhita,178,"purīṣāṇāṃ prāyo mokṣe sukhā matāḥ // Car_1,26.59 
kaṭutiktakaṣāyāstu rūkṣabhāvāt trayo rasāḥ / 
duḥkhāya mokṣe dṛśyante ",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:181,mentions,rasa:madhura,charaka_samhita,181,"malpatvādayo viśeṣā bhavantītyuktaṃ bhavati // 3 
 atra kecidbruvate pratirasaṃ pāko bhavati yathā madhurādīnāṃ ṣaṇṇāṃ ṣ",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:182,mentions,rasa:madhura,charaka_samhita,182,"nirvartante'dhikāstatra pāko madhura ucyate // 7 
 tejo'nilākāśaguṇāḥ pacyamāneṣu yeṣu tu // 8 
 nirvartante'dhikāstatra",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:205,mentions,plant:mahua,charaka_samhita,205,"tvena kathita iti guṇavirodhakasyaivodāharaṇam / 
 virodhaśca viruddhaguṇatve satyapi kvacid eva dravyaprabhāvād bhavati",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:210,mentions,plant:mahua,charaka_samhita,210,"sūpaguḍasarpirbhiḥ sahopayojyaṃ vairodhikatvāt / 
tathāmrāmrātakamātuluṅganikucakaramardamocadantaśaṭhabadarakośāmrabhav",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:211,mentions,plant:mahua,charaka_samhita,211,"ati / 
upodikā tilakalkasiddhā heturatīsārasya / 
balākā vāruṇyā saha kulmāṣairapi viruddhā saiva śūkaravasāparibhṛṣṭā s",ayurveda,0.7,auto-linked from charaka_samhita
chunk:charaka_samhita:212,mentions,plant:mahua,charaka_samhita,212,"a / 
madhu coṣṇam uṣṇārtasya ca madhu maraṇāya / 
madhusarpiṣī samadhṛte cāntarikṣaṃ samadhṛtaṃ madhu puṣkarabījaṃ madhu",ayurveda,0.7,auto-linked from charaka_samhita
