from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
direction:east,element,element:fire,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:east,deity,deity:indra,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:east,graha,graha:sun,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:east,activity,activity:entrance,cosmology/vastu_directions.csv,,,traditional,0.8,entrance
direction:southeast,element,element:fire,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:southeast,deity,deity:agni,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:southeast,graha,graha:venus,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:southeast,activity,activity:kitchen,cosmology/vastu_directions.csv,,,traditional,0.8,kitchen
direction:south,element,element:fire,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:south,deity,deity:yama,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:south,graha,graha:mars,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:south,activity,activity:storage,cosmology/vastu_directions.csv,,,traditional,0.8,storage
direction:southwest,element,element:earth,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:southwest,deity,deity:nirrti,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:southwest,graha,graha:rahu,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:southwest,activity,activity:heavy_structure,cosmology/vastu_directions.csv,,,traditional,0.8,heavy_structure
direction:west,element,element:water,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:west,deity,deity:varuna,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:west,graha,graha:saturn,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:west,activity,activity:dining,cosmology/vastu_directions.csv,,,traditional,0.8,dining
direction:northwest,element,element:air,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:northwest,deity,deity:vayu,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:northwest,graha,graha:moon,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:northwest,activity,activity:movement,cosmology/vastu_directions.csv,,,traditional,0.8,movement
direction:north,element,element:water,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:north,deity,deity:kubera,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:north,graha,graha:mercury,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:north,activity,activity:treasury,cosmology/vastu_directions.csv,,,traditional,0.8,treasury
direction:northeast,element,element:ether,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:northeast,deity,deity:ishana,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:northeast,graha,graha:jupiter,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:northeast,activity,activity:altar,cosmology/vastu_directions.csv,,,traditional,0.8,altar
direction:center,element,element:ether,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:center,deity,deity:brahma,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:center,graha,graha:none,cosmology/vastu_directions.csv,,,traditional,0.8,
direction:center,activity,activity:open_space,cosmology/vastu_directions.csv,,,traditional,0.8,open_space
vastu_deity:apa,domain,domain:waters_and_circulation,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:savitra,domain,domain:solar_generative_impulse,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:java,domain,domain:speed_and_kinetic_force,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:rudra,domain,domain:fierce_transformation,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:aryaman,domain,domain:social_order_and_nobility,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:savita,domain,domain:solar_impulsion,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:vivasvan,domain,domain:radiant_sun,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:indra,domain,domain:sovereignty_and_charge,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:mitra,domain,domain:covenant_and_alliance,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:rajayakshma,domain,domain:royal_wasting_depletion_warning,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:prithvidhara,domain,domain:earth_support,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:apavatsa,domain,domain:subtle_water_support,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:brahma,domain,domain:central_generative_field_brahma_sthana,vastu/inner_deities.csv,,,traditional,0.9,
vastu_deity:agni_shikhi,direction,direction:east,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:agni_shikhi,element,element:fire,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:agni_shikhi,function,function:ignition_and_transformative_threshold,vastu/perimeter_deities.csv,,,traditional,0.9,ignition and transformative threshold
vastu_deity:parjanya,direction,direction:east,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:parjanya,element,element:water,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:parjanya,function,function:rain_and_fertility,vastu/perimeter_deities.csv,,,traditional,0.9,rain and fertility
vastu_deity:jayanta,direction,direction:east,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:jayanta,element,element:air,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:jayanta,function,function:victory_and_ascent,vastu/perimeter_deities.csv,,,traditional,0.9,victory and ascent
vastu_deity:indra,direction,direction:east,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:indra,element,element:ether,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:indra,function,function:kingship_and_divine_authority,vastu/perimeter_deities.csv,,,traditional,0.9,kingship and divine authority
vastu_deity:surya,direction,direction:east,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:surya,element,element:fire,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:surya,function,function:solar_illumination,vastu/perimeter_deities.csv,,,traditional,0.9,solar illumination
vastu_deity:satya,direction,direction:east,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:satya,element,element:ether,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:satya,function,function:truth_and_order,vastu/perimeter_deities.csv,,,traditional,0.9,truth and order
vastu_deity:bhrisha,direction,direction:east,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:bhrisha,element,element:earth,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:bhrisha,function,function:strength_and_firmness,vastu/perimeter_deities.csv,,,traditional,0.9,strength and firmness
vastu_deity:antariksha,direction,direction:east,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:antariksha,element,element:air,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:antariksha,function,function:mid_space_and_transmission,vastu/perimeter_deities.csv,,,traditional,0.9,mid-space and transmission
vastu_deity:vayu,direction,direction:south,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:vayu,element,element:air,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:vayu,function,function:movement,vastu/perimeter_deities.csv,,,traditional,0.9,movement
vastu_deity:pusha,direction,direction:south,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:pusha,element,element:earth,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:pusha,function,function:nourishment_and_roads,vastu/perimeter_deities.csv,,,traditional,0.9,nourishment and roads
vastu_deity:vitatha,direction,direction:south,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:vitatha,element,element:ether,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:vitatha,function,function:record_contract_witness,vastu/perimeter_deities.csv,,,traditional,0.9,"record, contract, witness"
vastu_deity:brihatkshata,direction,direction:south,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:brihatkshata,element,element:earth,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:brihatkshata,function,function:defense_and_protection,vastu/perimeter_deities.csv,,,traditional,0.9,defense and protection
vastu_deity:yama,direction,direction:south,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:yama,element,element:fire,vastu/perimeter_deities.csv,,,traditional,0.9,
vastu_deity:yama,function,function:death_restraint_law,vastu/perimeter_deities.csv,,,traditional,0.9,"death, restraint, law"
