masa_num,paksha,tithi_num,observance_name,observance_name_iast,observance_type,deity,parampara_ref,source,notes,attestation_status
11,sukla,10,Amalaki Ekadashi,Āmalakī Ekādaśī,ekadashi,Viṣṇu,,Padma Purāṇa,Phālguna Śukla — fasting; worship of āmalakī tree,attested_secondary
11,krsna,10,Papamochani Ekadashi,Pāpamochanī Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Phālguna Kṛṣṇa — destroys accumulated sin,attested_secondary
11,sukla,14,Gaura Purnima,Gaura Pūrṇimā,appearance,Caitanya Mahāprabhu,parampara_caitanya,Caitanya-caritāmṛta Ādi 13,Appearance of Śrī Caitanya Mahāprabhu — Phālguna Pūrṇimā 1486,attested_secondary
0,sukla,9,Rama Navami,Rāma Navamī,appearance,Rāma,,Rāmāyaṇa,Appearance of Lord Rāmacandra — Caitra Śukla Navamī,attested_secondary
0,sukla,10,Kamada Ekadashi,Kāmadā Ekādaśī,ekadashi,Viṣṇu,,Varāha Purāṇa,Caitra Śukla — fulfills all desires,attested_secondary
0,krsna,10,Varuthini Ekadashi,Varūthinī Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Caitra Kṛṣṇa — grants protection,attested_secondary
1,sukla,3,Akshaya Tritiya,Akṣaya Tṛtīyā,lila,,,Mahābhārata,Unfailing merit — Draupadī received akṣaya-pātra; Vṛndāvana candana-yātrā begins,attested_secondary
1,sukla,10,Mohini Ekadashi,Mohinī Ekādaśī,ekadashi,Viṣṇu,,Sūrya Purāṇa,Vaiśākha Śukla — enchanting form of the Lord,attested_secondary
1,sukla,14,Nrsimha Chaturdashi,Nṛsiṃha Caturdaśī,appearance,Nṛsiṃhadeva,,Bhāgavata Purāṇa 7.8,Appearance of Lord Nṛsiṃhadeva — Vaiśākha Śukla Caturdaśī,attested_secondary
1,krsna,10,Apara Ekadashi,Aparā Ekādaśī,ekadashi,Viṣṇu,,Brahma-vaivarta Purāṇa,Vaiśākha Kṛṣṇa — also called Achalā,attested_secondary
2,sukla,10,Nirjala Ekadashi,Nirjalā Ekādaśī,ekadashi,Viṣṇu,,Brahma-vaivarta Purāṇa,Jyeṣṭha Śukla — strictest fast (waterless); Bhīma Ekādaśī,attested_secondary
2,krsna,10,Yogini Ekadashi,Yoginī Ekādaśī,ekadashi,Viṣṇu,,Brahma-vaivarta Purāṇa,Jyeṣṭha Kṛṣṇa — observed by yoginīs,attested_secondary
2,sukla,9,Madhvacharya disappearance,Madhvācārya tirobhāva,disappearance,,parampara_madhva,Madhva-vijaya,Jyeṣṭha Śukla Navamī (approx.),attested_secondary
3,sukla,2,Ratha Yatra,Ratha Yātrā,lila,Jagannātha,,Skanda Purāṇa,Jagannātha Ratha Yātrā — Āṣāḍha Śukla Dvitīyā; Lord travels to Guṇḍicā,attested_secondary
3,sukla,10,Shayana Ekadashi,Śayanā Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Āṣāḍha Śukla — Viṣṇu enters yoga-nidrā; Cāturmāsya begins,attested_secondary
3,krsna,10,Kamika Ekadashi,Kāmikā Ekādaśī,ekadashi,Viṣṇu,,Brahma-vaivarta Purāṇa,Āṣāḍha Kṛṣṇa — worship with tulasī,attested_secondary
3,krsna,5,Sanatana Gosvami disappearance,Sanātana Gosvāmī tirobhāva,disappearance,,parampara_six_gosvamis,Caitanya-caritāmṛta,Āṣāḍha Kṛṣṇa Pañcamī,attested_secondary
4,sukla,0,Guru Purnima,Guru Pūrṇimā,purnima,Vyāsa,parampara_vyasa,Skanda Purāṇa,Vyāsa Pūjā — honoring the guru-paramparā; Śrāvaṇa Pūrṇimā,attested_secondary
4,sukla,10,Pavitra Ekadashi,Pavitrā Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Śrāvaṇa Śukla — also Putradā; purifies the heart,attested_secondary
4,sukla,11,Jhulan Yatra,Jhulana Yātrā,lila,Rādhā-Kṛṣṇa,,Padma Purāṇa,Swing festival — Śrāvaṇa Śukla Ekādaśī to Pūrṇimā,attested_secondary
4,krsna,8,Janmashtami,Janmāṣṭamī,appearance,Kṛṣṇa,parampara_krishna,Bhāgavata Purāṇa 10.3,Appearance of Śrī Kṛṣṇa — Śrāvaṇa Kṛṣṇa Aṣṭamī; midnight vigil,attested_secondary
4,krsna,9,Nandotsava,Nandotsava,lila,Kṛṣṇa,,Bhāgavata Purāṇa 10.5,Celebration of Kṛṣṇa's birth — Nanda Mahārāja's festival,attested_secondary
4,krsna,10,Annada Ekadashi,Annādā Ekādaśī,ekadashi,Viṣṇu,,Brahma-vaivarta Purāṇa,Śrāvaṇa Kṛṣṇa — gives food/nourishment,attested_secondary
5,sukla,8,Radhastami,Rādhāṣṭamī,appearance,Rādhārāṇī,,Padma Purāṇa,Appearance of Śrīmatī Rādhārāṇī — Bhādrapada Śukla Aṣṭamī,attested_secondary
5,sukla,10,Parivartini Ekadashi,Parivartinī Ekādaśī,ekadashi,Viṣṇu,,Brahma-vaivarta Purāṇa,Bhādrapada Śukla — Viṣṇu turns in yoga-nidrā; also Jayantī,attested_secondary
5,krsna,10,Indira Ekadashi,Indirā Ekādaśī,ekadashi,Viṣṇu,,Brahma-vaivarta Purāṇa,Bhādrapada Kṛṣṇa — grants liberation to ancestors,attested_secondary
5,sukla,7,Visvanatha Cakravarti disappearance,Viśvanātha Cakravartī tirobhāva,disappearance,,parampara_visvanatha,Sārārtha-darśinī colophon,Bhādrapada Śukla Saptamī (approx.),attested_secondary
6,sukla,10,Pashankusha Ekadashi,Pāśāṅkuśā Ekādaśī,ekadashi,Viṣṇu,,Padma Purāṇa,Āśvina Śukla — controls the rope and goad of māyā,attested_secondary
6,krsna,10,Rama Ekadashi,Ramā Ekādaśī,ekadashi,Viṣṇu,,Padma Purāṇa,Āśvina Kṛṣṇa — beloved of Ramā (Lakṣmī),attested_secondary
7,sukla,0,Kartika Purnima,Kārtika Pūrṇimā,lila,Kṛṣṇa,,Bhāgavata Purāṇa 10.29-33,Rāsa Pūrṇimā — Kṛṣṇa's rāsa-līlā with the gopīs,attested_secondary
7,sukla,10,Utthana Ekadashi,Utthānā Ekādaśī,ekadashi,Viṣṇu,,Skanda Purāṇa,Kārtika Śukla — Viṣṇu awakens; Cāturmāsya ends; also Devotthānī,attested_secondary
7,krsna,10,Utpanna Ekadashi,Utpannā Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Kārtika Kṛṣṇa — origin of Ekādaśī personified,attested_secondary
7,krsna,4,Bhaktisiddhanta disappearance,Bhaktisiddhānta Sarasvatī tirobhāva,disappearance,,parampara_bhaktisiddhanta,Gauḍīya-bhāṣya introduction,Kārtika Kṛṣṇa Pañcamī (1936),attested_secondary
8,sukla,10,Mokshada Ekadashi,Mokṣadā Ekādaśī,ekadashi,Viṣṇu,,Brahmāṇḍa Purāṇa,Mārgaśīrṣa Śukla — Gītā Jayantī; Lord spoke Bhagavad-gītā,attested_secondary
8,krsna,10,Saphala Ekadashi,Saphalā Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Mārgaśīrṣa Kṛṣṇa — grants success,attested_secondary
9,sukla,10,Putrada Ekadashi,Putradā Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Pauṣa Śukla — grants worthy sons,attested_secondary
9,krsna,10,Sat-tila Ekadashi,Ṣaṭ-tilā Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Pauṣa Kṛṣṇa — six-sesame offering,attested_secondary
10,sukla,5,Vasanta Panchami,Vasanta Pañcamī,lila,Sarasvatī,,Padma Purāṇa,Spring festival — Sarasvatī Pūjā; Vṛndāvana starts spring rāsa,attested_secondary
10,sukla,10,Jaya Ekadashi,Jayā Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Māgha Śukla — victorious; frees from ghostly existence,attested_secondary
10,krsna,10,Vijaya Ekadashi,Vijayā Ekādaśī,ekadashi,Viṣṇu,,Bhaviṣyottara Purāṇa,Māgha Kṛṣṇa — grants victory; Rāma observed before Laṅkā,attested_secondary
