passage_id,source_id,locator,excerpt,tags
passage:gaudiya_bs_5_1,source:gaudiya_bs,Brahma-saṃhitā 5.1,Īśvaraḥ paramaḥ kṛṣṇaḥ sac-cid-ānanda-vigrahaḥ anādir ādir govindaḥ sarva-kāraṇa-kāraṇam — Kṛṣṇa who is known as Govinda is the Supreme Godhead. He has an eternal blissful spiritual body. He is the origin of all. He has no other origin and He is the prime cause of all causes.,tattva:tattva_svayam_bhagavan;tattva:tattva_dhama;concept:brahman;concept:ishvara;rasa_siddhanta:rasa_madhurya
passage:gaudiya_bs_5_29,source:gaudiya_bs,Brahma-saṃhitā 5.29,Goloka-nāmni nija-dhāmni tale ca tasya devī maheśa-hari-dhāmasu teṣu teṣu — Below Goloka Vṛndāvana are the realms of Devī Mahādeva and Hari in succession. The spiritual world is layered from the source outward.,tattva:tattva_dhama;tattva:tattva_lila;concept:goloka;concept:vaikuntha
passage:gaudiya_bs_5_37,source:gaudiya_bs,Brahma-saṃhitā 5.37,Ānanda-cinmaya-rasa-pratibhāvitābhis tābhir ya eva nija-rūpatayā kalābhiḥ — The Lord is always served by His own spiritual potencies who are manifestations of His own bliss-form. The līlā is eternal self-manifestation not temporal event.,tattva:tattva_lila;tattva:tattva_rasa;rasa_siddhanta:rasa_madhurya;tattva:tattva_shakti_parinam
passage:gaudiya_brs_1_1_11,source:gaudiya_brs,Bhakti-rasāmṛta-sindhu 1.1.11,Anyābhilāṣitā-śūnyaṃ jñāna-karmādy-anāvṛtam ānukūlyena kṛṣṇānuśīlanaṃ bhaktir uttamā — Uttamā-bhakti is the cultivation of Kṛṣṇa-anuśīlana favorably and without desire for jñāna karma or anything other than Kṛṣṇa.,tattva:tattva_bhakti;tattva:tattva_abhidheya;rasa_siddhanta:rasa_dasya;concept:bhakti
passage:gaudiya_brs_3_1,source:gaudiya_brs,Bhakti-rasāmṛta-sindhu 3.1,Śānto dāsyaṃ sakhyaṃ vātsalyam adbhutaṃ madhuraṃ — The five primary rasas: śānta dāsya sakhya vātsalya mādhurya. These are the eternal modes of relation between jīva and Bhagavān.,rasa_siddhanta:rasa_shanta;rasa_siddhanta:rasa_dasya;rasa_siddhanta:rasa_sakhya;rasa_siddhanta:rasa_vatsalya;rasa_siddhanta:rasa_madhurya;tattva:tattva_rasa
passage:gaudiya_gg_10_31_1,source:gaudiya_gg,Bhāgavatam 10.31.1,Jayati te 'dhikaṃ janmanā vrajaḥ — O Kṛṣṇa the land of Vraja is most glorious because of Your birth there. All three worlds are purified by the dust of Your lotus feet. The gopīs' song is the fullest expression of mādhurya-rasa.,rasa_siddhanta:rasa_madhurya;tattva:tattva_dhama;tattva:tattva_lila;concept:goloka;nakshatra:Rohini
passage:gaudiya_jd_sambandha,source:gaudiya_jd,Jaiva-dharma ch.15,The jīva's eternal constitutional position (svarūpa) is as a servant of Kṛṣṇa. This is not imposed — it is the jīva's own nature. Bhakti is not a path to the jīva's nature but the expression of it. Sambandha-jñāna is the recognition of what always was.,tattva:tattva_sambandha;tattva:tattva_jiva;tattva:tattva_bhakti;parampara:parampara_bhaktivinoda;concept:jiva
passage:gaudiya_mk_bhakti_stages,source:gaudiya_mk,Mādhurya-kādambinī ch.1,Bhakti progresses through eight stages: śraddhā sādhu-saṅga bhajana-kriyā anartha-nivṛtti niṣṭhā ruci āsakti and finally bhāva which flowers into prema. Each stage is a deepening of the rati — the primary attachment.,tattva:tattva_bhakti;rasa_siddhanta:rasa_shanta;rasa_siddhanta:rasa_dasya;parampara:parampara_visvanatha;tattva:tattva_prayojana
passage:gaudiya_tv_acintya,source:gaudiya_tv,Tattva-viveka section 2,Acintya-bhedābheda means the jīva is simultaneously one with Brahman in quality and different in quantity. Neither the Advaita position (pure oneness) nor the Dvaita position (absolute difference) captures the full truth. The inconceivable nature protects both the intimacy and the distinction of the relation.,tattva:tattva_acintya;tattva:tattva_jiva;tattva:tattva_sambandha;parampara:parampara_bhaktivinoda;concept:brahman
passage:gaudiya_bs_5_1_kala,source:gaudiya_bs,Brahma-saṃhitā 5.1 commentary,Kāla-tattva — time is an energy of the Lord operating in the material field. In the spiritual world time exists as eternal present (nitya-līlā) not sequential succession. The yuga cycle is the material expression of kāla-śakti.,tattva:tattva_kala;tattva:tattva_lila;tattva:tattva_shakti_parinam;concept:kala;tithi:all
