entity_id,entity_type,name,glyph,glyph_type,unicode,color,size_default,tradition,attestation,svg_path,notes,attestation_status
graha_surya,graha,Sūrya,☉,unicode_astronomical,U+2609,#e8c86a,16,jyotisha,OBSERVED,,solar symbol,inferred_coherent
graha_chandra,graha,Candra,☽,unicode_astronomical,U+263D,#c8d8e8,16,jyotisha,OBSERVED,,crescent moon,inferred_coherent
graha_mangala,graha,Maṅgala,♂,unicode_astronomical,U+2642,#c84040,16,jyotisha,OBSERVED,,Mars symbol,inferred_coherent
graha_budha,graha,Budha,☿,unicode_astronomical,U+263F,#20a88a,16,jyotisha,OBSERVED,,Mercury symbol,inferred_coherent
graha_guru,graha,Guru,♃,unicode_astronomical,U+2643,#c8a050,16,jyotisha,OBSERVED,,Jupiter symbol,inferred_coherent
graha_shukra,graha,Śukra,♀,unicode_astronomical,U+2640,#e8a0c0,16,jyotisha,OBSERVED,,Venus symbol,inferred_coherent
graha_shani,graha,Śani,♄,unicode_astronomical,U+2644,#8090a8,16,jyotisha,OBSERVED,,Saturn symbol,inferred_coherent
graha_rahu,graha,Rāhu,☊,unicode_astronomical,U+260A,#8070dd,16,jyotisha,OBSERVED,,ascending node,inferred_coherent
graha_ketu,graha,Ketu,☋,unicode_astronomical,U+260B,#806040,16,jyotisha,OBSERVED,,descending node,inferred_coherent
rashi_mesha,rashi,Meṣa,♈,unicode_astronomical,U+2648,#c84040,14,jyotisha,OBSERVED,,Aries,inferred_coherent
rashi_vrishabha,rashi,Vṛṣabha,♉,unicode_astronomical,U+2649,#3a8a4a,14,jyotisha,OBSERVED,,Taurus,inferred_coherent
rashi_mithuna,rashi,Mithuna,♊,unicode_astronomical,U+264A,#20a88a,14,jyotisha,OBSERVED,,Gemini,inferred_coherent
rashi_karka,rashi,Karka,♋,unicode_astronomical,U+264B,#c8d8e8,14,jyotisha,OBSERVED,,Cancer,inferred_coherent
rashi_simha,rashi,Siṃha,♌,unicode_astronomical,U+264C,#e8c86a,14,jyotisha,OBSERVED,,Leo,inferred_coherent
rashi_kanya,rashi,Kanyā,♍,unicode_astronomical,U+264D,#c8a050,14,jyotisha,OBSERVED,,Virgo,inferred_coherent
rashi_tula,rashi,Tulā,♎,unicode_astronomical,U+264E,#e8a0c0,14,jyotisha,OBSERVED,,Libra,inferred_coherent
rashi_vrischika,rashi,Vṛścika,♏,unicode_astronomical,U+264F,#c84040,14,jyotisha,OBSERVED,,Scorpio,inferred_coherent
rashi_dhanu,rashi,Dhanu,♐,unicode_astronomical,U+2650,#c8a050,14,jyotisha,OBSERVED,,Sagittarius,inferred_coherent
rashi_makara,rashi,Makara,♑,unicode_astronomical,U+2651,#8090a8,14,jyotisha,OBSERVED,,Capricorn,inferred_coherent
rashi_kumbha,rashi,Kumbha,♒,unicode_astronomical,U+2652,#8070dd,14,jyotisha,OBSERVED,,Aquarius,inferred_coherent
rashi_meena,rashi,Mīna,♓,unicode_astronomical,U+2653,#2858b8,14,jyotisha,OBSERVED,,Pisces,inferred_coherent
element_agni,element,Agni,▲,unicode_geometric,U+25B2,#c84040,14,yantra,OBSERVED,,upward triangle · fire,inferred_coherent
element_apas,element,Āpas,▽,unicode_geometric,U+25BD,#2858b8,14,yantra,OBSERVED,,downward triangle · water,inferred_coherent
element_prithvi,element,Pṛthvī,◼,unicode_geometric,U+25FC,#c87820,14,yantra,OBSERVED,,square · earth,inferred_coherent
element_vayu,element,Vāyu,⬡,unicode_geometric,U+2B21,#8070dd,14,yantra,OBSERVED,,hexagon · air,inferred_coherent
element_akasha,element,Ākāśa,●,unicode_geometric,U+25CF,#e0b040,14,yantra,OBSERVED,,bindu · ether,inferred_coherent
