emoji,unicode_name,group,graha,element,layer,nakshatra,varna,rasa,dosha,vastu_zone,confidence,method,attestation,attestation_status
😀,grinning face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😃,grinning face with big eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😄,grinning face with smiling eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😁,beaming face with smiling eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😆,grinning squinting face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😅,grinning face with sweat,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤣,rolling on the floor laughing,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😂,face with tears of joy,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙂,slightly smiling face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🙃,upside-down face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🫠,melting face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😉,winking face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😊,smiling face with smiling eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😇,smiling face with halo,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥰,smiling face with hearts,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😍,smiling face with heart-eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤩,star-struck,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😘,face blowing a kiss,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😗,kissing face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
☺️,smiling face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😚,kissing face with closed eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😙,kissing face with smiling eyes,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥲,smiling face with tear,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😋,face savoring food,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😛,face with tongue,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😜,winking face with tongue,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤪,zany face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
😝,squinting face with tongue,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤑,money-mouth face,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤗,smiling face with open hands,Smileys & Emotion,,ether,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
