emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
😀,grinning face,Smileys & Emotion,,grinning_face,U+1F600,inferred_coherent
😃,grinning face with big eyes,Smileys & Emotion,,grinning_face_with_big_eyes,U+1F603,inferred_coherent
😄,grinning face with smiling eyes,Smileys & Emotion,,grinning_face_with_smiling_eyes,U+1F604,inferred_coherent
😁,beaming face with smiling eyes,Smileys & Emotion,,beaming_face_with_smiling_eyes,U+1F601,inferred_coherent
😆,grinning squinting face,Smileys & Emotion,,grinning_squinting_face,U+1F606,inferred_coherent
😅,grinning face with sweat,Smileys & Emotion,,grinning_face_with_sweat,U+1F605,inferred_coherent
🤣,rolling on the floor laughing,Smileys & Emotion,,rolling_on_the_floor_laughing,U+1F923,inferred_coherent
😂,face with tears of joy,Smileys & Emotion,,face_with_tears_of_joy,U+1F602,inferred_coherent
🙂,slightly smiling face,Smileys & Emotion,,slightly_smiling_face,U+1F642,inferred_coherent
🙃,upside-down face,Smileys & Emotion,,upside_down_face,U+1F643,inferred_coherent
🫠,melting face,Smileys & Emotion,,melting_face,U+1FAE0,inferred_coherent
😉,winking face,Smileys & Emotion,,winking_face,U+1F609,inferred_coherent
😊,smiling face with smiling eyes,Smileys & Emotion,,smiling_face_with_smiling_eyes,U+1F60A,inferred_coherent
😇,smiling face with halo,Smileys & Emotion,,smiling_face_with_halo,U+1F607,inferred_coherent
🥰,smiling face with hearts,Smileys & Emotion,,smiling_face_with_hearts,U+1F970,inferred_coherent
😍,smiling face with heart-eyes,Smileys & Emotion,,smiling_face_with_heart_eyes,U+1F60D,inferred_coherent
🤩,star-struck,Smileys & Emotion,,star_struck,U+1F929,inferred_coherent
😘,face blowing a kiss,Smileys & Emotion,,face_blowing_a_kiss,U+1F618,inferred_coherent
😗,kissing face,Smileys & Emotion,,kissing_face,U+1F617,inferred_coherent
☺️,smiling face,Smileys & Emotion,,smiling_face,U+263A U+FE0F,inferred_coherent
😚,kissing face with closed eyes,Smileys & Emotion,,kissing_face_with_closed_eyes,U+1F61A,inferred_coherent
😙,kissing face with smiling eyes,Smileys & Emotion,,kissing_face_with_smiling_eyes,U+1F619,inferred_coherent
🥲,smiling face with tear,Smileys & Emotion,,smiling_face_with_tear,U+1F972,inferred_coherent
😋,face savoring food,Smileys & Emotion,,face_savoring_food,U+1F60B,inferred_coherent
😛,face with tongue,Smileys & Emotion,,face_with_tongue,U+1F61B,inferred_coherent
😜,winking face with tongue,Smileys & Emotion,,winking_face_with_tongue,U+1F61C,inferred_coherent
🤪,zany face,Smileys & Emotion,,zany_face,U+1F92A,inferred_coherent
😝,squinting face with tongue,Smileys & Emotion,,squinting_face_with_tongue,U+1F61D,inferred_coherent
🤑,money-mouth face,Smileys & Emotion,,money_mouth_face,U+1F911,inferred_coherent
🤗,smiling face with open hands,Smileys & Emotion,,smiling_face_with_open_hands,U+1F917,inferred_coherent
🤭,face with hand over mouth,Smileys & Emotion,,face_with_hand_over_mouth,U+1F92D,inferred_coherent
🫢,face with open eyes and hand over mouth,Smileys & Emotion,,face_with_open_eyes_and_hand_over_mouth,U+1FAE2,inferred_coherent
🫣,face with peeking eye,Smileys & Emotion,,face_with_peeking_eye,U+1FAE3,inferred_coherent
🤫,shushing face,Smileys & Emotion,,shushing_face,U+1F92B,inferred_coherent
🤔,thinking face,Smileys & Emotion,,thinking_face,U+1F914,inferred_coherent
🫡,saluting face,Smileys & Emotion,,saluting_face,U+1FAE1,inferred_coherent
🤐,zipper-mouth face,Smileys & Emotion,,zipper_mouth_face,U+1F910,inferred_coherent
🤨,face with raised eyebrow,Smileys & Emotion,,face_with_raised_eyebrow,U+1F928,inferred_coherent
😐,neutral face,Smileys & Emotion,,neutral_face,U+1F610,inferred_coherent
😑,expressionless face,Smileys & Emotion,,expressionless_face,U+1F611,inferred_coherent
😶,face without mouth,Smileys & Emotion,,face_without_mouth,U+1F636,inferred_coherent
🫥,dotted line face,Smileys & Emotion,,dotted_line_face,U+1FAE5,inferred_coherent
😶‍🌫️,face in clouds,Smileys & Emotion,,face_in_clouds,U+1F636 U+200D U+1F32B U+FE0F,inferred_coherent
😏,smirking face,Smileys & Emotion,,smirking_face,U+1F60F,inferred_coherent
😒,unamused face,Smileys & Emotion,,unamused_face,U+1F612,inferred_coherent
🙄,face with rolling eyes,Smileys & Emotion,,face_with_rolling_eyes,U+1F644,inferred_coherent
