emoji,name,unicode_codepoint,varna,graha,element,layer,nakshatra,ashtakala,vastu_zone,rasa,dosha,notes,attestation,attestation_status
👨‍⚕️,doctor,U+1F468_200D_2695,brahmana,budha,ether,S5,Ashwini,,NE,,,Ashwini Kumaras are the divine physicians,SYNTHESIS,inferred_coherent
👩‍⚕️,woman_doctor,U+1F469_200D_2695,brahmana,budha,ether,S5,Ashwini,,NE,,,healing profession · Ashwini physicians,SYNTHESIS,inferred_coherent
👨‍🏫,teacher,U+1F468_200D_1F3EB,brahmana,guru,ether,S1,Pushya,,NE,,,Brihaspati is guru of devas · teaching is brahmanical,SYNTHESIS,inferred_coherent
👩‍🏫,woman_teacher,U+1F469_200D_1F3EB,brahmana,guru,ether,S1,Pushya,,NE,,,Jupiter rules teaching and wisdom,SYNTHESIS,inferred_coherent
👨‍🔬,scientist,U+1F468_200D_1F52C,brahmana,budha,air,S4,Hasta,,E,,,Mercury rules investigation · Hasta = skilled hands,SYNTHESIS,inferred_coherent
👩‍🔬,woman_scientist,U+1F469_200D_1F52C,brahmana,budha,air,S4,Hasta,,E,,,empirical investigation · Mercury domain,SYNTHESIS,inferred_coherent
👨‍💻,technologist,U+1F468_200D_1F4BB,brahmana,budha,air,S4,Hasta,,E,,,Mercury rules technology · Vishvakarma craft,SYNTHESIS,inferred_coherent
👩‍💻,woman_technologist,U+1F469_200D_1F4BB,brahmana,budha,air,S4,Hasta,,E,,,code is yantra · Mercury domain,SYNTHESIS,inferred_coherent
👨‍🎨,artist,U+1F468_200D_1F3A8,brahmana,shukra,water,S2,Chitra,,W,shringara,,Venus rules beauty and art · Vishvakarma,SYNTHESIS,inferred_coherent
👩‍🎨,woman_artist,U+1F469_200D_1F3A8,brahmana,shukra,water,S2,Chitra,,W,shringara,,Chitra = brilliant/variegated · Venus domain,SYNTHESIS,inferred_coherent
👨‍🍳,cook,U+1F468_200D_1F373,vaishya,mangala,fire,S5,Krittika,Madhyahna,SE,,,Agni rules cooking · SE is kitchen in vastu,SYNTHESIS,inferred_coherent
👩‍🍳,woman_cook,U+1F469_200D_1F373,vaishya,mangala,fire,S5,Krittika,Madhyahna,SE,,,fire transformation · Krittika = razor/flame,SYNTHESIS,inferred_coherent
👨‍🌾,farmer,U+1F468_200D_1F33E,vaishya,chandra,earth,S5,Rohini,,SW,,,Moon rules agriculture · Rohini most fertile,SYNTHESIS,inferred_coherent
👩‍🌾,woman_farmer,U+1F469_200D_1F33E,vaishya,chandra,earth,S5,Rohini,,SW,,,Rohini = growth · Prajapati · earth element,SYNTHESIS,inferred_coherent
👨‍🔧,mechanic,U+1F468_200D_1F527,shudra,mangala,fire,S4,Vishakha,,SE,,,Mars rules tools and force · Vishvakarma craft,SYNTHESIS,inferred_coherent
👩‍🔧,woman_mechanic,U+1F469_200D_1F527,shudra,mangala,fire,S4,Vishakha,,SE,,,manual skill · fire element transformation,SYNTHESIS,inferred_coherent
