image_id,deity_name,deity_name_iast,deity_form,nakshatra_primary,nakshatra_secondary,tithi_primary,vara_primary,graha_association,element_association,rasa_primary,image_url,image_description,tradition,attribution,license
radha_krishna_01,Radha Krishna,Rādhā Kṛṣṇa,Yugala,Rohini,Revati,Purnima,Monday,Moon,water,shringara,https://commons.wikimedia.org/wiki/File:Radha_Krishna.jpg,Radha and Krishna in Vrindavan,gaudiya_vaishnava,Wikimedia Commons,CC-BY-SA
krishna_bansuri_01,Krishna,Kṛṣṇa,Muralidhara,Rohini,,Panchami,Wednesday,Moon,water,madhura,https://commons.wikimedia.org/wiki/File:Krishna_with_flute.jpg,Krishna playing flute,gaudiya_vaishnava,Wikimedia Commons,CC-BY-SA
vishnu_shayani_01,Vishnu,Viṣṇu,Ananta Shayana,Shravana,,Ekadashi,Saturday,Sun,ether,shanta,https://commons.wikimedia.org/wiki/File:Vishnu_Anantasayana.jpg,Vishnu reclining on Ananta Shesha,sri_vaishnava,Wikimedia Commons,CC-BY-SA
narasimha_01,Narasimha,Nṛsiṃha,Ugra,Swati,,Chaturdashi,Tuesday,Mars,fire,raudra,https://commons.wikimedia.org/wiki/File:Narasimha_Painting.jpg,Narasimha avatar,vaishnava,Wikimedia Commons,CC-BY-SA
durga_01,Durga,Durgā,Mahishasura Mardini,Chitra,,Navami,Tuesday,Mars,fire,vira,https://commons.wikimedia.org/wiki/File:Durga_idol_2011.jpg,Durga slaying Mahishasura,shakta,Wikimedia Commons,CC-BY-SA
lakshmi_01,Lakshmi,Lakṣmī,Padmasana,Revati,Bharani,Purnima,Friday,Venus,water,shringara,https://commons.wikimedia.org/wiki/File:Lakshmi_on_Lotus.jpg,Lakshmi on lotus,vaishnava,Wikimedia Commons,CC-BY-SA
saraswati_01,Saraswati,Sarasvatī,Veena,Hasta,,Panchami,Wednesday,Mercury,ether,shanta,https://commons.wikimedia.org/wiki/File:Goddess_Saraswati.jpg,Saraswati with veena,all,Wikimedia Commons,CC-BY-SA
ganesha_01,Ganesha,Gaṇeśa,Chaturbhuja,Hasta,,Chaturthi,Wednesday,Mercury,earth,hasya,https://commons.wikimedia.org/wiki/File:Ganesha_painting.jpg,Ganesha four-armed,all,Wikimedia Commons,CC-BY-SA
shiva_nataraja_01,Shiva,Śiva,Nataraja,Ardra,,Trayodashi,Monday,Moon,ether,adbhuta,https://commons.wikimedia.org/wiki/File:Shiva_Nataraja_Musée_Guimet.jpg,Shiva as cosmic dancer,shaiva,Wikimedia Commons,CC-BY-SA
shiva_linga_01,Shiva,Śiva,Lingam,Ardra,,Chaturdashi,Monday,Moon,ether,shanta,https://commons.wikimedia.org/wiki/File:Shiva_Lingam.jpg,Shiva Lingam,shaiva,Wikimedia Commons,CC-BY-SA
hanuman_01,Hanuman,Hanumān,Vira,Bharani,Chitra,,Tuesday,Mars,fire,vira,https://commons.wikimedia.org/wiki/File:Hanuman_Chalisa.jpg,Hanuman in devotion,vaishnava,Wikimedia Commons,CC-BY-SA
kartikeya_01,Kartikeya,Kārttikeya,Shanmukha,Krittika,,Shashthi,Tuesday,Mars,fire,vira,https://commons.wikimedia.org/wiki/File:Murugan_by_Raja_Ravi_Varma.jpg,Kartikeya/Murugan,shaiva,Wikimedia Commons,CC-BY-SA
kali_01,Kali,Kālī,Dakshina,Ashlesha,,Amavasya,Tuesday,Saturn,fire,bhayanaka,https://commons.wikimedia.org/wiki/File:Kali_by_Raja_Ravi_Varma.jpg,Kali dancing,shakta,Wikimedia Commons,CC-BY-SA
nitya_kulasundari,Kulasundari,Kulasundarī,Nitya Devi,,,Navami,,Moon,water,shringara,,Kulasundari — 9th Nitya Devi,srividya,,public_domain
nitya_nitya,Nitya,Nityā,Nitya Devi,,,Dashami,,Sun,fire,shanta,,Nitya — 10th Nitya Devi (the eternal),srividya,,public_domain
