id,idx,nakshatra,pada_n,element,ribbon,longitude_deg,knot_x,knot_y,knot_z,opposite_pada,triangle_pada,element_next,yantra_triangle_id,yantra_polarity,yantra_yuga,attestation_status
pada_001,1,Ashwini,1,fire,matter,0.0,3.25,0.0,0.0,pada_055,pada_037;pada_073,earth,shiva_dvapara_1,Shiva,Dvapara,attested_secondary
pada_002,2,Ashwini,2,earth,matter,3.3333,3.2152,0.7814,0.3758,pada_056,pada_038;pada_074,air,shiva_dvapara_1,Shiva,Dvapara,attested_secondary
pada_003,3,Ashwini,3,air,matter,6.6667,3.1125,1.5391,0.7377,pada_057,pada_039;pada_075,water,shiva_dvapara_1,Shiva,Dvapara,attested_secondary
pada_004,4,Ashwini,4,water,matter,10.0,2.947,2.25,1.0726,pada_058,pada_040;pada_076,fire,shiva_dvapara_1,Shiva,Dvapara,attested_secondary
pada_005,5,Bharani,1,fire,antimatter,13.3333,-0.7849,-2.8925,1.5628,pada_059,pada_041;pada_077,earth,shakti_dvapara,Shakti,Dvapara,attested_secondary
pada_006,6,Bharani,2,earth,antimatter,16.6667,-1.0186,-3.4472,1.5487,pada_060,pada_042;pada_078,air,shakti_dvapara,Shakti,Dvapara,attested_secondary
pada_007,7,Bharani,3,air,antimatter,20.0,-1.2695,-3.8971,1.5129,pada_061,pada_043;pada_079,water,shakti_dvapara,Shakti,Dvapara,attested_secondary
pada_008,8,Bharani,4,water,antimatter,23.3333,-1.5342,-4.2286,1.4475,pada_062,pada_044;pada_080,fire,shakti_dvapara,Shakti,Dvapara,attested_secondary
pada_009,9,Krttika,1,fire,matter,26.6667,1.5213,4.4316,2.0435,pada_063,pada_045;pada_081,earth,shiva_satya,Shiva,Satya,attested_secondary
pada_010,10,Krttika,2,earth,matter,30.0,1.2,4.5,2.0785,pada_064,pada_046;pada_082,air,shiva_satya,Shiva,Satya,attested_secondary
pada_011,11,Krttika,3,air,matter,33.3333,0.8921,4.4316,2.0682,pada_065,pada_047;pada_083,water,shiva_satya,Shiva,Satya,attested_secondary
pada_012,12,Krttika,4,water,matter,36.6667,0.6049,4.2286,2.0207,pada_066,pada_048;pada_084,fire,shiva_satya,Shiva,Satya,attested_secondary
pada_013,13,Rohini,1,fire,antimatter,40.0,-2.7821,-3.8971,0.4906,pada_067,pada_049;pada_085,earth,shakti_kali,Shakti,Kali,attested_secondary
pada_014,14,Rohini,2,earth,antimatter,43.3333,-2.9414,-3.4472,0.1713,pada_068,pada_050;pada_086,air,shakti_kali,Shakti,Kali,attested_secondary
pada_015,15,Rohini,3,air,antimatter,46.6667,-3.046,-2.8925,-0.1774,pada_069,pada_051;pada_087,water,shakti_kali,Shakti,Kali,attested_secondary
pada_016,16,Rohini,4,water,antimatter,50.0,-3.0885,-2.25,-0.5446,pada_070,pada_052;pada_088,fire,shakti_kali,Shakti,Kali,attested_secondary
pada_017,17,Mrgasirsa,1,fire,matter,53.3333,-0.4592,1.5391,1.534,pada_071,pada_053;pada_089,earth,shiva_treta,Shiva,Treta,attested_secondary
pada_018,18,Mrgasirsa,2,earth,matter,56.6667,-0.619,0.7814,1.4351,pada_072,pada_054;pada_090,air,shiva_treta,Shiva,Treta,attested_secondary
pada_019,19,Mrgasirsa,3,air,matter,60.0,-0.775,0.0,1.3423,pada_073,pada_055;pada_091,water,shiva_treta,Shiva,Treta,attested_secondary
pada_020,20,Mrgasirsa,4,water,matter,63.3333,-0.9333,-0.7814,1.2536,pada_074,pada_056;pada_092,fire,shiva_treta,Shiva,Treta,attested_secondary
pada_021,21,Ardra,1,fire,antimatter,66.6667,-2.3267,1.5391,-2.1951,pada_075,pada_057;pada_093,earth,shakti_treta,Shakti,Treta,attested_secondary
pada_022,22,Ardra,2,earth,antimatter,70.0,-2.0159,2.25,-2.4024,pada_076,pada_058;pada_094,air,shakti_treta,Shakti,Treta,attested_secondary
pada_023,23,Ardra,3,air,antimatter,73.3333,-1.6766,2.8925,-2.5492,pada_077,pada_059;pada_095,water,shakti_treta,Shakti,Treta,attested_secondary
pada_024,24,Ardra,4,water,antimatter,76.6667,-1.3223,3.4472,-2.633,pada_078,pada_060;pada_096,fire,shakti_treta,Shakti,Treta,attested_secondary
pada_025,25,Punarvasu,1,fire,matter,80.0,-1.8559,-3.8971,0.6755,pada_079,pada_061;pada_097,earth,shiva_kali,Shiva,Kali,attested_secondary
pada_026,26,Punarvasu,2,earth,matter,83.3333,-2.0524,-4.2286,0.4864,pada_080,pada_062;pada_098,air,shiva_kali,Shiva,Kali,attested_secondary
pada_027,27,Punarvasu,3,air,matter,86.6667,-2.2372,-4.4316,0.2615,pada_081,pada_063;pada_099,water,shiva_kali,Shiva,Kali,attested_secondary
pada_028,28,Punarvasu,4,water,matter,90.0,-2.4,-4.5,0.0,pada_082,pada_064;pada_100,fire,shiva_kali,Shiva,Kali,attested_secondary
pada_029,29,Pusya,1,fire,antimatter,93.3333,0.2615,4.4316,-2.2372,pada_083,pada_065;pada_101,earth,shakti_satya,Shakti,Satya,attested_secondary
pada_030,30,Pusya,2,earth,antimatter,96.6667,0.4864,4.2286,-2.0524,pada_084,pada_066;pada_102,air,shakti_satya,Shakti,Satya,attested_secondary
pada_031,31,Pusya,3,air,antimatter,100.0,0.6755,3.8971,-1.8559,pada_085,pada_067;pada_103,water,shakti_satya,Shakti,Satya,attested_secondary
pada_032,32,Pusya,4,water,antimatter,103.3333,0.8319,3.4472,-1.6565,pada_086,pada_068;pada_104,fire,shakti_satya,Shakti,Satya,attested_secondary
pada_033,33,Aslesа,1,fire,matter,106.6667,-2.5492,-2.8925,-1.6766,pada_087,pada_069;pada_105,earth,shiva_dvapara_2,Shiva,Dvapara,attested_secondary
pada_034,34,Aslesа,2,earth,matter,110.0,-2.4024,-2.25,-2.0159,pada_088,pada_070;pada_106,air,shiva_dvapara_2,Shiva,Dvapara,attested_secondary
pada_035,35,Aslesа,3,air,matter,113.3333,-2.1951,-1.5391,-2.3267,pada_089,pada_071;pada_107,water,shiva_dvapara_2,Shiva,Dvapara,attested_secondary
pada_036,36,Aslesа,4,water,matter,116.6667,-1.9331,-0.7814,-2.5965,pada_090,pada_072;pada_108,fire,shiva_dvapara_2,Shiva,Dvapara,attested_secondary
pada_037,37,Magha,1,fire,antimatter,120.0,1.3423,0.0,-0.775,pada_091,pada_001;pada_073,earth,shiva_dvapara_1,Shiva,Dvapara,attested_secondary
pada_038,38,Magha,2,earth,antimatter,123.3333,1.4351,-0.7814,-0.619,pada_092,pada_002;pada_074,air,shiva_dvapara_1,Shiva,Dvapara,attested_secondary
pada_039,39,Magha,3,air,antimatter,126.6667,1.534,-1.5391,-0.4592,pada_093,pada_003;pada_075,water,shiva_dvapara_1,Shiva,Dvapara,attested_secondary
pada_040,40,Magha,4,water,antimatter,130.0,1.6386,-2.25,-0.2889,pada_094,pada_004;pada_076,fire,shiva_dvapara_1,Shiva,Dvapara,attested_secondary
pada_041,41,Purva Phalguni,1,fire,matter,133.3333,-0.1774,2.8925,-3.046,pada_095,pada_005;pada_077,earth,shakti_dvapara,Shakti,Dvapara,attested_secondary
pada_042,42,Purva Phalguni,2,earth,matter,136.6667,0.1713,3.4472,-2.9414,pada_096,pada_006;pada_078,air,shakti_dvapara,Shakti,Dvapara,attested_secondary
pada_043,43,Purva Phalguni,3,air,matter,140.0,0.4906,3.8971,-2.7821,pada_097,pada_007;pada_079,water,shakti_dvapara,Shakti,Dvapara,attested_secondary
