nakshatra,body_region,source,attestation_status
Ashwini,shanks,user_specified_brihat_samhita_ch_105,attested_secondary
Bharani,head,user_specified_brihat_samhita_ch_105,attested_secondary
Krittika,mouth,user_specified_brihat_samhita_ch_105,attested_secondary
Rohini,shanks,user_specified_brihat_samhita_ch_105,attested_secondary
Mrigashira,eyes,user_specified_brihat_samhita_ch_105,attested_secondary
Ardra,hair,user_specified_brihat_samhita_ch_105,attested_secondary
Punarvasu,fingers,user_specified_brihat_samhita_ch_105,attested_secondary
Pushya,face,user_specified_brihat_samhita_ch_105,attested_secondary
Ashlesha,fingernails,user_specified_brihat_samhita_ch_105,attested_secondary
Magha,nose,user_specified_brihat_samhita_ch_105,attested_secondary
Purva Phalguni,genitals,user_specified_brihat_samhita_ch_105,attested_secondary
Uttara Phalguni,genitals,user_specified_brihat_samhita_ch_105,attested_secondary
Hasta,hands,user_specified_brihat_samhita_ch_105,attested_secondary
Chitra,forehead,user_specified_brihat_samhita_ch_105,attested_secondary
Swati,teeth,user_specified_brihat_samhita_ch_105,attested_secondary
Vishakha,arms,user_specified_brihat_samhita_ch_105,attested_secondary
Anuradha,chest,user_specified_brihat_samhita_ch_105,attested_secondary
Jyeshtha,neck,user_specified_brihat_samhita_ch_105,attested_secondary
Mula,feet,user_specified_brihat_samhita_ch_105,attested_secondary
Purva Ashadha,thighs,user_specified_brihat_samhita_ch_105,attested_secondary
Uttara Ashadha,thighs,user_specified_brihat_samhita_ch_105,attested_secondary
Shravana,ears,user_specified_brihat_samhita_ch_105,attested_secondary
Dhanishtha,back,user_specified_brihat_samhita_ch_105,attested_secondary
Shatabhisha,mouth,user_specified_brihat_samhita_ch_105,attested_secondary
Purva Bhadrapada,sides,user_specified_brihat_samhita_ch_105,attested_secondary
Uttara Bhadrapada,sides,user_specified_brihat_samhita_ch_105,attested_secondary
Revati,abdomen,user_specified_brihat_samhita_ch_105,attested_secondary
