file,from_id,relation,to_id
deity_relations.csv,deity:shiva,vahana,vahana:nandi_bull
deity_relations.csv,deity:vishnu,vahana,vahana:garuda
deity_relations.csv,deity:durga,vahana,vahana:lion
deity_relations.csv,deity:kali,vahana,vahana:none
deity_relations.csv,deity:lakshmi,vahana,vahana:owl
deity_relations.csv,deity:ganesha,vahana,vahana:mouse
deity_relations.csv,deity:karttikeya,vahana,vahana:peacock
deity_relations.csv,deity:surya,vahana,vahana:seven_horses
deity_relations.csv,deity:chandra,vahana,vahana:antelope
deity_relations.csv,deity:indra,vahana,vahana:airavata_elephant
deity_relations.csv,deity:agni,vahana,vahana:ram
deity_relations.csv,deity:varuna,vahana,vahana:sea_creature
deity_relations.csv,deity:vayu,vahana,vahana:deer
deity_relations.csv,deity:kubera,vahana,vahana:man
deity_relations.csv,deity:yama,vahana,vahana:buffalo
deity_relations.csv,deity:indra,domain,domain:storms
deity_relations.csv,deity:indra,element,element:air
deity_relations.csv,deity:agni,domain,domain:sacred_fire
deity_relations.csv,deity:agni,element,element:fire
deity_relations.csv,deity:varuna,element,element:water
deity_relations.csv,deity:vayu,domain,domain:wind
deity_relations.csv,deity:vayu,element,element:air
deity_relations.csv,deity:surya,element,element:fire
deity_relations.csv,deity:chandra,element,element:water
deity_relations.csv,deity:kubera,domain,domain:wealth
deity_relations.csv,deity:kubera,element,element:earth
deity_relations.csv,deity:yama,domain,domain:death
deity_relations.csv,deity:yama,element,element:earth
deity_relations.csv,deity:durga,domain,domain:protection
deity_relations.csv,deity:durga,element,element:fire
deity_relations.csv,deity:lakshmi,domain,domain:prosperity
deity_relations.csv,deity:lakshmi,element,element:water
deity_relations.csv,deity:saraswati,domain,domain:knowledge
deity_relations.csv,deity:saraswati,element,element:air
deity_relations.csv,deity:ganesha,domain,domain:obstacle_removal
deity_relations.csv,deity:ganesha,element,element:earth
deity_relations.csv,deity:karttikeya,domain,domain:warfare
deity_relations.csv,deity:karttikeya,element,element:fire
relations_nakshatra_deity.csv,nakshatra:bharani,nakshatra_associated_deity,deity:yama
relations_nakshatra_deity.csv,nakshatra:krittika,nakshatra_associated_deity,deity:agni
relations_nakshatra_deity.csv,nakshatra:rohini,nakshatra_associated_deity,deity:brahma
relations_resolved_inference.csv,nakshatra:shravana,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:mula,nakshatra_associated_deity,deity:vishnu
relations_resolved_inference.csv,nakshatra:anuradha,nakshatra_associated_deity,deity:vishnu
relations_resolved_inference.csv,nakshatra:vishakha,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:anuradha,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:vishakha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:vishakha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:chitra,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:ardra,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:mrigashira,nakshatra_associated_deity,deity:brahma
relations_resolved_inference.csv,nakshatra:rohini,nakshatra_associated_deity,deity:brahma
relations_resolved_inference.csv,nakshatra:ardra,nakshatra_associated_deity,deity:brahma
relations_resolved_inference.csv,nakshatra:shatabhisha,nakshatra_associated_deity,deity:brahma
relations_resolved_inference.csv,nakshatra:punarvasu,nakshatra_associated_deity,deity:brahma
relations_resolved_inference.csv,nakshatra:ardra,nakshatra_associated_deity,deity:brahma
relations_resolved_inference.csv,nakshatra:uttara_phalguni,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:uttara_bhadrapada,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:swati,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:shravana,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:shatabhisha,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:rohini,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:revati,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:pushya,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:purva_bhadrapada,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:punarvasu,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:mula,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:magha,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:hasta,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:dhanishta,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:bharani,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:ashwini,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:ardra,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:anuradha,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:purva_phalguni,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:magha,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:rohini,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:purva_phalguni,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:magha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:uttara_phalguni,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:uttara_bhadrapada,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:swati,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:shravana,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:shatabhisha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:rohini,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:revati,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:pushya,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:purva_phalguni,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:purva_bhadrapada,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:punarvasu,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:mula,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:magha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:krittika,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:hasta,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:bharani,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:ashwini,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:anuradha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:mula,nakshatra_associated_deity,deity:yama
relations_resolved_inference.csv,nakshatra:uttara_phalguni,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:uttara_bhadrapada,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:swati,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:shravana,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:rohini,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:revati,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:pushya,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:purva_phalguni,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:purva_bhadrapada,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:punarvasu,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:magha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:krittika,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:ashwini,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:pushya,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:punarvasu,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:krittika,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:vishakha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:uttara_phalguni,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:uttara_bhadrapada,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:swati,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:shravana,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:shatabhisha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:rohini,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:revati,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:pushya,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:purva_bhadrapada,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:punarvasu,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:mula,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:magha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:jyeshtha,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:hasta,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:dhanishta,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:bharani,nakshatra_associated_deity,deity:agni
relations_resolved_inference.csv,nakshatra:ashwini,nakshatra_associated_deity,deity:agni
