Hour	01/1996	02/1996	03/1996	04/1996	05/1996	06/1996	07/1996	08/1996	09/1996	10/1996	11/1996	12/1996	01/1997	02/1997	03/1997	04/1997	05/1997	06/1997	07/1997	08/1997	09/1997	10/1997	11/1997	12/1997	01/1998	02/1998	03/1998	04/1998	05/1998	06/1998	07/1998	08/1998	09/1998	10/1998	11/1998	12/1998	01/1999	02/1999	03/1999	04/1999	05/1999	06/1999	07/1999	08/1999	09/1999	10/1999	11/1999	12/1999	
[UT]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	[a.u.]	
00	4.203	3.028	3.133	4.709	5.062	4.537	5.336	3.980	4.528	3.204	2.723	2.657	2.657	2.465	3.881	4.884	2.756	4.752	3.572	1.960	2.465	2.434	3.168	2.190	1.822	1.769	2.190	2.657	3.460	3.133	3.842	3.803	2.958	2.690	2.958	3.572	3.168	3.881	3.881	3.725	3.881	9.060	4.410	2.723	3.168	2.496	2.890	1.664	
01	3.842	3.028	3.098	4.622	4.928	4.410	5.570	3.905	4.056	3.133	2.723	2.528	2.528	2.723	3.610	4.162	2.690	4.244	2.723	2.280	2.280	2.132	3.312	2.250	1.769	1.716	2.045	2.434	3.349	3.276	3.534	3.572	2.890	3.133	2.822	3.168	3.881	3.386	3.204	4.244	3.960	3.920	3.460	2.856	2.789	3.497	2.161	1.563	
02	4.368	2.993	3.063	4.709	5.429	4.162	4.452	3.538	4.172	3.133	2.856	2.560	2.560	2.465	3.349	3.460	2.924	3.725	2.890	2.250	2.372	2.280	4.121	2.132	1.796	1.690	2.016	2.528	3.204	4.326	3.204	2.434	2.723	2.890	3.276	3.240	3.842	3.204	7.673	3.920	4.121	4.494	4.709	2.310	3.572	2.789	2.310	1.613	
03	3.842	2.924	3.098	5.712	5.808	4.752	4.537	4.095	4.328	3.497	2.856	2.723	2.723	3.028	3.610	3.920	3.572	3.960	3.764	2.496	2.341	2.190	3.881	2.310	1.877	1.613	2.045	2.924	3.960	4.666	3.534	3.098	3.098	2.993	3.422	3.312	3.133	3.204	3.276	4.494	5.108	4.162	4.080	2.657	3.572	3.133	2.560	1.613	
04	4.203	2.993	3.497	6.401	6.052	4.580	5.153	4.650	5.285	4.040	3.063	2.958	2.958	3.168	3.686	5.617	3.534	3.960	7.129	3.422	2.690	2.624	4.537	2.756	1.877	1.796	2.822	3.842	4.285	5.429	4.162	4.203	3.240	2.924	3.240	3.240	2.958	2.924	4.244	5.062	5.429	4.452	4.203	3.063	4.040	2.280	2.465	1.742	
05	4.285	3.686	4.580	6.150	7.398	5.018	5.476	4.942	6.007	4.368	3.312	3.098	3.098	3.497	4.884	6.350	4.244	4.580	12.888	4.666	3.133	3.497	5.476	3.422	2.045	2.496	3.842	3.881	4.040	5.664	4.494	4.162	3.881	3.764	3.960	3.803	3.240	4.285	5.664	5.108	6.864	4.452	5.476	3.422	4.840	4.080	3.168	2.016	
06	5.954	4.622	4.796	6.052	7.236	5.336	5.570	5.027	6.531	5.244	4.884	4.244	4.244	4.410	6.150	9.672	3.881	4.580	16.484	4.840	3.312	3.648	7.022	4.709	3.240	3.497	4.410	3.842	3.960	5.062	4.973	4.752	3.960	4.709	5.198	5.198	4.796	4.666	6.003	5.617	7.129	4.884	6.250	3.534	5.664	4.494	4.000	2.690	
07	6.605	4.796	4.709	6.150	6.917	4.840	6.200	5.596	6.677	5.429	5.808	5.108	5.108	6.052	7.076	11.424	6.917	4.537	9.486	4.244	3.168	4.000	7.290	5.664	3.610	3.686	4.244	4.203	4.537	5.198	5.522	4.162	3.960	4.973	5.153	5.198	5.336	4.666	6.452	5.905	7.952	5.954	6.452	3.960	5.617	4.368	4.410	3.063	
08	6.200	4.452	4.494	5.664	6.003	5.290	6.052	5.462	6.434	5.290	5.808	5.476	5.476	8.468	7.022	13.616	6.812	4.666	6.708	3.803	3.168	3.881	6.300	5.808	3.725	4.080	4.326	4.040	5.018	5.244	5.476	4.285	4.040	4.884	6.554	4.973	5.244	4.494	7.236	6.452	6.300	7.344	6.656	4.840	6.605	3.842	4.203	3.098	
09	6.200	4.326	4.537	5.808	6.150	5.382	8.066	7.279	7.126	5.290	5.336	4.840	4.840	10.628	8.585	14.900	8.009	5.664	8.066	3.276	3.063	4.162	5.905	5.522	3.572	3.572	4.203	4.884	5.856	6.052	5.429	4.452	4.121	4.244	5.856	4.622	5.108	4.326	10.433	5.664	7.129	5.062	6.554	6.605	5.905	3.312	4.285	2.993	
