Hour	01/2013	02/2013	03/2013	04/2013	05/2013	06/2013	07/2013	08/2013	09/2013	10/2013	11/2013	12/2013	01/2014	02/2014	03/2014	04/2014	05/2014	06/2014	07/2014	08/2014	09/2014	10/2014	11/2014	12/2014	01/2015	02/2015	03/2015	04/2015	05/2015	06/2015	07/2015	08/2015	09/2015	10/2015	11/2015	12/2015	01/2016	02/2016	03/2016	04/2016	05/2016	06/2016	07/2016	08/2016	09/2016	10/2016	11/2016	12/2016	
[UT]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	
0.000	0.187	0.210	0.277	0.329	0.721	0.692	0.761	0.752	0.514	0.332	0.279	0.209	0.214	0.192	0.242	0.348	0.595	0.835	0.768	0.692	0.592	0.425	0.306	0.265	0.241	0.301	0.239	0.361	0.650	0.803	0.718	0.682	0.553	0.371	0.321	0.295	0.219	0.154	0.216	0.330	0.525	0.803	0.693	0.665	0.429	0.360	0.254	0.185	
0.167	0.181	0.191	0.288	0.333	0.627	0.678	0.730	0.772	0.484	0.316	0.282	0.201	0.195	0.191	0.258	0.339	0.561	0.766	0.758	0.706	0.582	0.405	0.299	0.250	0.232	0.291	0.237	0.365	0.622	0.791	0.688	0.735	0.512	0.369	0.333	0.286	0.213	0.162	0.222	0.350	0.527	0.800	0.693	0.621	0.428	0.348	0.252	0.186	
0.333	0.181	0.195	0.270	0.336	0.629	0.638	0.689	0.737	0.510	0.305	0.270	0.202	0.189	0.173	0.260	0.328	0.551	0.773	0.746	0.681	0.580	0.393	0.281	0.250	0.226	0.294	0.232	0.365	0.634	0.805	0.674	0.669	0.501	0.353	0.327	0.273	0.209	0.138	0.217	0.324	0.511	0.776	0.670	0.603	0.420	0.348	0.250	0.182	
0.500	0.176	0.188	0.271	0.299	0.620	0.666	0.699	0.712	0.506	0.302	0.283	0.184	0.197	0.179	0.248	0.312	0.569	0.772	0.728	0.702	0.533	0.385	0.293	0.245	0.209	0.279	0.226	0.359	0.630	0.803	0.662	0.649	0.490	0.366	0.329	0.251	0.192	0.146	0.214	0.313	0.501	0.790	0.678	0.619	0.413	0.336	0.237	0.176	
0.667	0.165	0.198	0.250	0.304	0.621	0.636	0.697	0.694	0.562	0.284	0.254	0.190	0.188	0.159	0.252	0.318	0.524	0.696	0.726	0.624	0.545	0.382	0.278	0.247	0.207	0.270	0.232	0.347	0.644	0.745	0.649	0.664	0.487	0.357	0.306	0.274	0.203	0.141	0.206	0.324	0.490	0.761	0.647	0.569	0.387	0.338	0.221	0.175	
0.833	0.172	0.180	0.270	0.328	0.609	0.606	0.662	0.696	0.481	0.290	0.273	0.177	0.196	0.171	0.255	0.332	0.533	0.747	0.715	0.600	0.528	0.380	0.266	0.217	0.199	0.248	0.219	0.357	0.644	0.724	0.648	0.693	0.459	0.357	0.286	0.253	0.196	0.135	0.195	0.329	0.499	0.704	0.639	0.590	0.390	0.319	0.213	0.163	
1.000	0.170	0.188	0.255	0.309	0.570	0.599	0.659	0.653	0.459	0.290	0.250	0.173	0.185	0.166	0.240	0.326	0.516	0.721	0.723	0.609	0.485	0.362	0.252	0.212	0.209	0.263	0.214	0.368	0.572	0.746	0.592	0.644	0.450	0.364	0.271	0.236	0.193	0.136	0.197	0.317	0.471	0.730	0.621	0.568	0.390	0.321	0.218	0.166	
1.167	0.165	0.182	0.251	0.293	0.566	0.593	0.652	0.627	0.475	0.280	0.230	0.176	0.169	0.156	0.238	0.301	0.483	0.697	0.675	0.604	0.499	0.340	0.246	0.220	0.183	0.252	0.207	0.342	0.585	0.758	0.605	0.673	0.436	0.360	0.251	0.230	0.181	0.134	0.185	0.294	0.440	0.681	0.619	0.555	0.359	0.302	0.206	0.149	
1.333	0.158	0.184	0.242	0.289	0.585	0.570	0.642	0.621	0.445	0.282	0.232	0.173	0.170	0.162	0.229	0.279	0.487	0.717	0.654	0.567	0.471	0.349	0.240	0.217	0.181	0.243	0.210	0.312	0.543	0.699	0.597	0.621	0.423	0.325	0.249	0.247	0.164	0.133	0.197	0.292	0.455	0.636	0.608	0.516	0.360	0.305	0.200	0.153	
