Hour	01/2013	02/2013	03/2013	04/2013	05/2013	06/2013	07/2013	08/2013	09/2013	10/2013	11/2013	12/2013	01/2014	02/2014	03/2014	04/2014	05/2014	06/2014	07/2014	08/2014	09/2014	10/2014	11/2014	12/2014	01/2015	02/2015	03/2015	04/2015	05/2015	06/2015	07/2015	08/2015	09/2015	10/2015	11/2015	12/2015	01/2016	02/2016	03/2016	04/2016	05/2016	06/2016	07/2016	08/2016	09/2016	10/2016	11/2016	12/2016	
[UT]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	
0.000	0.465	0.449	0.582	0.668	1.081	1.106	1.136	1.048	0.835	0.627	0.607	0.569	0.444	0.463	0.627	0.702	0.838	1.156	1.032	1.032	0.996	0.740	0.620	0.622	0.537	0.669	0.580	0.774	0.931	1.147	1.142	1.122	0.863	0.666	0.632	0.494	0.440	0.355	0.541	0.546	0.879	1.048	1.093	0.981	0.797	0.593	0.534	0.447	
0.167	0.455	0.430	0.571	0.677	1.008	1.127	1.106	0.980	0.795	0.600	0.635	0.544	0.434	0.436	0.639	0.742	0.813	1.104	1.024	1.036	1.003	0.695	0.595	0.578	0.511	0.679	0.561	0.777	0.943	1.062	1.087	1.079	0.816	0.658	0.634	0.497	0.427	0.359	0.560	0.533	0.825	1.039	0.999	0.925	0.752	0.568	0.516	0.436	
0.333	0.448	0.428	0.576	0.704	1.006	1.064	1.062	0.953	0.799	0.580	0.602	0.538	0.417	0.451	0.612	0.673	0.764	1.060	1.016	1.023	0.934	0.653	0.584	0.545	0.503	0.686	0.549	0.692	0.909	1.050	1.035	1.013	0.769	0.657	0.628	0.478	0.441	0.344	0.521	0.554	0.809	0.982	0.988	0.907	0.718	0.561	0.508	0.433	
0.500	0.440	0.415	0.551	0.611	0.935	1.026	1.092	0.828	0.775	0.553	0.601	0.538	0.416	0.431	0.586	0.658	0.802	1.013	0.938	0.944	0.897	0.636	0.560	0.535	0.460	0.641	0.573	0.745	0.872	1.039	1.037	0.969	0.723	0.624	0.627	0.475	0.426	0.333	0.517	0.510	0.800	0.958	0.915	0.854	0.708	0.536	0.520	0.430	
0.667	0.416	0.431	0.521	0.597	0.973	0.958	1.028	0.889	0.831	0.548	0.597	0.479	0.402	0.403	0.575	0.698	0.751	0.956	0.921	0.900	0.878	0.633	0.561	0.543	0.474	0.613	0.524	0.696	0.863	0.919	0.970	0.945	0.758	0.612	0.595	0.444	0.419	0.308	0.491	0.536	0.795	0.912	0.933	0.820	0.621	0.527	0.505	0.430	
0.833	0.409	0.421	0.536	0.599	0.894	0.893	0.972	0.823	0.688	0.525	0.606	0.498	0.403	0.416	0.585	0.652	0.716	0.940	0.868	0.856	0.825	0.617	0.517	0.504	0.446	0.599	0.507	0.676	0.816	0.939	0.922	0.901	0.687	0.567	0.576	0.456	0.428	0.318	0.520	0.498	0.742	0.923	0.928	0.810	0.662	0.520	0.467	0.398	
1.000	0.413	0.415	0.515	0.588	0.896	0.875	0.981	0.803	0.698	0.516	0.587	0.458	0.397	0.383	0.555	0.616	0.686	0.912	0.842	0.824	0.828	0.605	0.548	0.510	0.452	0.598	0.490	0.629	0.795	0.909	0.890	0.870	0.689	0.615	0.560	0.425	0.411	0.282	0.475	0.472	0.712	0.888	0.841	0.748	0.639	0.513	0.461	0.411	
1.167	0.431	0.416	0.527	0.578	0.874	0.839	0.897	0.779	0.671	0.493	0.561	0.490	0.367	0.381	0.536	0.618	0.632	0.858	0.840	0.779	0.781	0.586	0.528	0.526	0.444	0.588	0.453	0.644	0.745	0.863	0.830	0.883	0.630	0.590	0.554	0.440	0.387	0.292	0.473	0.466	0.695	0.802	0.841	0.735	0.597	0.506	0.454	0.416	
1.333	0.407	0.395	0.489	0.551	0.816	0.857	0.860	0.726	0.607	0.479	0.549	0.458	0.385	0.376	0.526	0.607	0.642	0.860	0.753	0.754	0.786	0.599	0.514	0.527	0.405	0.558	0.491	0.615	0.737	0.808	0.832	0.795	0.626	0.573	0.534	0.428	0.372	0.306	0.459	0.457	0.712	0.757	0.845	0.712	0.616	0.496	0.449	0.407	
1.500	0.387	0.383	0.482	0.536	0.815	0.826	0.857	0.714	0.637	0.478	0.547	0.465	0.369	0.379	0.505	0.609	0.630	0.815	0.738	0.733	0.714	0.605	0.520	0.517	0.417	0.554	0.468	0.624	0.702	0.791	0.776	0.775	0.664	0.524	0.551	0.426	0.364	0.299	0.461	0.456	0.658	0.793	0.813	0.682	0.593	0.497	0.451	0.404	
1.667	0.392	0.378	0.469	0.555	0.797	0.783	0.829	0.684	0.592	0.460	0.571	0.476	0.349	0.362	0.496	0.549	0.614	0.817	0.713	0.733	0.682	0.557	0.491	0.514	0.420	0.556	0.500	0.583	0.663	0.734	0.775	0.800	0.616	0.541	0.538	0.437	0.375	0.281	0.453	0.479	0.639	0.776	0.737	0.653	0.575	0.508	0.476	0.407	
1.833	0.375	0.384	0.472	0.519	0.783	0.731	0.809	0.673	0.618	0.475	0.525	0.479	0.362	0.356	0.513	0.564	0.563	0.741	0.709	0.680	0.651	0.589	0.500	0.557	0.424	0.552	0.451	0.582	0.659	0.752	0.704	0.794	0.604	0.501	0.547	0.433	0.374	0.299	0.456	0.421	0.635	0.728	0.753	0.601	0.564	0.458	0.462	0.392	
2.000	0.368	0.384	0.470	0.513	0.736	0.795	0.769	0.658	0.588	0.486	0.523	0.463	0.356	0.351	0.503	0.541	0.588	0.714	0.685	0.674	0.669	0.574	0.487	0.504	0.419	0.509	0.467	0.525	0.639	0.687	0.708	0.746	0.577	0.528	0.537	0.436	0.375	0.281	0.437	0.426	0.592	0.698	0.703	0.626	0.531	0.484	0.458	0.406	
2.167	0.374	0.374	0.446	0.537	0.694	0.728	0.738	0.655	0.572	0.466	0.506	0.458	0.341	0.361	0.482	0.546	0.533	0.759	0.671	0.643	0.643	0.575	0.478	0.534	0.392	0.511	0.441	0.569	0.644	0.655	0.693	0.702	0.578	0.524	0.533	0.406	0.376	0.294	0.435	0.394	0.575	0.663	0.681	0.596	0.515	0.478	0.447	0.403	
2.333	0.395	0.389	0.446	0.541	0.673	0.715	0.726	0.588	0.538	0.461	0.514	0.462	0.343	0.358	0.481	0.565	0.563	0.704	0.611	0.617	0.657	0.536	0.507	0.541	0.405	0.524	0.454	0.558	0.617	0.679	0.650	0.657	0.530	0.549	0.509	0.419	0.368	0.284	0.430	0.402	0.579	0.653	0.679	0.577	0.526	0.499	0.439	0.424	
2.500	0.375	0.392	0.457	0.539	0.709	0.693	0.706	0.594	0.538	0.449	0.529	0.451	0.318	0.351	0.480	0.535	0.565	0.688	0.632	0.633	0.641	0.569	0.482	0.522	0.382	0.493	0.471	0.552	0.614	0.636	0.647	0.666	0.532	0.514	0.539	0.383	0.360	0.297	0.428	0.395	0.600	0.648	0.600	0.563	0.548	0.484	0.454	0.394	
2.667	0.365	0.378	0.432	0.507	0.656	0.664	0.670	0.562	0.542	0.430	0.495	0.459	0.321	0.349	0.478	0.525	0.506	0.683	0.590	0.582	0.634	0.569	0.458	0.539	0.395	0.510	0.451	0.517	0.594	0.651	0.627	0.636	0.526	0.527	0.511	0.403	0.362	0.305	0.433	0.383	0.552	0.660	0.606	0.561	0.519	0.478	0.452	0.397	
2.833	0.362	0.369	0.411	0.505	0.683	0.643	0.679	0.569	0.485	0.466	0.515	0.465	0.294	0.354	0.456	0.527	0.523	0.677	0.594	0.593	0.616	0.564	0.470	0.549	0.403	0.482	0.432	0.549	0.566	0.591	0.595	0.606	0.526	0.508	0.516	0.415	0.375	0.312	0.422	0.399	0.553	0.596	0.569	0.552	0.551	0.480	0.420	0.373	
3.000	0.360	0.403	0.438	0.494	0.675	0.665	0.636	0.579	0.510	0.445	0.494	0.467	0.311	0.342	0.463	0.521	0.498	0.655	0.568	0.601	0.622	0.538	0.482	0.564	0.379	0.501	0.461	0.533	0.595	0.615	0.583	0.643	0.524	0.487	0.524	0.405	0.389	0.309	0.444	0.378	0.523	0.631	0.576	0.536	0.536	0.497	0.438	0.386	
3.167	0.368	0.349	0.448	0.506	0.694	0.671	0.651	0.546	0.530	0.442	0.514	0.456	0.295	0.345	0.465	0.529	0.477	0.631	0.562	0.560	0.603	0.539	0.494	0.588	0.394	0.497	0.448	0.500	0.571	0.577	0.549	0.611	0.504	0.516	0.518	0.406	0.392	0.303	0.439	0.404	0.526	0.579	0.509	0.545	0.544	0.491	0.423	0.404	
3.333	0.374	0.369	0.444	0.472	0.657	0.588	0.651	0.534	0.543	0.426	0.497	0.463	0.297	0.356	0.448	0.533	0.480	0.608	0.534	0.554	0.577	0.525	0.440	0.594	0.383	0.459	0.486	0.534	0.529	0.604	0.567	0.616	0.545	0.533	0.543	0.410	0.399	0.305	0.419	0.396	0.487	0.627	0.521	0.539	0.516	0.484	0.446	0.412	
3.500	0.377	0.349	0.456	0.489	0.626	0.729	0.616	0.528	0.503	0.453	0.494	0.455	0.316	0.338	0.416	0.544	0.495	0.635	0.541	0.541	0.603	0.530	0.476	0.610	0.407	0.451	0.444	0.531	0.531	0.553	0.535	0.589	0.544	0.515	0.541	0.416	0.390	0.300	0.426	0.386	0.470	0.586	0.554	0.518	0.551	0.481	0.456	0.416	
3.667	0.393	0.360	0.433	0.482	0.607	0.609	0.608	0.588	0.496	0.446	0.510	0.434	0.293	0.326	0.431	0.517	0.480	0.588	0.510	0.546	0.622	0.529	0.502	0.638	0.408	0.488	0.436	0.513	0.514	0.553	0.560	0.581	0.571	0.507	0.576	0.456	0.398	0.317	0.412	0.392	0.478	0.595	0.544	0.476	0.527	0.488	0.466	0.427	
3.833	0.374	0.337	0.432	0.504	0.581	0.691	0.577	0.578	0.481	0.450	0.542	0.460	0.305	0.344	0.448	0.519	0.498	0.627	0.497	0.539	0.603	0.514	0.514	0.643	0.425	0.473	0.477	0.515	0.556	0.537	0.519	0.597	0.572	0.497	0.575	0.447	0.422	0.292	0.420	0.406	0.478	0.536	0.527	0.475	0.529	0.453	0.438	0.403	
