Hour	01/2013	02/2013	03/2013	04/2013	05/2013	06/2013	07/2013	08/2013	09/2013	10/2013	11/2013	12/2013	01/2014	02/2014	03/2014	04/2014	05/2014	06/2014	07/2014	08/2014	09/2014	10/2014	11/2014	12/2014	01/2015	02/2015	03/2015	04/2015	05/2015	06/2015	07/2015	08/2015	09/2015	10/2015	11/2015	12/2015	01/2016	02/2016	03/2016	04/2016	05/2016	06/2016	07/2016	08/2016	09/2016	10/2016	11/2016	12/2016	
[UT]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	[pT^2/Hz]	
0.000	0.263	0.253	0.287	0.390	0.843	0.840	0.742	0.658	0.457	0.420	0.356	0.269	0.232	0.255	0.358	0.475	0.665	0.878	0.725	0.649	0.646	0.483	0.357	0.375	0.312	0.329	0.328	0.488	0.695	0.854	0.741	0.753	nan	nan	nan	nan	nan	nan	nan	0.474	0.701	0.840	0.784	0.724	0.528	0.428	0.378	0.261	
0.167	0.255	0.237	0.270	0.423	0.811	0.831	0.719	0.655	0.437	0.409	0.355	0.266	0.236	0.248	0.345	0.476	0.605	0.855	0.694	0.660	0.646	0.491	0.356	0.330	0.294	0.340	0.339	0.513	0.658	0.822	0.689	0.723	nan	nan	nan	nan	nan	nan	nan	0.424	0.696	0.905	0.761	0.732	0.524	0.438	0.371	0.266	
0.333	0.254	0.237	0.277	0.390	0.771	0.826	0.694	0.621	0.458	0.382	0.362	0.271	0.225	0.256	0.371	0.431	0.654	0.810	0.714	0.644	0.671	0.464	0.343	0.335	0.296	0.359	0.319	0.486	0.643	0.801	0.669	0.704	nan	nan	nan	nan	nan	nan	nan	0.449	0.678	0.787	0.730	0.702	0.475	0.424	0.371	0.259	
0.500	0.257	0.234	0.269	0.419	0.754	0.789	0.694	0.598	0.431	0.411	0.374	0.279	0.231	0.248	0.381	0.444	0.621	0.796	0.665	0.643	0.647	0.448	0.340	0.357	0.306	0.351	0.315	0.488	0.647	0.765	0.694	0.682	nan	nan	nan	nan	nan	nan	nan	0.398	0.692	0.789	0.701	0.659	0.463	0.412	0.348	0.257	
0.667	0.237	0.238	0.252	0.379	0.807	0.744	0.687	0.602	0.420	0.397	0.363	0.264	0.209	0.232	0.353	0.438	0.628	0.755	0.632	0.581	0.626	0.457	0.345	0.346	0.294	0.332	0.316	0.484	0.656	0.731	0.643	0.707	nan	nan	nan	nan	nan	nan	nan	0.422	0.668	0.772	0.704	0.623	0.481	0.429	0.356	0.260	
0.833	0.242	0.235	0.257	0.396	0.741	0.716	0.637	0.563	0.399	0.391	0.356	0.258	0.230	0.250	0.344	0.438	0.643	0.737	0.650	0.568	0.593	0.435	0.338	0.323	0.291	0.333	0.290	0.465	0.610	0.768	0.636	0.711	nan	nan	nan	nan	nan	nan	nan	0.408	0.633	0.738	0.700	0.610	0.479	0.422	0.348	0.240	
1.000	0.230	0.239	0.261	0.414	0.755	0.705	0.668	0.562	0.405	0.378	0.334	0.284	0.232	0.241	0.348	0.446	0.582	0.724	0.601	0.556	0.585	0.445	0.338	0.321	0.295	0.316	0.295	0.488	0.592	0.719	0.616	0.641	nan	nan	nan	nan	nan	nan	nan	0.387	0.636	0.732	0.632	0.595	0.481	0.440	0.347	0.261	
1.167	0.263	0.247	0.269	0.390	0.748	0.669	0.637	0.556	0.383	0.364	0.328	0.260	0.207	0.237	0.329	0.423	0.533	0.719	0.623	0.561	0.589	0.417	0.350	0.349	0.295	0.314	0.284	0.459	0.580	0.724	0.611	0.658	nan	nan	nan	nan	nan	nan	nan	0.385	0.585	0.721	0.612	0.570	0.448	0.401	0.348	0.250	
1.333	0.249	0.245	0.275	0.368	0.729	0.664	0.627	0.576	0.399	0.371	0.336	0.268	0.205	0.243	0.328	0.402	0.550	0.742	0.561	0.543	0.581	0.437	0.348	0.337	0.271	0.316	0.296	0.455	0.580	0.685	0.585	0.642	nan	nan	nan	nan	nan	nan	nan	0.380	0.638	0.678	0.640	0.575	0.466	0.402	0.334	0.247	
